Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,99.17539682539683,163.50198412698415,12.280873015873018,52.2565,12.4246875,1.0633333333333332,0.9959583333333333,3,3,3,4,3,4
2023-10-02,86.84270833333333,206.31493055555552,7.701979166666667,16.489280303030302,25.7478125,1.8684375,1.1547569444444445,0,0,0,2,0,0
2023-10-03,69.80173611111111,156.21979166666668,7.037673611111111,22.164236111111112,31.210520833333334,1.8784375,0.5766666666666667,0,0,0,0,0,0
2023-10-04,70.76875,124.82708333333333,1.494963768115942,15.280555555555553,29.660625,0.619375,0.3969444444444445,0,0,0,0,1,0
2023-10-05,47.24722222222223,140.40208333333334,1.8307291666666667,20.095416666666665,28.038854166666667,0.4546875,0.3602083333333333,0,0,0,0,0,0
2023-10-06,64.94204545454546,143.32348484848484,4.136269841269841,41.73700757575758,35.921875,0.9605208333333333,0.5862301587301588,2,2,2,2,3,3
2023-10-07,,,,,,,,15,15,14,17,14,17
2023-10-08,,,,,,,,20,20,20,21,20,21
2023-10-09,15.134375,27.913541666666664,10.001388888888888,15.433007246376814,22.0753125,1.5725,1.4539583333333332,0,0,0,1,0,0
2023-10-10,33.06904761904762,75.20277777777778,9.993159722222222,12.427499999999997,15.624895833333333,1.4525,0.9399603174603174,3,3,3,5,0,3
2023-10-11,,,,,12.938020833333335,1.316875,,14,14,13,13,15,13
2023-10-12,63.331944444444446,132.4298611111111,14.8271875,5.242708333333334,27.839895833333337,1.5630208333333333,1.2000694444444446,0,0,0,0,0,0
2023-10-13,63.18888888888889,143.71875,10.000243055555556,7.120347222222222,54.3334375,1.8471875,1.5816666666666668,0,0,0,0,0,0
2023-10-14,167.41325757575757,317.76856060606065,9.952118055555557,11.527013888888888,46.373125,1.9259375,1.552361111111111,2,2,0,0,0,0
2023-10-15,62.332954545454534,141.75871212121214,9.980416666666668,8.091363636363637,32.0821875,2.013958333333333,1.286086956521739,2,2,1,2,0,1
2023-10-16,,,7.473676470588236,,17.377708333333334,1.7349999999999999,,12,12,12,12,7,12
2023-10-17,29.09930555555555,66.1829861111111,9.965173611111112,21.630347222222223,32.138124999999995,1.3166666666666667,1.1880208333333333,0,0,0,0,0,0
2023-10-18,37.083695652173915,84.4532608695652,9.995937499999998,18.856468253968252,35.5146875,1.2821874999999998,1.115072463768116,1,1,1,3,0,1
2023-10-19,30.426449275362316,69.19021739130436,9.846884057971016,10.459963768115943,43.7315625,1.3658333333333332,1.2297463768115942,1,1,1,1,1,1
2023-10-20,55.756944444444436,126.82256944444445,9.940451388888889,9.631006944444445,54.53260416666667,1.619375,1.484201388888889,0,0,0,0,0,0
