Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,,,,,,,,24,24,24,24,24,24
2023-10-02,,,,,,,,24,24,24,24,24,24
2023-10-03,,,,,,,,24,24,24,24,24,24
2023-10-04,40.981884057971016,105.65942028985506,15.004710144927538,2.96195652173913,70.61770833333334,0.8578124999999999,0.6182246376811594,1,1,1,1,1,1
2023-10-05,21.625,101.48863636363636,11.116666666666667,5.053409090909091,79.15208333333332,0.8959374999999999,0.4629924242424243,2,2,2,2,2,2
2023-10-06,13.720833333333335,51.73809523809525,5.89047619047619,3.48968253968254,51.03958333333333,1.4353125,1.0595416666666666,4,3,3,3,3,4
2023-10-07,80.43402777777777,84.10069444444444,4.302777777777778,1.8499999999999999,45.915625,1.3989583333333333,1.3231249999999999,0,0,0,0,0,0
2023-10-08,39.109375,86.29166666666667,6.073437500000001,1.5458333333333334,29.5625,1.66,1.3871875,8,8,8,8,8,8
2023-10-09,19.6875,47.59722222222223,5.6336805555555545,3.2697916666666664,42.215625,4.4325,1.8881249999999998,0,0,0,0,0,0
2023-10-10,14.934782608695652,53.52173913043478,5.918115942028986,3.2273809523809525,48.784375,0.9843750000000001,0.5646739130434784,1,1,1,3,1,1
2023-10-11,63.5625,111.60416666666667,16.93715277777778,4.610416666666667,75.3,1.8146875,1.6252083333333331,0,0,0,0,0,0
2023-10-12,58.836805555555564,88.69444444444444,14.229166666666666,1.6381944444444445,65.8375,3.053125,1.976333333333334,0,0,0,0,0,4
2023-10-13,17.260416666666668,70.77083333333333,14.411458333333334,2.7548611111111114,47.032291666666666,1.5025,1.0506944444444446,0,0,0,0,0,0
2023-10-14,20.134920634920636,62.853174603174594,13.659920634920635,3.0595238095238093,54.175,1.23375,0.979404761904762,3,3,3,3,3,3
2023-10-15,25.48412698412698,55.404761904761905,14.522222222222224,3.2,40.141666666666666,1.273125,1.0634920634920637,3,3,3,3,3,3
2023-10-16,14.434027777777777,46.71527777777777,13.305555555555557,3.6978260869565216,40.26770833333333,1.1505208333333334,1.0892708333333334,0,0,0,1,0,0
2023-10-17,,,,,33.615625,1.1578125000000001,,19,19,19,19,19,19
2023-10-18,,,,,,,,24,24,24,24,24,24
2023-10-19,32.86764705882353,108.86274509803923,,2.044117647058824,43.645833333333336,1.4236458333333333,1.2365686274509802,7,7,9,7,9,7
2023-10-20,24.776041666666668,101.33333333333333,20.480882352941176,1.3254901960784313,26.190625,1.34625,1.1087254901960784,8,8,7,7,7,7
2023-10-21,24.852272727272727,107.89772727272727,20.108333333333334,2.366287878787879,35.838541666666664,1.2566666666666668,1.1931060606060606,2,2,2,2,2,2
2023-10-22,24.390151515151516,88.06060606060606,16.36401515151515,0.45984848484848495,50.822916666666664,1.244375,1.1901136363636364,2,2,2,2,2,2
2023-10-23,,,,,27.208333333333332,1.228125,,9,9,10,9,9,9
2023-10-24,35.16269841269841,130.1031746031746,21.00714285714286,2.067460317460318,53.996875,1.2233333333333334,1.163095238095238,3,3,4,3,3,3
2023-10-25,30.0625,121.26388888888887,20.540625000000002,2.5895833333333327,55.5125,1.2225000000000001,1.1575347222222223,0,0,0,4,0,0
2023-10-26,21.600877192982455,109.10069444444444,18.818749999999998,2.3305555555555557,51.77291666666667,1.2814583333333334,1.1187152777777778,5,0,0,0,0,0
2023-10-27,33.32456140350877,121.21052631578945,21.228947368421053,3.267543859649123,39.325,1.2114583333333333,1.1500000000000001,5,5,5,5,5,5
2023-10-28,28.864583333333332,117.87847222222221,20.25451388888889,0.9808333333333333,61.675,1.3464583333333333,1.1846180555555554,0,0,0,4,0,0
2023-10-29,37.70075757575757,74.68181818181819,21.201893939393937,2.7125,66.825,1.4552083333333334,1.266439393939394,2,2,2,2,2,2
2023-10-30,45.188596491228076,65.49122807017544,20.566666666666666,2.0924242424242427,66.39375,1.3891666666666669,1.2066287878787876,5,5,2,2,2,2
2023-10-31,44.76811594202899,56.44565217391305,19.91076388888889,2.5699275362318836,68.59895833333333,1.3659375,1.3135416666666666,1,1,0,1,0,0
2023-11-01,,,,,,,,24,24,24,24,24,24
2023-11-02,,,,,,,,24,24,24,24,24,24
2023-11-03,,,,,,,,24,24,24,24,24,24
2023-11-04,37.177083333333336,93.32986111111113,13.323263888888889,4.164583333333333,75.734375,0.7172916666666667,0.5695138888888889,0,0,0,0,0,0
2023-11-05,22.965277777777775,93.57291666666667,13.944791666666667,5.426736111111111,68.93854166666667,0.7788541666666666,0.5844097222222223,0,0,0,0,0,0
2023-11-06,11.403508771929824,49.55701754385965,4.980263157894737,3.4899122807017537,28.00208333333333,0.9861458333333334,1.433859649122807,5,5,5,5,5,5
2023-11-07,79.03623188405797,127.94565217391305,3.400694444444445,2.597916666666667,49.10312499999999,2.1825,1.7382638888888888,1,1,0,0,0,0
2023-11-08,36.083333333333336,83.25694444444444,5.840972222222223,2.417013888888889,41.159375,1.8800000000000001,1.3381249999999998,0,0,0,0,0,0
2023-11-09,14.57936507936508,55.460317460317455,4.362698412698413,3.713095238095238,34.0375,1.1471875,0.17781746031746032,3,3,8,3,3,3
2023-11-10,11.4,57.375,8.302916666666665,3.1543650793650797,43.559375,0.70375,0.5782142857142857,4,4,3,3,4,3
2023-11-11,29.746527777777782,62.19097222222223,14.446180555555557,4.048863636363636,63.003125,1.5508333333333333,1.3434027777777777,0,0,0,2,0,0
2023-11-12,52.96212121212122,84.03030303030302,20.464015151515152,2.197058823529412,66.825,1.9232291666666668,1.2721969696969695,2,2,2,7,2,2
2023-11-13,85.40217391304348,122.08695652173913,21.41376811594203,9.595289855072465,71.515625,1.5121875,0.9187681159420289,1,1,1,1,1,1
2023-11-14,66.3125,99.6701388888889,18.30902777777778,9.837152777777778,80.5125,1.190416666666667,0.9036458333333334,0,0,0,0,0,0
2023-11-15,80.82971014492753,115.83695652173913,20.252536231884058,7.521014492753623,89.14166666666667,0.9284375000000001,0.7236956521739131,1,1,1,1,1,1
