Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,,,,,,,,24,24,24,24,24,24
2023-10-02,,,,,,,,24,24,24,24,24,24
2023-10-03,,142.47569444444443,30.273958333333336,19.308680555555558,124.0125,0.8796875,0.6655208333333333,12,0,0,0,0,0
2023-10-04,117.67708333333333,171.29166666666666,35.092708333333334,10.348958333333334,145.88750000000002,0.9328125,0.7065625,0,0,0,0,0,0
2023-10-05,49.864583333333336,130.27083333333334,37.054513888888884,6.287847222222222,127.15,1.0146875,0.6747916666666667,0,0,0,0,0,0
2023-10-06,29.729166666666668,55.447916666666664,8.791666666666666,3.8399305555555556,78.59375,1.000625,0.29847222222222225,0,0,0,0,0,0
2023-10-07,,30.239583333333332,10.480902777777779,4.633680555555555,70.096875,0.8214583333333333,0.7964236111111113,9,8,0,0,0,0
2023-10-08,21.46875,72.42708333333333,6.879166666666667,2.3944444444444444,47.8625,0.8148958333333334,0.7308333333333333,0,0,0,0,0,0
2023-10-09,40.42361111111111,78.53623188405797,12.148958333333335,4.7920138888888895,51.581250000000004,0.9183333333333333,0.8929861111111111,0,1,0,0,0,0
2023-10-10,40.041666666666664,96.06159420289856,24.62291666666667,3.2416666666666676,59.12499999999999,0.8915625,0.5350694444444445,0,1,0,1,0,0
2023-10-11,98.26041666666667,211.05208333333334,37.175000000000004,6.415625000000001,78.15625,1.6443750000000001,1.4009375000000002,0,0,0,0,0,0
2023-10-12,90.61458333333333,177.73958333333334,43.72534722222222,3.7986842105263148,56.053125,1.7468750000000002,0.9714236111111111,0,0,0,5,0,0
2023-10-13,42.09027777777778,86.27777777777777,39.206250000000004,2.906597222222222,77.90625,1.7665625,0.4716666666666667,0,0,0,0,0,0
2023-10-14,43.635416666666664,85.58680555555556,37.93819444444444,2.0128472222222222,68.85416666666667,0.6865625,0.45204861111111105,0,0,0,0,0,0
2023-10-15,49.65625,96.92708333333333,36.69479166666667,4.527083333333334,59.800000000000004,0.8059375000000001,0.531875,0,0,0,0,0,0
2023-10-16,,,30.033695652173908,3.6481060606060605,41.121875,0.8265625,0.32735294117647057,9,9,7,2,1,7
2023-10-17,,,34.19545454545455,22.201893939393937,47.275000000000006,0.7178125,,13,13,12,2,2,13
2023-10-18,69.09210526315789,155.32894736842104,37.217045454545456,35.689393939393945,39.768750000000004,0.9553125,0.715719696969697,5,5,3,2,2,2
2023-10-19,59.9375,169.32291666666666,25.434375,36.221180555555556,38.132291666666674,1.1253125000000002,0.9298958333333333,0,0,1,0,0,0
2023-10-20,64.02777777777779,115.65530303030302,26.42395833333333,19.544791666666665,64.10000000000001,1.170625,0.7540625,0,2,0,0,0,0
2023-10-21,76.14583333333334,144.575,37.843650793650795,10.616666666666667,48.393750000000004,1.3946874999999999,0.9167857142857143,4,4,3,3,3,3
2023-10-22,68.62847222222221,131.125,47.01666666666667,11.72013888888889,61.921875,1.4828125,0.8870486111111111,0,0,1,0,0,0
2023-10-23,64.3263888888889,123.94791666666667,41.284375000000004,27.37604166666667,73.13645833333334,1.1511458333333333,0.8298611111111112,0,0,0,0,0,0
2023-10-24,76.71875,146.05208333333334,44.73229166666667,16.694791666666667,71.84375,2.1059375,1.4353125000000002,0,0,0,0,0,0
2023-10-25,75.20833333333333,143.09375,46.77708333333334,16.7,63.753125000000004,2.2396875,1.4258333333333333,0,0,0,0,0,0
2023-10-26,71.84722222222221,136.77430555555554,41.97361111111111,26.013888888888886,53.41875,1.890625,1.450104166666667,0,0,0,0,0,0
2023-10-27,57.02777777777778,109.84375,33.35069444444445,12.119097222222221,63.962500000000006,1.821041666666667,1.376840277777778,0,0,0,0,0,0
2023-10-28,62.416666666666664,119.6875,37.946875,11.804166666666667,65.52187500000001,1.7540625,1.25,0,0,0,0,0,0
2023-10-29,65.34722222222223,125.4375,39.478125,15.189930555555554,69.7,1.700625,1.346041666666667,0,0,1,0,0,0
2023-10-30,89.82936507936509,206.13492063492063,40.600694444444436,18.144791666666666,47.40520833333334,1.83125,1.454861111111111,3,3,5,0,0,0
2023-10-31,65.80555555555556,162.35069444444446,29.11388888888889,20.668402777777775,81.46145833333334,1.8133333333333332,1.2820833333333332,0,0,1,0,0,0
2023-11-01,,,,,,,,24,24,24,24,24,24
2023-11-02,,,,,,,,24,24,24,24,24,24
2023-11-03,31.941666666666663,125.4826388888889,31.409027777777776,10.826388888888888,156.87395833333332,0.7178125,0.6173958333333333,4,0,0,0,0,0
2023-11-04,103.7048611111111,150.92361111111111,34.128125000000004,9.781944444444443,147.73020833333334,0.8696875000000001,0.5844791666666667,0,0,0,0,0,0
2023-11-05,57.61594202898551,149.30434782608697,42.299305555555556,13.465625000000001,120.915625,0.9540625,0.7305208333333333,1,1,1,0,0,0
2023-11-06,19.461805555555557,39.61111111111111,7.314583333333334,,69.86250000000001,0.95875,0.16163194444444443,0,0,0,10,0,0
2023-11-07,32.4927536231884,77.58333333333333,9.339583333333334,3.476041666666667,59.275000000000006,0.8834375,0.8555208333333333,1,1,0,0,0,0
2023-11-08,25.302083333333332,75.95833333333333,5.638541666666666,3.6666666666666665,45.55937500000001,0.8624999999999999,0.7532291666666667,0,0,0,0,0,0
2023-11-09,45.989583333333336,97.53125,5.244791666666667,2.2354166666666666,44.45000000000001,0.806875,0.7916666666666666,0,0,0,0,0,0
2023-11-10,43.6875,187.69791666666666,33.483333333333334,9.910416666666668,50.806250000000006,0.8056249999999999,0.4716666666666667,0,0,0,0,0,0
2023-11-11,60.56944444444445,151.52083333333334,27.880208333333332,12.672569444444443,59.226041666666674,1.3909375,1.1212499999999999,0,0,0,0,0,0
2023-11-12,81.21180555555556,166.33680555555554,45.42326388888889,4.013888888888889,50.53229166666667,1.4991666666666665,0.8661458333333334,0,0,0,6,0,0
2023-11-13,119.62152777777779,195.71527777777774,38.34027777777778,18.635317460317463,70.02916666666668,1.7488541666666666,1.499826388888889,0,0,0,3,0,0
