Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,,,,,36.694375,1.4796875,,14,14,14,14,14,13
2023-10-02,25.893478260869564,91.02782608695652,1.6732608695652174,0.2877173913043478,75.06093750000001,1.395,0.40097826086956523,1,1,1,1,1,1
2023-10-03,28.4709375,93.17614583333334,1.4902083333333334,1.1505208333333334,106.6934375,0.8375,0.7830208333333334,0,0,0,0,0,0
2023-10-04,16.785833333333333,74.1534375,1.1289236111111112,0.8058333333333333,106.999375,0.800625,0.39781249999999996,0,0,0,0,0,0
2023-10-05,24.226250000000004,62.653437499999995,1.8189583333333335,0.43187499999999995,73.25625,1.7437500000000001,1.7294791666666667,0,0,0,0,0,0
2023-10-06,,101.55572916666667,2.7720833333333332,0.9058333333333333,59.204062500000006,1.5965625,0.5632291666666667,9,8,6,6,8,0
2023-10-07,,,,,,,,24,24,24,24,24,24
2023-10-08,14.765052083333334,28.26359375,0.5759803921568626,0.8478921568627451,48.748124999999995,1.099375,1.083921568627451,8,8,7,7,7,7
2023-10-09,,11.946127450980393,0.6210714285714287,0.7347727272727274,36.3003125,2.2684375,2.040454545454545,13,7,2,2,3,2
2023-10-10,37.95739583333333,98.53572916666667,0.9281250000000001,1.6271874999999998,33.698125,2.0,0.0,0,0,0,0,0,0
2023-10-11,76.97531250000002,137.72572916666667,3.6172916666666666,0.8326041666666667,9.374375,0.75875,0.49062500000000003,0,0,3,0,0,0
2023-10-12,87.91427083333333,129.01229166666667,2.8181249999999998,0.7589583333333333,7.8565625,0.858125,0.781875,0,0,0,0,0,0
2023-10-13,39.834062499999995,96.35197916666668,2.2260416666666667,1.5164583333333332,5.4021875,0.7775,0.0,0,0,0,0,0,0
2023-10-14,49.31895833333334,123.8584375,2.0577083333333333,1.470625,6.0784375,0.0,0.0,0,0,0,0,0,0
2023-10-15,36.62229166666667,114.07515624999999,2.100260416666667,1.4686979166666667,5.4346875,0.0,0.0,8,8,11,8,8,8
2023-10-16,21.022250000000003,45.96699275362319,2.1313541666666667,1.427013888888889,,0.0,0.0,4,1,24,0,0,0
2023-10-17,19.571704545454544,43.59055555555556,2.1844791666666663,1.4341666666666668,,0.0,0.0,2,0,24,0,0,0
2023-10-18,,,,,,0.0,0.0,9,9,24,9,9,8
2023-10-19,,,,,,,,24,24,24,24,24,24
2023-10-20,,,,,,,,24,24,24,24,24,24
2023-10-21,,,,,,,,24,24,24,24,24,24
2023-10-22,,,,,4.1753125,0.625,,18,18,16,16,17,16
2023-10-23,35.05385416666667,64.90520833333333,1.38875,1.5953819444444444,5.694374999999999,0.0,0.0,0,0,0,0,0,0
2023-10-24,27.532282608695656,54.11947916666666,2.1758333333333333,1.5729166666666667,11.294062499999999,0.0,0.0,1,0,0,0,0,0
2023-10-25,26.52125,60.764375,2.1488541666666667,1.5191666666666668,7.481875,0.0,0.0,0,0,0,0,0,0
2023-10-26,29.276631944444443,58.576770833333335,2.015972222222222,1.6240624999999997,18.3521875,4.6684375,2.5379166666666673,0,0,0,0,0,0
2023-10-27,28.262727272727272,61.753125000000004,1.9006249999999998,0.953125,40.6265625,4.636875,2.3615625000000002,2,0,0,0,0,0
2023-10-28,35.45520833333334,77.29427083333333,2.2422916666666666,0.8792708333333333,18.295625,0.43468749999999995,0.20760416666666667,0,0,0,0,0,0
2023-10-29,,,2.3727192982456144,0.9252083333333333,7.93375,0.380625,0.276547619047619,9,10,5,4,5,3
2023-10-30,52.47868055555555,93.87614583333334,2.5032638888888887,0.8615277777777778,9.643749999999999,0.5059375,0.3142361111111111,0,0,0,0,0,0
2023-10-31,46.42666666666666,78.84697916666667,2.4254861111111112,0.8462152777777777,7.432083333333333,0.5784375,0.2204513888888889,1,0,0,0,0,0
2023-11-01,114.32406250000001,153.193125,4.539479166666667,1.2486458333333332,37.401875000000004,1.695,1.5287499999999998,0,0,0,0,0,0
2023-11-02,,,,,72.624375,0.610625,,12,12,12,12,12,12
2023-11-03,34.06072916666667,110.46052083333335,1.555,1.1501041666666667,113.21875,0.938125,0.8570833333333333,0,0,0,0,0,0
2023-11-04,27.938125,77.27864583333333,1.3968055555555556,1.6826041666666667,72.94562499999999,0.8828124999999999,0.37218749999999995,0,0,0,0,0,0
2023-11-05,27.485937500000002,72.39552083333334,2.2189583333333336,0.5035416666666667,84.205,1.7059375,1.6989583333333333,0,0,0,0,0,0
2023-11-06,28.955208333333335,72.82177083333333,2.15625,0.7794791666666666,65.921875,1.57375,0.6891666666666666,0,0,0,0,0,0
2023-11-07,,,,,,,,24,24,24,24,24,24
2023-11-08,,,,,,,,24,24,23,23,24,23
2023-11-09,8.498697916666668,16.659583333333334,0.9563541666666667,1.2244791666666666,43.532812500000006,2.354375,2.2959375,8,8,0,0,0,0
2023-11-10,32.2575,78.89427083333334,1.1127083333333332,1.5737499999999998,36.269375000000004,2.046875,0.0,0,0,0,0,0,0
2023-11-11,62.39916666666667,97.5421875,2.5096875,0.75375,6.619062499999999,0.49968749999999995,0.4060416666666667,0,0,4,0,0,0
2023-11-12,94.24562500000002,123.41041666666666,2.3766666666666665,0.7457291666666667,7.9184375000000005,0.900625,0.8063541666666666,0,0,0,0,0,0
2023-11-13,150.95347222222222,184.76274305555557,2.6525,0.9570833333333333,5.090000000000001,0.8815625,0.4140625,0,0,4,0,0,0
2023-11-14,69.49513888888889,95.98006944444444,1.9915625000000003,0.8227083333333334,9.528125000000001,0.6865625000000001,0.44843750000000004,0,0,3,0,0,0
2023-11-15,47.1471875,76.90447916666666,1.7277083333333334,0.7977083333333334,21.316875,0.6403125,0.38895833333333335,0,0,1,0,0,0
2023-11-16,36.986041666666665,65.1346875,1.9341666666666664,0.7748958333333333,14.5871875,0.4825,0.37052083333333335,0,0,0,0,0,0
2023-11-17,33.3284375,66.16270833333333,2.1720833333333336,0.7657291666666666,10.013125,0.52625,0.39989583333333334,0,0,0,0,0,0
2023-11-18,29.18083333333333,54.11770833333333,1.6775,0.7458333333333332,6.419375,0.5203125,0.33489583333333334,0,0,0,0,0,0
2023-11-19,38.552083333333336,64.9784375,1.7973958333333335,0.7391666666666667,6.96625,0.5709375,0.4189583333333333,0,0,2,0,0,0
2023-11-20,51.31333333333333,84.8546875,2.5136458333333334,0.7851041666666667,5.6478125,0.80625,0.5744791666666667,0,0,5,0,0,0
2023-11-21,53.52197916666666,95.13812499999999,2.911354166666667,0.7420833333333333,8.014375,0.8818750000000001,0.6647916666666667,0,0,2,0,0,0
2023-11-22,41.50302083333333,72.4128125,1.8078125,0.6765625000000001,8.229375,0.71625,0.5515625000000001,0,0,0,0,0,0
2023-11-23,53.663125,89.25656249999999,2.6545833333333335,0.7248958333333334,7.3728125,0.846875,0.7064583333333333,0,0,0,0,0,0
2023-11-24,55.10729166666667,93.23541666666665,2.974375,0.7902083333333333,6.074375,0.974375,0.7843749999999999,0,0,3,0,0,0
2023-11-25,43.4975,80.39218749999999,2.5611458333333332,0.7894791666666667,6.71375,0.9093749999999999,0.7276041666666666,0,0,1,0,0,0
2023-11-26,41.71704861111111,73.48465277777778,2.7984375,0.7294791666666667,4.422187500000001,0.936875,0.7711458333333333,0,0,4,0,0,0
2023-11-27,73.31916666666667,174.83906249999998,4.729791666666666,0.8649999999999999,0.7182291666666667,1.458125,1.0886458333333333,0,0,10,0,0,0
2023-11-28,62.33416666666667,127.83010416666666,4.2184375,0.8598958333333333,3.103020833333333,1.44625,1.020625,0,0,13,0,0,0
2023-11-29,45.5146875,79.3403125,2.6577083333333333,0.7380208333333332,5.487187499999999,1.3659375,0.7006249999999999,0,0,6,0,0,0
