Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,84.99920634920636,238.1277777777778,21.098055555555554,4.5384126984126985,23.476354166666667,1.7937500000000002,1.6425,3,3,3,3,3,3
2023-10-02,123.32291666666667,314.06250000000006,57.95684027777778,6.170208333333332,54.26531250000001,2.07125,1.5409375,0,0,0,0,0,0
2023-10-03,76.85877192982457,190.92041666666665,38.825069444444445,5.6542361111111115,55.20125,1.59125,0.8493055555555555,5,4,0,0,0,0
2023-10-04,69.06979166666667,233.14374999999998,40.98267361111111,8.020104166666668,79.77000000000001,0.8863541666666668,0.6136458333333333,0,0,0,0,0,0
2023-10-05,45.11354166666666,256.89131944444443,53.372395833333336,8.891666666666667,93.26229166666667,1.0034375,0.7943749999999999,0,0,0,0,0,0
2023-10-06,36.53541666666667,106.34583333333335,16.317743055555557,7.055555555555556,103.82718750000001,1.0525,0.5047569444444445,0,0,0,0,0,0
2023-10-07,26.81458333333333,72.55,12.65423611111111,3.744236111111111,57.82520833333333,0.6103125,0.5834027777777777,0,0,0,0,0,0
2023-10-08,38.28958333333333,112.66979166666665,18.96878472222222,5.295416666666667,37.0525,0.6608333333333334,0.5134027777777778,0,0,0,0,0,0
2023-10-09,,120.48872549019609,8.985052083333334,,62.215937499999995,0.39499999999999996,0.2718939393939394,9,7,5,11,8,2
2023-10-10,44.469444444444456,166.18993055555555,19.894861111111112,7.440416666666667,42.5709375,1.04375,0.8385416666666666,0,0,0,0,0,0
2023-10-11,97.8875,335.05606060606056,32.48003787878787,4.070486111111111,51.02770833333333,2.1210416666666667,1.7000347222222223,2,2,0,0,2,0
2023-10-12,98.93576388888887,324.17951388888883,30.249021739130434,3.989479166666667,88.5896875,2.1379166666666665,0.9883680555555555,0,0,0,0,1,0
2023-10-13,47.854166666666664,161.025,5.735833333333333,10.940694444444444,55.740312499999995,1.2460416666666667,0.9571875,0,0,0,0,2,0
2023-10-14,75.48657407407407,220.4293859649123,,5.990291666666667,27.9946875,1.4304166666666667,1.074920634920635,6,5,5,4,14,3
2023-10-15,62.57954545454545,180.74848484848488,8.613901515151516,12.088939393939393,18.591250000000002,1.4219791666666666,1.041287878787879,2,2,2,2,2,2
2023-10-16,68.04583333333333,178.92291666666665,5.409340277777779,5.216527777777778,32.528125,1.5844791666666664,1.0146875,0,0,0,0,0,0
2023-10-17,32.13923611111111,98.653125,3.8690972222222224,2.5933333333333333,28.7346875,1.0690625,0.6888194444444444,0,0,0,0,0,0
2023-10-18,41.79097222222222,124.12291666666665,4.079201388888889,3.561527777777778,28.1628125,0.8005208333333333,0.6721875,0,0,0,0,0,0
2023-10-19,40.76284722222223,127.43784722222222,4.738541666666667,7.135868055555555,29.828229166666667,0.7736458333333334,0.674861111111111,0,0,0,0,0,0
2023-10-20,53.92333333333333,162.43166666666664,6.085416666666667,7.958541666666666,31.305625,0.9213541666666667,0.7976666666666666,4,4,4,4,4,4
2023-10-21,51.95458333333333,140.0658333333333,5.6938157894736845,8.201535087719298,36.2921875,1.0047916666666665,0.7856349206349207,4,4,4,5,5,3
2023-10-22,46.21944444444444,118.29652777777778,5.686458333333333,10.616493055555557,31.1509375,1.0310416666666666,0.779861111111111,0,0,0,0,0,0
2023-10-23,36.521875,103.79513888888887,4.260138888888889,8.427222222222222,37.058125,0.9136458333333333,0.7415277777777777,0,0,0,0,0,0
2023-10-24,35.476736111111116,93.35555555555557,3.3701388888888886,8.663541666666667,31.029479166666665,0.8895833333333333,0.7827430555555556,0,0,0,0,0,0
2023-10-25,36.253819444444446,114.7013888888889,2.675277777777778,8.054236111111111,29.4440625,0.9317708333333333,0.8293402777777777,0,0,0,0,0,0
2023-10-26,55.681250000000006,164.7222222222222,2.7980208333333336,7.812743055555555,24.495833333333334,0.9983333333333333,0.7686805555555555,0,0,0,0,0,0
2023-10-27,59.31840277777778,168.25277777777777,1.9522916666666668,8.293229166666668,23.834375,1.1759375,0.9782291666666666,0,0,0,0,0,0
2023-10-28,57.03472222222223,160.59444444444446,3.2044565217391305,5.984444444444445,57.86989583333334,1.3078124999999998,0.9381944444444444,0,0,0,0,1,0
2023-10-29,61.74513888888888,172.1315972222222,5.745208333333334,7.880520833333333,80.1540625,1.2051041666666666,1.080451388888889,0,0,0,0,0,0
2023-10-30,75.08188405797102,219.81739130434786,5.762673611111111,9.022743055555555,75.40625,1.7204166666666667,1.1723958333333333,1,1,1,0,0,0
2023-10-31,65.97395833333333,175.91215277777778,5.221840277777778,8.480034722222221,38.6459375,2.0504166666666666,1.1389583333333333,0,0,0,0,0,0
2023-11-01,78.35868055555555,226.296875,21.211770833333333,4.578854166666666,31.188958333333336,2.0295833333333335,1.6597569444444444,0,0,0,0,0,0
2023-11-02,131.78437499999998,292.51458333333335,52.96472222222223,6.806562500000001,54.91125,2.1255208333333333,1.4479861111111114,0,0,0,0,0,0
2023-11-03,70.30992063492063,212.00530303030303,52.91268115942029,7.178768115942027,66.3659375,1.6452083333333336,0.9577777777777778,3,2,0,1,1,0
2023-11-04,72.85972222222222,248.9357638888889,47.26680555555555,9.267291666666667,84.37937500000001,1.0295833333333333,0.6859722222222221,0,0,0,0,0,0
2023-11-05,49.41388888888889,269.38645833333334,73.22920138888888,13.391805555555555,131.22125,1.409375,1.0162847222222222,0,0,0,0,0,0
2023-11-06,35.96979166666667,131.496875,17.944166666666668,5.663958333333333,92.65354166666665,1.0007291666666667,0.6039583333333333,0,0,0,0,0,0
2023-11-07,28.878125,79.61909722222221,12.073506944444446,3.5380902777777776,63.431666666666665,0.66625,0.5559722222222222,0,0,0,0,0,0
2023-11-08,49.40978260869565,131.01840277777777,20.26974637681159,5.110069444444444,41.898125,0.49322916666666666,0.35017361111111117,1,0,0,0,1,0
2023-11-09,24.348611111111108,60.15937499999999,6.377777777777777,4.8775,42.4521875,0.410625,0.26947916666666666,0,0,0,0,0,0
2023-11-10,45.32708333333333,155.31597222222223,17.90287037037037,6.912986111111111,53.833020833333336,1.0145833333333334,0.8879861111111111,0,0,0,0,6,0
2023-11-11,93.86195652173912,335.0753472222222,9.476931818181818,4.079965277777778,50.5121875,1.9918749999999998,1.5248958333333331,1,0,0,0,2,0
2023-11-12,97.76325757575756,313.8757246376812,36.04065217391304,3.9910416666666664,79.02666666666667,1.6575,1.1616666666666666,2,1,2,0,1,0
2023-11-13,91.13437499999999,247.82256944444444,9.748229166666667,5.746736111111112,55.85375,1.8784375,1.1197916666666667,0,0,0,0,0,0
2023-11-14,101.99305555555556,299.25869565217386,13.624409722222223,8.048402777777778,49.76416666666667,1.973125,1.4271180555555556,0,1,0,0,0,0
