Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
01/10/2023,,,,13.44797619,6.9709375,3.1975,2.28297619,12,11,3,3,19,3
02/10/2023,35.29875,78.26630435,74.57862745,9.035416667,7.6725,3.490625,1.50125,0,1,0,0,7,0
03/10/2023,34.2451087,87.57369565,8.907424242,17.74729167,33.88614583,1.4015625,1.077118056,1,1,0,0,2,0
04/10/2023,19.43635417,51.94854167,39.55395833,9.325520833,30.6846875,1.2753125,0.7703125,0,0,0,0,0,0
05/10/2023,,,23.43811594,9.047569444,41.2503125,0.81,0.636180556,13,13,0,0,1,0
06/10/2023,6.752708333,22.21625,56.0709375,11.37885417,33.080625,1.0365625,0.733333333,0,0,0,0,0,0
07/10/2023,,,,,4.272604167,0.615104167,,11,11,11,11,11,11
08/10/2023,15.42916667,52.6378125,24.57604167,5.627291667,6.1728125,0.5053125,0.46125,0,0,0,0,0,0
09/10/2023,10.301875,20.96871528,8.18375,4.16375,33.19375,0.4859375,0.366354167,0,0,0,0,0,0
10/10/2023,30.03697917,83.7946875,20.311875,9.069895833,23.4340625,0.784375,0.691354167,0,0,0,0,0,0
11/10/2023,50.69694444,135.5942857,44.29072917,10.65663194,10.604375,1.072395833,0.980902778,0,3,0,0,0,0
12/10/2023,34.83,99.41166667,32.54520833,4.006145833,1.588125,1.0959375,0.727916667,0,0,0,0,0,0
13/10/2023,38.44141304,106.1871014,21.36274306,9.789513889,14.89072917,0.919479167,0.843298611,1,1,0,0,0,0
14/10/2023,32.5503125,95.52986111,21.45934028,9.220520833,14.84625,1.0046875,0.858819444,0,0,0,0,0,0
15/10/2023,29.30052083,77.59197917,20.27861111,8.527847222,12.2296875,1.103333333,0.748506944,0,0,0,0,0,0
16/10/2023,25.01631944,64.12034722,20.48517361,9.231944444,8.665,0.7109375,0.651388889,0,0,0,0,0,0
17/10/2023,36.55545455,103.2230682,24.82511364,9.101363636,11.0259375,0.809375,0.749431818,2,2,2,2,2,2
18/10/2023,43.70128472,123.0828819,34.65274306,10.97951389,9.58375,1.23375,0.859791667,0,0,0,0,0,0
19/10/2023,70.53065972,152.9186364,37.37663194,12.69739583,8.749375,1.33125,1.175868056,0,2,0,0,0,0
20/10/2023,62.41913194,173.1786111,37.89295139,14.84357639,8.4796875,1.4540625,1.1375,0,0,0,0,0,0
21/10/2023,54.08336806,135.1552174,40.326875,9.9678125,4.66625,1.4365625,1.187916667,0,1,0,0,0,0
22/10/2023,,,,,5.335,1.588125,,10,12,10,10,10,10
23/10/2023,50.98651961,134.234375,48.94122549,11.04666667,6.493541667,1.1321875,0.945637255,7,8,7,7,7,7
24/10/2023,46.62958333,107.185,50.15302083,9.382083333,5.7015625,1.3296875,0.848645833,0,1,0,0,0,0
25/10/2023,44.43927083,106.6021181,50.61572917,9.271805556,6.102291667,1.0290625,0.839895833,0,0,0,0,0,0
26/10/2023,39.41291667,102.0847569,52.89118056,8.716493056,5.878020833,1.1321875,0.888541667,0,0,0,0,0,0
27/10/2023,58.89541667,133.4344318,56.41614583,9.972625,11.189375,1.4228125,1.144375,0,2,0,4,0,0
28/10/2023,65.06375,149.2513636,61.13770833,9.402708333,5.5384375,1.8390625,1.350416667,0,2,0,0,0,0
29/10/2023,70.77121528,136.289246,63.27465278,9.933263889,5.6871875,1.9371875,1.434930556,0,3,0,0,0,0
30/10/2023,70.56125,,63.27823529,10.07367647,5.45625,1.5484375,1.254558824,8,9,7,7,7,7
31/10/2023,,,,,,,,24,24,24,24,24,24
01/11/2023,47.61112319,102.1007955,,14.14368056,35.01385417,2.405,1.864456522,1,2,0,0,15,1
02/11/2023,22.755625,63.55510417,66.60947917,9.052222222,8.0146875,1.9840625,0.845243056,0,0,0,0,0,0
