Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,44.66257936507937,96.86722222222222,27.455833333333334,14.787460317460315,71.14864583333333,0.6781250000000001,0.6085714285714287,3,3,3,3,3,3
2023-10-02,33.48847222222222,80.53378472222222,35.520625,23.432430555555555,25.411979166666665,0.7043750000000001,0.5009374999999999,0,0,0,0,0,0
2023-10-03,29.966250000000002,40.7390625,32.54375,9.303020833333333,16.963749999999997,0.8103125,0.5570833333333334,0,0,0,0,0,0
2023-10-04,30.43416666666667,70.5315625,39.6609375,6.348159722222223,11.0615625,0.7809375000000001,0.4404861111111111,0,0,3,0,0,0
2023-10-05,33.430798611111115,74.03027777777777,27.59177083333333,13.899965277777776,22.192083333333336,0.5825,0.41375,0,0,0,0,0,0
2023-10-06,37.58784722222222,74.51159722222222,24.687430555555554,6.101284722222221,25.5003125,0.6534375,0.5085507246376811,0,0,0,0,0,1
2023-10-07,,,,,7.6823958333333335,0.3684375,,16,16,14,14,14,14
2023-10-08,16.671666666666667,68.39104166666665,11.348020833333335,5.699479166666666,8.8634375,0.5553125,0.4127083333333334,0,0,0,0,0,0
2023-10-09,5.666736111111111,19.819756944444446,11.16545138888889,2.9883333333333333,9.6471875,0.35833333333333334,0.3243402777777778,0,0,0,0,0,0
2023-10-10,16.51600694444444,54.00378472222223,17.416840277777776,1.9726984126984128,14.436979166666667,0.5678124999999999,0.49350694444444443,0,0,0,3,0,0
2023-10-11,,,,,45.3621875,0.7130208333333333,,11,11,9,9,10,9
2023-10-12,16.158020833333335,39.65395833333333,22.6790625,5.7754166666666675,5.951874999999999,0.6331249999999999,0.39687500000000003,0,0,0,0,0,0
2023-10-13,14.928229166666666,48.545590277777784,18.52375,3.9265972222222225,34.67572916666667,0.55125,0.45458333333333334,0,0,0,0,0,0
2023-10-14,13.966006944444445,48.62784722222222,16.04784722222222,5.225034722222222,27.1846875,0.5446875,0.43114583333333334,0,0,2,0,0,0
2023-10-15,,45.08204545454546,13.915984848484847,1.2702777777777778,12.193125,0.4403125,0.33795454545454545,10,2,13,6,2,2
2023-10-16,8.501180555555555,42.70420138888889,16.2890625,3.5133712121212124,23.814479166666665,0.545,0.4782638888888889,0,0,0,2,0,0
2023-10-17,7.419916666666666,33.292698412698414,23.520326086956526,14.168229166666668,26.666354166666665,0.579375,0.4777777777777778,4,3,0,0,1,0
2023-10-18,13.955555555555556,39.09149305555555,14.264305555555557,9.4440625,41.18541666666666,0.495625,0.38180555555555556,0,0,0,0,0,0
2023-10-19,12.620173611111111,45.26760416666667,17.814305555555556,8.816875000000001,24.430416666666666,0.4253125,0.3881597222222222,0,0,0,0,0,0
2023-10-20,11.013645833333333,43.39520833333333,14.736354166666667,9.205,37.90593749999999,0.4454166666666666,0.32052083333333337,0,0,0,0,0,0
2023-10-21,11.172604166666666,49.78611111111112,14.034965277777777,8.840868055555555,25.5390625,0.37656249999999997,0.3489583333333333,0,0,13,0,0,0
2023-10-22,9.465451388888889,18.32972222222222,18.72361111111111,10.323472222222223,20.483541666666667,0.42895833333333333,0.4027083333333334,0,0,0,0,0,0
2023-10-23,12.0703125,16.14451388888889,17.804618055555554,7.760868055555555,20.538124999999997,0.4308333333333333,0.37875,0,0,0,0,0,0
2023-10-24,15.684603174603172,18.649841269841268,21.05232638888889,8.5175,20.744791666666664,0.42239583333333336,0.38274305555555554,3,3,0,0,0,0
2023-10-25,15.553991228070178,20.942236842105263,18.430104166666666,1.9680902777777778,8.671249999999999,0.4330208333333333,0.4082638888888888,5,5,7,0,0,0
2023-10-26,10.838985507246377,32.1077536231884,,3.1920486111111117,36.0665625,0.6390625,0.49170138888888887,1,1,0,0,12,0
2023-10-27,12.127604166666666,48.5859375,,6.613923611111112,33.47020833333333,0.589375,0.4539930555555555,0,0,2,0,24,0
2023-10-28,10.742708333333333,43.47347222222222,,10.448576388888888,40.4765625,0.45968749999999997,0.3771875,0,0,8,0,10,0
2023-10-29,12.874826388888891,42.66822916666666,20.320833333333336,5.122604166666666,24.291875,0.47500000000000003,0.40986111111111106,0,0,0,0,0,0
2023-10-30,14.016180555555556,45.103611111111114,20.300763888888888,4.896944444444444,49.4275,0.5273958333333333,0.41642361111111104,0,0,3,0,0,0
2023-10-31,13.77295138888889,48.54340277777778,18.033020833333335,2.2613636363636362,39.5721875,0.7614583333333333,0.5406597222222222,0,0,0,2,0,0
2023-11-01,51.64384057971015,128.68978260869568,35.113680555555554,25.25888888888889,73.246875,0.848125,0.73375,1,1,3,0,0,0
2023-11-02,32.67302083333333,78.56635416666667,28.191249999999997,28.175520833333326,20.33,0.7209375,0.43979166666666664,0,0,0,0,0,0
2023-11-03,38.96659722222222,47.279826388888885,32.06447916666667,11.530833333333334,17.79625,0.79625,0.6898958333333333,0,0,0,0,0,0
2023-11-04,38.83626811594203,94.73057971014492,39.79181159420289,4.093368055555556,11.394479166666667,0.83625,0.540625,1,1,0,0,1,0
2023-11-05,32.241909722222225,83.54430555555555,29.590277777777782,22.29767361111111,18.80125,0.6253124999999999,0.43642361111111105,0,0,0,0,0,0
2023-11-06,35.16892361111111,73.20125,26.32572916666666,3.421736111111111,23.306354166666665,0.6340625,0.4769791666666667,0,0,0,0,0,0
2023-11-07,10.101006944444444,46.10579861111111,13.65236111111111,6.684895833333333,23.21427083333333,0.509375,0.29624999999999996,0,0,0,0,0,0
2023-11-08,14.361041666666667,50.7190625,11.740729166666666,6.154618055555556,25.41583333333333,0.394375,0.3498611111111111,0,0,7,0,0,0
2023-11-09,11.3065625,34.505833333333335,14.303125,4.683541666666666,23.5825,0.39895833333333336,0.3642708333333333,0,0,0,0,0,0
2023-11-10,14.164756944444443,55.92371527777778,19.15048611111111,3.2495833333333333,,0.52,0.4100694444444444,0,0,17,0,0,0
2023-11-11,28.82041666666667,81.4590625,20.879166666666666,3.3675,22.1528125,0.72125,0.6190625000000001,0,0,0,0,0,0
2023-11-12,22.78197916666667,65.60364583333333,28.523020833333334,6.818124999999999,14.5703125,0.7109375,0.5183333333333334,0,0,0,0,0,0
2023-11-13,,,,,22.705624999999998,0.5884375000000001,,11,11,11,11,11,11
2023-11-14,,,,,4.663541666666666,0.6437499999999999,,16,16,16,16,16,16
2023-11-15,24.72119565217391,63.64750000000001,20.44934027777778,5.516086956521738,3.6956249999999997,0.66875,0.5202430555555556,1,1,14,1,0,0
2023-11-16,19.489285714285714,53.338452380952376,22.8875,7.246736111111111,,0.5626041666666667,0.488125,3,3,24,0,0,0
2023-11-17,19.459810606060604,63.21621212121212,21.777256944444446,7.686458333333333,17.414375,0.5584375,0.4553472222222223,2,2,12,0,0,0
2023-11-18,15.322499999999998,55.98909090909092,24.179027777777776,7.992534722222222,23.929479166666667,0.53125,0.46899305555555554,2,2,6,0,0,0
2023-11-19,12.509642857142856,50.32154761904762,21.223819444444445,6.12048611111111,7.956145833333333,0.4375,0.3568402777777777,3,3,10,0,0,0
2023-11-20,14.922272727272729,66.31988636363637,22.138749999999998,6.383749999999999,15.068229166666667,0.4875,0.4558333333333333,2,2,15,0,0,0
2023-11-21,15.38771739130435,49.4125,22.852536231884063,9.33375,25.3534375,0.5218750000000001,0.46322916666666664,1,1,0,0,1,0
2023-11-22,27.226979166666666,56.38833333333333,24.053645833333334,4.881174242424243,29.063125000000003,0.573125,0.5234375,0,0,0,2,0,0
2023-11-23,31.73902777777778,63.52722222222223,23.883645833333333,5.830416666666667,30.300729166666667,0.56375,0.51125,0,0,0,0,0,0
2023-11-24,34.41086805555556,75.86619565217391,23.791041666666672,0.9986594202898548,16.276666666666667,0.6628125,0.5961458333333334,0,1,0,1,0,0
2023-11-25,30.79,56.88727272727272,23.423645833333335,8.737569444444444,37.134375,0.6706249999999999,0.5339583333333333,2,2,6,0,0,0
2023-11-26,30.450833333333332,54.10822916666666,22.770520833333336,7.102291666666666,17.155625,0.541875,0.4875,0,0,4,0,0,0
2023-11-27,29.954375,55.77458333333334,22.91333333333333,6.992708333333333,9.337187499999999,0.576875,0.5434375,0,0,0,0,0,0
2023-11-28,27.4621875,59.429270833333334,25.9146875,8.210729166666667,18.85875,0.6146875,0.5805208333333334,0,0,5,0,0,0
2023-11-29,13.496920289855073,35.42141304347825,23.901180555555555,4.918819444444444,16.3921875,0.6403125,0.5522916666666667,1,1,10,0,0,0
2023-11-30,14.562812500000001,33.3821875,17.5475,4.291354166666666,31.579375000000002,0.5296875,0.4417708333333333,0,0,0,0,0,0
2023-12-01,35.39635416666667,82.98208333333334,28.628854166666667,18.51364583333333,85.95625000000001,0.7871874999999999,0.5637500000000001,0,0,1,0,0,0
2023-12-02,23.883854166666666,83.34996527777778,21.926215277777775,20.572881944444443,36.21874999999999,0.8078125,0.3379861111111111,0,0,0,0,0,0
2023-12-03,,,34.95854166666667,17.117083333333333,15.073125,1.1124999999999998,0.7432291666666666,11,11,0,0,0,0
2023-12-04,51.367638888888884,113.32423611111112,38.060694444444444,8.788541666666667,20.433229166666667,1.1621875,0.6889583333333333,0,0,3,0,0,0
2023-12-05,32.853437500000005,74.7034375,27.097291666666667,16.023854166666666,18.1490625,0.6328125,0.47093749999999995,0,0,0,0,0,0
2023-12-06,26.293194444444442,46.694444444444436,21.612395833333334,2.8911805555555556,25.714791666666663,0.49927083333333333,0.34434027777777776,0,0,0,0,0,0
