Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,81.60555555555555,183.2847222222222,55.829548611111115,6.9756944444444455,58.417500000000004,1.8632291666666667,1.268298611111111,0,0,0,0,0,0
2023-10-02,100.95659722222221,174.96212121212122,60.90041666666667,5.594097222222222,70.64875,1.8353125,1.2560416666666667,0,2,0,0,0,0
2023-10-03,99.81493055555556,191.8416666666667,71.83954861111111,6.651811594202899,58.8346875,1.8537500000000002,1.2638541666666667,0,0,0,1,0,0
2023-10-04,124.50362318840578,204.81562499999998,69.32180555555556,7.471014492753624,72.5490625,2.45125,1.54,1,0,0,1,0,0
2023-10-05,163.66597222222222,251.8130434782609,78.71458333333332,8.002083333333333,83.5146875,3.097395833333333,2.3578125,0,1,0,0,0,0
2023-10-06,189.17361111111111,245.00317460317464,82.98225694444444,8.657246376811594,78.04593750000001,2.4067708333333333,1.9322569444444444,0,3,0,1,0,0
2023-10-07,165.80972222222223,256.5771739130435,73.90576388888888,9.889930555555557,41.6409375,1.955625,1.8046527777777779,0,1,0,0,0,0
2023-10-08,150.4597222222222,192.53849206349207,66.03722222222223,9.786805555555555,28.184375000000003,2.0126041666666667,1.5869791666666666,0,3,0,0,0,0
2023-10-09,148.63405797101453,202.92182539682537,69.78833333333334,9.33611111111111,40.7825,2.0475000000000003,1.4032986111111112,1,3,0,0,0,0
2023-10-10,105.72182539682538,200.46587301587303,62.395507246376816,8.104710144927536,46.447812500000005,2.6473958333333334,1.5078260869565216,3,3,2,1,1,1
2023-10-11,50.57881944444444,226.23715277777777,52.55579861111111,6.121875,59.791875000000005,2.5431250000000003,0.8429861111111112,0,0,0,0,0,0
2023-10-12,43.72847222222222,266.7695652173913,58.5753125,8.801388888888889,108.14635416666667,1.6695833333333332,1.1210763888888888,0,1,0,0,0,0
2023-10-13,56.32083333333335,302.01780303030307,65.67340277777778,7.677083333333333,106.52156250000002,2.025208333333333,1.1157986111111111,0,2,0,0,0,0
2023-10-14,56.59097222222223,230.7444444444444,64.54586805555556,8.74236111111111,115.696875,2.2127083333333335,1.1342013888888889,0,6,0,0,0,0
2023-10-15,80.0826388888889,261.12541666666664,60.1423263888889,9.149652777777778,136.3515625,3.4909375000000002,1.6853125000000002,0,4,17,0,0,0
2023-10-16,74.04318181818184,184.9,47.566319444444446,8.210069444444445,129.658125,3.231666666666667,1.4009722222222223,2,0,9,0,0,0
2023-10-17,33.56911764705882,49.43703703703704,53.70347222222222,9.194791666666667,37.3890625,1.836666666666667,1.4175694444444444,7,6,0,0,0,0
2023-10-18,34.21041666666667,57.28333333333334,48.12944444444444,8.773958333333333,56.16822916666666,2.5477083333333335,1.8280555555555555,0,0,0,0,0,0
2023-10-19,36.445486111111116,64.02638888888889,50.80354166666666,9.944097222222222,66.245625,2.268125,1.7724305555555555,0,0,0,0,0,0
2023-10-20,101.621875,184.76749999999998,60.19753787878789,7.754166666666667,82.8553125,2.140416666666667,1.754965277777778,0,4,0,0,2,0
2023-10-21,205.6452380952381,,65.97260869565216,9.67536231884058,28.6875,2.0218749999999996,1.4727898550724638,3,9,1,1,1,1
2023-10-22,201.6875,385.85131578947374,63.18454861111112,8.825694444444444,20.9578125,1.6580208333333333,0.7564930555555556,0,5,0,0,0,0
2023-10-23,183.1208333333333,313.3297619047619,59.53444444444445,7.806597222222222,13.836875000000001,5.291979166666667,2.4917013888888886,0,3,0,0,0,0
2023-10-24,142.07083333333333,248.66500000000002,57.99604166666666,9.669097222222222,14.170625,5.466145833333333,2.7712847222222217,0,4,0,0,0,0
2023-10-25,143.01076388888887,298.97812500000003,58.6945138888889,9.252083333333333,22.32125,3.1475,1.7960984848484849,0,0,0,0,0,2
2023-10-26,142.6079861111111,281.6875,63.52118055555555,10.278125000000001,9.9084375,5.596458333333333,3.5348263888888893,0,2,0,0,0,0
2023-10-27,166.1159722222222,317.3263888888889,66.26708333333333,10.662152777777777,85.1353125,5.481041666666666,1.9201041666666667,0,6,0,0,0,0
2023-10-28,195.61041666666665,,71.68559027777778,11.826388888888888,95.6834375,3.3988541666666667,2.2927430555555555,0,10,1,0,0,0
2023-10-29,208.28750000000002,365.953125,78.549375,11.529861111111112,128.29625,3.1751041666666664,1.6304166666666664,0,8,5,0,0,0
2023-10-30,235.3260869565217,325.59583333333336,74.2375,8.880555555555555,109.42718749999999,1.3134374999999998,1.0155902777777779,1,4,0,0,0,0
2023-10-31,230.7014705882353,,69.92615942028986,11.572101449275364,89.81468749999999,2.0090625,1.7543115942028984,7,12,1,1,1,1
2023-11-01,212.76041666666666,,66.14559027777777,11.027777777777777,102.8284375,2.52375,1.1837499999999999,0,11,0,0,0,0
2023-11-02,304.9583333333333,518.4510416666667,70.38753472222221,10.480797101449275,57.547604166666666,1.52625,1.169848484848485,0,0,0,1,0,2
2023-11-03,308.32604166666664,485.1047619047619,63.01447916666666,11.106250000000001,55.9153125,1.9980208333333334,1.262048611111111,0,3,0,0,0,0
2023-11-04,417.035,733.2613636363636,72.23954861111112,12.091319444444444,52.4471875,3.2323958333333334,1.8864130434782609,4,2,0,0,0,1
2023-11-05,358.65798611111114,612.5654166666668,60.497951388888886,12.640625,51.9125,3.1533333333333333,1.3854166666666667,0,4,0,0,0,0
2023-11-06,260.53541666666666,575.9102272727273,65.93013888888889,12.205208333333333,82.6003125,4.09125,2.0878030303030304,0,2,0,0,0,2
2023-11-07,252.06562500000004,562.9556818181818,66.50791666666667,15.012152777777779,77.4003125,1.9770833333333333,,0,2,0,0,0,9
2023-11-08,233.62083333333337,560.7697916666667,67.48972222222223,35.28020833333333,62.15375,2.0384375,1.4770833333333335,0,0,0,0,0,0
2023-11-09,315.5005208333333,620.3204545454545,62.674930555555555,11.714236111111111,46.3415625,2.09375,1.4835416666666668,8,2,0,0,0,0
2023-11-10,141.93624999999997,229.01960784313724,46.507028985507255,12.762681159420287,50.968020833333334,2.3597916666666663,2.0364492753623185,4,7,1,1,1,1
2023-11-11,125.08298611111111,210.6520833333333,43.59034722222221,13.146180555555555,58.96125,1.7244791666666668,1.3831018518518519,0,0,0,0,0,6
2023-11-12,170.41195652173914,261.6598484848485,47.669999999999995,15.597569444444444,94.06312500000001,2.302395833333333,1.6128703703703704,1,2,0,0,0,6
2023-11-13,264.44545454545454,572.9833333333333,59.55305555555555,13.089583333333332,52.548125000000006,2.5255208333333337,1.494513888888889,2,3,0,0,0,0
2023-11-14,172.68784722222222,434.9350694444445,59.81072916666667,5.742708333333333,41.79750000000001,1.8375,1.259375,0,0,0,0,0,0
2023-11-15,166.40590277777778,385.5753472222222,58.64354166666667,6.0256944444444445,49.13895833333333,1.8440625,1.2680208333333334,0,0,0,0,0,0
2023-11-16,215.44756944444444,475.3159722222222,66.3263888888889,10.215972222222222,51.95125,1.844375,1.287326388888889,0,0,0,0,0,0
2023-11-17,165.67604166666666,382.24826388888886,62.11107638888888,11.598611111111111,56.56885416666667,1.8341666666666667,1.362462121212121,0,0,0,0,0,2
2023-11-18,105.30833333333334,249.47152777777777,60.74756944444445,10.164930555555555,52.771875,1.8685416666666668,1.3061805555555555,0,0,2,0,0,0
2023-11-19,128.37604166666665,305.2326388888889,61.280381944444436,10.980902777777779,53.6646875,1.8829166666666666,1.304375,0,0,0,0,0,0
2023-11-20,212.33298611111113,397.7261363636363,61.31152777777777,23.12291666666667,43.6315625,1.868125,1.3066319444444445,0,2,0,0,0,0
2023-11-21,153.35643939393938,346.82007575757575,54.79499999999998,10.431159420289855,32.468125,2.4183333333333334,1.5462681159420288,2,2,1,1,1,1
2023-11-22,149.27604166666666,359.2375,51.21194444444444,12.731597222222222,50.3659375,2.4059375,1.601041666666667,0,0,0,0,0,0
2023-11-23,175.56631944444442,394.5208333333333,58.180104166666666,15.056944444444445,53.27208333333334,2.4379166666666667,1.628263888888889,0,0,0,0,0,0
2023-11-24,206.9802083333333,475.0416666666667,62.81677083333333,16.777430555555554,50.420624999999994,2.4423958333333333,1.6202777777777777,0,0,0,0,0,0
2023-11-25,188.02569444444444,444.9333333333334,58.29177083333334,14.840624999999998,36.6425,2.438645833333333,1.6228819444444442,0,0,0,0,0,0
2023-11-26,209.23680555555555,513.8249999999999,56.32604166666667,14.418055555555554,49.2575,2.418229166666667,1.6153472222222225,0,0,0,0,0,0
2023-11-27,153.77083333333334,363.4875,49.03371527777778,10.61875,24.7509375,2.4181250000000003,1.6038541666666666,0,0,0,0,0,0
2023-11-28,94.98125,196.89374999999998,44.413784722222225,12.317708333333334,19.0496875,2.4502083333333333,1.6228819444444442,0,0,0,0,0,0
2023-11-29,145.28680555555556,263.5125,42.19861111111111,13.949652777777777,37.1328125,2.424375,1.6122916666666667,0,0,0,0,0,0
2023-11-30,184.5590909090909,372.41363636363644,40.522318840579715,19.32608695652174,53.94625,2.4052083333333334,1.6119202898550724,2,2,1,1,1,1
2023-12-01,146.56145833333332,270.58402777777775,37.00774305555555,28.302430555555556,55.9553125,2.427604166666667,1.6214583333333337,0,0,0,0,0,0
2023-12-02,107.23229166666665,250.11770833333333,35.04631944444444,26.809027777777775,46.8490625,2.4080208333333335,1.6100694444444443,0,0,0,0,0,0
2023-12-03,101.78749999999998,264.94166666666666,34.100902777777776,26.265277777777772,50.848125,2.4158333333333335,1.6115277777777777,0,0,0,0,0,0
2023-12-04,104.21145833333333,264.503125,32.943576388888886,25.559027777777775,45.9925,2.4221875,1.6135416666666664,0,0,0,0,0,0
2023-12-05,91.4875,215.99375,32.548402777777774,30.167708333333337,43.506874999999994,2.3443750000000003,1.1686805555555555,0,0,0,0,0,0
2023-12-06,126.26458333333335,303.128125,30.31215277777778,46.217013888888886,50.5709375,1.2497916666666664,1.1483680555555555,0,0,0,0,0,0
2023-12-07,171.3822916666667,376.8333333333333,32.05517361111111,49.95104166666666,50.65875,1.11125,1.0707638888888888,0,0,0,0,0,0
2023-12-08,168.79479166666667,378.97812500000003,31.348020833333333,46.69548611111111,42.6721875,2.4346875,1.5424603174603173,0,0,0,0,0,3
2023-12-09,167.50104166666665,390.91770833333334,30.12951388888889,46.77986111111111,44.6059375,2.4034375000000003,1.5995486111111112,0,0,0,0,0,0
2023-12-10,140.63645833333334,353.2552083333333,28.95017361111111,45.56284722222222,37.6075,2.419583333333333,1.6122569444444441,0,0,0,0,0,0
2023-12-11,167.30378787878786,465.2125,36.475434782608694,52.589015151515156,35.2909375,2.412604166666667,1.6399275362318841,2,2,1,2,1,1
