Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,27.32159722222222,55.548541666666665,9.614131944444443,5.719652777777778,12.333333333333334,0.6528125,0.6480902777777778,0,0,0,0,0,0
2023-10-02,27.34340277777778,55.37145833333333,9.562951388888889,6.430104166666666,12.395833333333334,0.6553125,0.6504166666666666,0,0,0,0,0,0
2023-10-03,34.44468749999999,69.681875,9.5884375,7.566319444444445,12.416666666666666,0.6530208333333334,0.6475694444444445,0,0,0,0,0,0
2023-10-04,47.42256944444444,96.36510416666668,9.47482638888889,7.773125,12.625,0.6696875,0.6520138888888889,0,0,0,0,0,0
2023-10-05,49.81895833333332,100.98131944444445,10.198159722222222,14.017118055555557,37.083333333333336,0.8114583333333334,0.7175000000000001,0,0,0,0,0,0
2023-10-06,51.828854166666666,105.05638888888889,12.029618055555554,8.65642361111111,40.4375,0.85,0.7351388888888888,0,0,0,0,0,0
2023-10-07,62.75722222222222,127.43579861111111,14.709583333333333,9.826847826086958,21.21875,0.7864583333333334,0.7805902777777778,0,0,0,1,0,0
2023-10-08,62.80916666666667,127.3465625,14.369479166666666,10.732743055555554,8.0,0.7861458333333333,0.7793055555555556,0,0,0,0,0,0
2023-10-09,53.11041666666667,107.52895833333332,11.075138888888889,8.984131944444444,20.0,0.7802083333333334,0.7055208333333334,0,0,0,0,0,0
2023-10-10,45.55274305555556,92.42083333333333,8.78920138888889,7.8407638888888895,20.0,0.664375,0.6535416666666667,0,0,0,0,0,0
2023-10-11,45.4641304347826,92.2888043478261,8.460181159420289,6.164094202898551,20.0,0.6613541666666667,0.6551449275362319,1,1,1,1,1,1
2023-10-12,45.62496527777777,92.44222222222224,8.343020833333334,6.241145833333332,47.45833333333333,0.6526041666666667,0.6439930555555556,0,0,0,0,0,0
2023-10-13,45.47680555555556,92.37847222222221,8.084131944444444,11.101702898550727,48.0,0.6536458333333334,0.6492361111111111,0,0,0,1,0,0
2023-10-14,45.47815972222222,92.40923611111111,7.70732638888889,9.138263888888888,2.0,0.655,0.6483333333333333,0,0,0,0,0,0
2023-10-15,45.58336805555556,92.32475694444445,7.588819444444444,7.960451388888889,14.083333333333332,0.6561458333333333,0.650173611111111,0,0,0,0,0,0
2023-10-16,45.443437499999995,92.3828125,7.54076388888889,7.717465277777777,24.135416666666664,0.6590625,0.6504513888888889,0,0,0,0,0,0
2023-10-17,,,9.486770833333333,9.244097222222223,40.583333333333336,0.8911458333333333,0.7739930555555556,24,24,0,0,0,0
2023-10-18,,,10.094756944444443,7.733125,45.3125,0.9770833333333333,0.8799999999999999,14,14,0,0,0,0
2023-10-19,50.05810606060606,101.39238636363638,11.844090909090909,7.670227272727272,42.0,0.8265625,0.8129924242424241,2,2,2,2,2,2
2023-10-20,53.95869565217391,109.44108695652176,18.734891304347826,7.145398550724638,37.4375,0.838125,0.7081521739130434,1,1,1,1,1,1
2023-10-21,61.459409722222226,124.68434027777778,19.385416666666668,5.8131818181818184,34.5,0.6592708333333334,0.6550347222222223,0,0,0,2,0,0
2023-10-22,61.46927536231884,124.59742753623186,19.055108695652173,6.05231884057971,34.03125,0.6564583333333333,0.6492753623188406,1,1,1,1,1,1
2023-10-23,61.404696969696964,124.65651515151514,18.448333333333334,7.753371212121213,34.0625,0.6548958333333333,0.6514393939393939,2,2,2,2,2,2
