Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,,,,,32.89302083333333,0.5153125000000001,,9,9,9,9,9,9
2023-10-02,30.470138888888886,80.86423611111111,24.110208333333333,10.235381944444445,32.978854166666665,0.5171875,0.504548611111111,0,0,0,0,0,0
2023-10-03,29.487847222222225,79.06215277777778,23.782881944444444,9.781180555555556,32.30625,0.5053125,0.4955555555555556,0,0,0,0,0,0
2023-10-04,29.74548611111111,79.534375,24.142187499999995,9.87375,32.4603125,0.5078125,0.4969791666666666,0,0,0,0,0,0
2023-10-05,30.18157894736842,80.33684210526314,24.157587719298242,10.090394736842107,32.410624999999996,0.5075000000000001,0.5021929824561403,5,5,5,5,5,5
2023-10-06,,,,,31.924166666666668,0.49875,,14,14,14,14,14,14
2023-10-07,46.838768115942024,113.67541666666668,24.118876811594205,10.234601449275361,32.760937500000004,0.513125,0.5052173913043478,1,4,1,1,1,1
2023-10-08,59.68645833333333,149.26920289855073,23.88,9.82111111111111,32.363125,0.5078125,0.4969791666666667,0,1,0,0,0,0
2023-10-09,60.56111111111111,144.16376811594205,23.986111111111114,10.335034722222222,32.899166666666666,0.5163541666666667,0.506736111111111,0,1,0,0,0,0
2023-10-10,60.16736111111112,141.00069444444443,24.09517361111111,10.099201388888888,32.727291666666666,0.5130208333333333,0.5019791666666666,0,0,0,0,0,0
2023-10-11,59.78576388888889,140.61909722222222,23.922361111111112,9.871180555555556,32.41052083333334,0.5082291666666666,0.49774305555555554,0,0,0,0,0,0
2023-10-12,59.89027777777778,140.72361111111113,23.9753125,9.923298611111111,32.5228125,0.5098958333333333,0.4985069444444445,0,0,0,0,0,0
2023-10-13,60.837083333333325,142.80291666666668,24.436375000000005,10.478958333333333,33.137395833333336,0.5204166666666667,0.51025,4,4,4,4,4,4
2023-10-14,60.00902777777778,140.8423611111111,24.125381944444445,10.007152777777778,32.893125,0.5166666666666667,0.5002083333333333,0,0,0,0,0,0
2023-10-15,59.87604166666667,140.709375,23.866319444444446,9.923680555555555,32.47,0.5086458333333334,0.49854166666666666,0,0,0,0,0,0
