Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,77.74736111111112,134.01017361111113,7.737708333333333,,70.64322916666667,1.704375,1.5675347222222225,0,0,0,24,0,0
2023-10-02,45.19861111111111,92.89177083333334,6.564513888888889,,66.34510416666667,1.3035416666666666,1.058298611111111,0,0,0,12,0,0
2023-10-03,57.93514705882353,74.91014705882354,5.240381944444445,,19.883229166666666,1.2495833333333333,0.8205902777777778,7,7,7,17,0,0
2023-10-04,9.413854166666667,65.49048611111111,,8.951898148148148,,0.7377083333333333,0.3470138888888889,0,0,12,6,24,0
2023-10-05,39.42906249999999,61.61427083333333,4.460972222222222,8.391597222222222,17.325520833333336,1.418125,1.397013888888889,0,0,3,0,0,0
2023-10-06,35.789791666666666,84.51135416666666,4.4255555555555555,8.404930555555556,42.7903125,1.2707291666666667,0.5042013888888889,0,0,0,0,0,0
2023-10-07,,,9.622569444444444,,73.45281250000001,2.3925,1.843125,11,11,10,13,0,0
2023-10-08,13.902166666666668,66.30992753623188,9.610034722222222,15.279956140350876,54.401562500000004,2.423125,1.8627083333333332,4,1,1,5,0,0
2023-10-09,14.755833333333333,25.97760416666667,9.566527777777779,2.9834374999999995,44.315312500000005,2.44375,1.8644791666666667,0,0,0,0,0,0
2023-10-10,54.73753968253969,96.36964285714286,46.01452898550725,9.783771929824562,35.31479166666667,2.3468750000000003,1.7984027777777778,3,3,0,5,1,0
2023-10-11,48.049479166666664,102.7246875,97.873125,16.88036231884058,28.058125000000004,2.9937500000000004,2.2797222222222224,0,0,0,1,0,0
2023-10-12,63.03195652173913,71.27340579710143,5.879027777777778,4.356145833333334,35.9290625,2.3085416666666667,0.9042708333333334,1,1,0,0,0,0
2023-10-13,60.74961805555555,106.95177083333333,78.31822916666665,14.341805555555558,32.78937500000001,1.8175,1.0776736111111112,0,0,0,0,0,0
2023-10-14,63.407976190476184,111.63365079365079,79.0561507936508,12.296481481481482,25.832500000000003,1.0892708333333334,0.6779365079365078,3,3,3,6,3,3
2023-10-15,,,,,28.434375000000003,0.9959375,,11,11,11,11,11,11
2023-10-16,,,,,,,,24,24,24,24,24,24
2023-10-17,,,,,,,,24,24,24,24,24,24
2023-10-18,,,,,,,,23,23,23,24,23,23
2023-10-19,,,,,28.410000000000004,0.6436458333333333,,12,12,12,13,12,12
2023-10-20,43.31513888888889,76.26454861111112,63.731562499999995,24.229097222222226,28.35260416666667,1.0958333333333332,0.6897569444444445,0,0,0,0,0,0
2023-10-21,48.978541666666665,86.22947916666665,103.17,19.3953125,27.693750000000005,1.0854166666666667,0.6852430555555555,0,0,0,0,0,0
2023-10-22,61.25774305555556,107.84569444444442,106.0359375,23.819479166666664,30.228125000000006,1.0935416666666666,0.6873958333333334,0,0,0,0,0,0
2023-10-23,45.85425,80.73079166666668,95.40170833333335,23.808083333333336,31.20125,1.0909375,0.6453333333333334,4,4,4,4,4,4
2023-10-24,46.59617424242424,82.03666666666666,82.41787878787879,23.98348484848485,31.437812500000003,0.9652083333333333,0.6057196969696971,2,2,2,2,2,2
2023-10-25,49.54034090909091,87.2187121212121,9.131666666666668,23.566363636363636,29.668125000000003,0.6355208333333333,0.7007196969696969,2,2,2,2,2,2
2023-10-26,52.10597826086956,91.73648550724639,9.019673913043478,18.158405797101445,30.15635416666667,1.0969791666666666,0.6985144927536233,1,1,10,1,1,1
2023-10-27,48.971363636363634,86.21465909090908,9.819848484848485,20.285757575757575,,0.8290625,0.6775757575757576,2,2,24,2,2,2
2023-10-28,67.87378787878788,119.49814393939393,10.263333333333334,21.909696969696967,46.6134375,0.8634375000000001,0.654280303030303,2,2,15,2,2,2
2023-10-29,81.08,142.74720833333333,9.959416666666666,18.003999999999998,39.993229166666666,0.865625,0.6930416666666667,4,4,8,4,4,4
2023-10-30,60.33670454545456,106.2282196969697,9.700757575757576,21.65337121212121,58.05083333333334,1.13125,0.7295454545454546,2,2,2,2,2,2
2023-10-31,59.83579710144927,102.65478260869567,9.550326086956522,11.304311594202897,68.01218750000001,1.1298958333333333,0.687355072463768,1,1,1,1,1,1
2023-11-01,61.140104166666674,96.93854166666665,6.797083333333333,,94.80770833333334,1.6985416666666668,1.4837847222222222,0,0,2,24,0,0
2023-11-02,47.122083333333336,91.86500000000001,8.034513888888888,5.707291666666667,88.90604166666667,1.6776041666666668,0.984375,0,0,0,0,0,0
2023-11-03,68.9035294117647,90.50558823529411,6.386527777777778,,30.815104166666668,0.9671875000000001,0.8921875,7,7,8,11,0,0
2023-11-04,14.589492753623189,62.15384057971014,,,19.25854166666667,0.7984375,0.320625,1,1,4,9,24,0
2023-11-05,80.06761904761905,100.60154761904761,4.4634375,9.044618055555555,39.411145833333336,1.4190625000000001,1.3994444444444445,3,3,2,0,0,0
2023-11-06,20.288506944444446,47.90486111111111,4.444652777777778,9.778030303030304,43.385625000000005,1.3011458333333334,0.49104166666666665,0,0,0,2,0,0
