Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,,,,,5.911041666666667,1.6606249999999998,,9,9,9,9,9,9
2023-10-02,65.221875,96.22812499999999,37.63302083333334,6.561354166666668,18.9434375,1.0190625,0.9779166666666667,0,0,0,0,0,0
2023-10-03,,,,,21.4053125,0.7771875,,9,9,9,9,9,9
2023-10-04,34.02159090909091,61.009848484848476,39.4396875,19.997638888888886,29.899791666666665,1.7642708333333335,1.5722463768115944,2,2,0,0,0,1
2023-10-05,68.74479166666667,103.34895833333333,39.31003472222222,14.705243055555556,39.376875,1.455625,1.251875,0,0,0,0,0,0
2023-10-06,,,,,26.443125,2.549375,,10,10,10,12,10,10
2023-10-07,20.65277777777778,37.495588235294115,39.41090277777778,5.404965277777777,11.441875,1.371875,1.2304166666666667,6,7,1,0,0,0
2023-10-08,39.534375000000004,82.12743055555556,39.49861111111111,1.6468750000000003,2.5953125,1.394375,1.2709722222222222,0,0,0,0,0,0
2023-10-09,,,39.260364583333335,,45.4315625,1.4603125000000001,1.2921354166666665,10,10,9,9,8,8
2023-10-10,54.51159420289855,152.91231884057973,39.42992753623188,5.593291666666667,80.11125,1.3585416666666668,1.529347826086957,1,1,1,4,1,1
2023-10-11,81.2469298245614,106.58114035087719,9.301739130434783,2.5701893939393936,25.27625,2.3330208333333333,1.4325000000000003,5,5,1,2,1,1
2023-10-12,68.74340277777777,140.803125,9.41013888888889,22.129420289855073,21.0053125,2.2621875,1.2399305555555555,0,0,0,1,0,0
2023-10-13,194.8328125,248.1265625,39.52072916666667,7.620833333333334,67.4490625,1.4591666666666667,1.15578125,8,8,8,8,8,8
2023-10-14,136.91323529411764,225.246568627451,39.411712962962966,14.138627450980392,76.3746875,1.5671875,1.3065277777777777,7,7,6,7,6,6
2023-10-15,166.8238095238095,221.39166666666668,39.5068253968254,6.094285714285714,74.8278125,3.6534375,2.046309523809524,3,3,3,3,3,3
2023-10-16,,,,,49.821354166666666,1.4584374999999998,,19,19,12,14,12,12
2023-10-17,26.520370370370372,38.40138888888888,39.30148148148149,6.986029411764706,34.95791666666667,2.0725000000000002,1.620648148148148,6,6,6,7,6,6
2023-10-18,44.177173913043475,59.81022727272728,39.4908695652174,3.501574074074074,53.2425,2.1825,2.129130434782609,1,2,1,6,1,1
2023-10-19,44.567708333333336,66.67777777777779,39.23170138888889,4.109479166666667,71.04531250000001,2.8290625,1.1383680555555555,0,0,0,0,0,0
2023-10-20,82.38750000000002,109.8401515151515,39.46100694444444,9.11281746031746,43.599062499999995,1.4823958333333334,1.3496031746031747,2,2,1,3,0,3
2023-10-21,59.419444444444444,90.93159722222224,39.505937499999995,1.3347222222222221,56.1675,1.371875,1.2284375,0,0,0,0,0,0
2023-10-22,93.07534722222222,135.56944444444446,39.566631944444445,7.67829861111111,55.9965625,3.4530208333333334,1.9951388888888892,0,0,0,0,0,0
2023-10-23,92.84895833333333,128.08020833333333,41.99836805555556,17.197083333333335,50.75666666666667,1.5590625,1.3910763888888888,0,0,0,0,0,0
2023-10-24,71.16215277777778,109.50972222222221,45.21520833333333,12.171666666666665,48.1403125,3.573020833333333,1.995972222222222,0,0,0,3,0,0
2023-10-25,77.3213768115942,120.23333333333333,45.13873188405798,8.066739130434783,41.271874999999994,2.3566666666666665,1.158985507246377,1,1,1,1,1,1
2023-10-26,122.89126984126985,165.28253968253964,45.101439393939394,13.766929824561407,34.30770833333334,1.6921875,1.3759469696969697,3,3,2,5,2,2
2023-10-27,142.73333333333335,191.01840277777777,45.42947916666666,11.245243055555555,55.560312499999995,1.2661458333333333,1.1031944444444444,0,0,0,0,0,0
2023-10-28,200.28715277777778,239.4753472222222,45.299791666666664,9.286535087719296,53.4975,4.2209375,2.556701388888889,0,0,0,5,0,0
2023-10-29,217.49325396825398,264.84285714285716,45.3759126984127,15.988253968253971,58.471250000000005,2.2175,1.176388888888889,3,3,3,3,3,3
2023-10-30,263.54047619047617,311.01349206349204,45.394375000000004,10.87358695652174,88.54781249999999,1.2620833333333332,1.1089912280701753,3,3,1,1,0,5
2023-10-31,230.2321428571428,284.59444444444443,45.473888888888894,7.25654761904762,83.609375,1.4728124999999999,1.3754761904761905,3,3,3,3,3,3
2023-11-01,,,,,5.884999999999998,1.1012499999999998,,19,19,14,15,14,14
2023-11-02,81.06284722222222,108.7388888888889,37.74489583333334,14.958194444444445,13.846874999999997,1.2052083333333332,1.1633333333333333,0,0,0,0,0,0
2023-11-03,50.73333333333333,73.33923611111112,37.78135416666667,11.605590277777779,26.445937499999996,1.1505208333333334,0.7104513888888889,0,0,0,0,0,0
2023-11-04,53.46973684210526,85.77105263157894,39.43447368421053,24.959605263157897,29.163124999999997,1.5812499999999998,1.5082894736842105,5,5,5,5,5,5
2023-11-05,81.42395833333335,122.45729166666666,39.38225694444444,16.141527777777778,41.05,1.3073958333333333,1.2662152777777778,0,0,0,0,0,0
2023-11-06,,,39.19151041666666,,8.031249999999998,4.164583333333333,,9,9,8,16,8,10
2023-11-07,22.061111111111114,34.3662037037037,39.451770833333335,2.3090972222222224,6.8756249999999985,1.2885416666666667,1.087986111111111,6,6,0,0,0,0
2023-11-08,42.96969696969697,80.26401515151515,39.24886363636364,2.959074074074074,2.4974999999999983,1.39875,2.1388257575757574,2,2,2,6,2,2
2023-11-09,9.536458333333334,24.790277777777778,39.48638888888889,2.16275,53.48229166666666,6.2785416666666665,4.232291666666667,0,0,0,4,0,0
2023-11-10,48.956250000000004,81.43437499999999,39.447673611111114,12.398152173913045,89.0028125,5.0,1.4356944444444444,0,0,0,1,0,0
2023-11-11,28.49411764705882,59.7828431372549,9.553333333333333,4.316916666666667,49.6428125,1.6784375,2.006666666666667,7,7,4,4,4,4
2023-11-12,74.0657894736842,138.87017543859648,9.605219298245613,12.278703703703705,21.701666666666668,2.230625,0.6021491228070176,5,5,5,6,5,5
2023-11-13,221.0363636363636,238.05166666666668,9.301159420289853,9.784673913043477,42.982187499999995,1.430416666666667,1.2912318840579713,2,4,1,1,1,1
2023-11-14,,,,,57.4353125,1.71625,,9,9,9,10,9,9
2023-11-15,213.4526515151515,332.45937499999997,8.934479166666668,17.929444444444446,39.980624999999996,1.2815625,1.1626736111111111,2,0,0,0,0,0
2023-11-16,170.97272727272727,273.73090277777777,9.666875,36.931493055555556,26.0478125,1.1261458333333332,0.9959375,2,0,0,0,0,0
2023-11-17,119.82280701754385,231.9621527777778,8.564305555555556,13.44420138888889,24.244166666666665,0.9969791666666666,0.9272569444444446,5,0,0,0,0,0
2023-11-18,120.84375,184.53680555555556,9.220868055555556,10.160659722222222,26.98625,1.0119791666666667,0.8305208333333334,0,0,0,0,0,0
2023-11-19,132.90625,189.77569444444444,9.321770833333332,5.216840277777778,24.405729166666664,0.8028125,0.657048611111111,0,0,0,0,0,0
