Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,142.15579710144928,237.60227272727272,51.21477272727273,12.87608695652174,89.409375,3.5608333333333335,2.3909848484848486,1,2,1,1,2,2
2023-10-02,53.635416666666664,134.33333333333334,25.162499999999998,16.45763888888889,94.42812500000001,2.3232291666666667,1.0314930555555557,0,0,0,0,0,0
2023-10-03,,,14.973958333333334,7.726736111111111,74.88125,1.234375,0.9453819444444443,11,24,0,0,0,0
2023-10-04,30.17361111111111,165.91666666666666,31.83263888888889,14.439583333333331,94.965625,2.3375,1.8794097222222224,0,0,0,0,0,0
2023-10-05,41.95652173913044,188.90217391304347,29.803571428571434,10.580555555555557,121.675,,,1,1,2,3,3,18
2023-10-06,40.395833333333336,67.16666666666667,6.152430555555557,11.218055555555557,88.175,,,0,0,0,0,0,24
2023-10-07,,,,,,,,24,24,24,24,24,24
2023-10-08,43.645833333333336,77.66666666666667,6.109375,10.909374999999999,34.815625,1.0680208333333334,0.9394791666666666,0,0,0,0,0,0
2023-10-09,15.565217391304348,41.65217391304348,6.378125,6.510416666666667,50.478125000000006,1.9773958333333335,1.6200694444444441,1,1,0,0,0,0
2023-10-10,37.083333333333336,108.58333333333333,11.269791666666668,8.349652777777777,96.44999999999999,1.755,1.4614583333333335,0,0,0,0,0,0
2023-10-11,98.40625,214.13541666666666,27.31805555555556,18.00173611111111,148.978125,1.8644791666666665,1.0529513888888888,0,0,0,0,0,0
2023-10-12,52.770833333333336,117.33333333333333,24.739583333333332,6.694097222222222,91.25312500000001,1.1552083333333334,0.8136805555555555,0,0,0,0,0,0
2023-10-13,40.25,119.47916666666667,18.088541666666668,8.452083333333333,100.275,1.4325,1.1861805555555556,0,0,0,0,0,0
2023-10-14,36.427083333333336,106.89583333333333,14.934375000000001,8.637847222222222,97.2,1.176875,0.9063194444444446,0,0,0,0,0,0
2023-10-15,41.239583333333336,123.15625,15.869791666666666,8.880555555555555,105.81562500000001,1.506875,1.1233333333333333,0,0,0,0,0,0
2023-10-16,38.25,113.19791666666667,16.028125000000003,8.896180555555555,80.653125,1.7522916666666668,1.3397569444444442,0,0,0,0,0,0
2023-10-17,41.427083333333336,123.89583333333333,24.756249999999998,9.10173611111111,83.665625,1.609375,1.0575,0,0,0,0,0,0
2023-10-18,39.770833333333336,118.11458333333333,20.91875,8.172569444444443,77.846875,1.94625,1.3048611111111112,0,0,0,0,0,0
2023-10-19,39.75,117.85416666666667,20.775000000000002,8.625694444444445,90.9875,2.101875,1.847013888888889,0,0,0,0,0,0
2023-10-20,42.083333333333336,125.66666666666667,20.996875,8.781944444444443,98.6375,2.11125,1.3858680555555554,0,0,0,0,0,0
2023-10-21,46.947916666666664,141.88541666666666,38.734375,11.902430555555554,103.00000000000001,1.9929166666666667,1.4607638888888888,0,0,0,0,0,0
2023-10-22,49.395833333333336,149.9375,36.14791666666667,10.820833333333335,101.821875,2.4378124999999997,1.3603472222222222,0,0,0,0,0,0
2023-10-23,46.583333333333336,140.19791666666666,25.509375000000002,11.168402777777777,93.49375,1.5723958333333334,1.1163194444444444,0,0,0,0,0,0
2023-10-24,40.833333333333336,121.78125,24.933333333333334,11.517361111111109,100.8375,1.8241666666666667,1.3272463768115943,0,0,0,0,0,1
2023-10-25,44.979166666666664,135.5,33.690625000000004,9.169444444444444,95.80937500000002,3.0389583333333334,2.143263888888889,0,0,0,0,0,0
2023-10-26,58.645833333333336,180.67708333333334,42.56076388888889,7.641304347826088,97.37916666666666,3.2767708333333334,1.643985507246377,0,0,0,1,0,1
2023-10-27,52.63888888888889,163.11805555555557,31.042063492063498,4.8204166666666675,110.16250000000001,1.8752083333333334,0.8013541666666667,0,0,0,4,3,0
2023-10-28,52.65625,139.48958333333334,26.087847222222223,8.487499999999999,129.703125,1.309375,0.9315277777777778,0,0,0,0,0,0
2023-10-29,66.85416666666667,155.77083333333334,33.539772727272734,9.350000000000001,136.9625,1.475,1.0303819444444444,0,0,0,2,2,0
2023-10-30,71.58333333333333,165.0625,32.69861111111111,10.053125,121.46979166666668,1.6840625,1.0688888888888888,0,0,0,0,0,0
2023-10-31,75.80208333333333,198.875,30.052430555555556,11.311458333333334,125.42500000000001,1.4298958333333334,1.1604166666666667,0,0,0,0,0,0
