Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,26.833043478260873,70.698125,16.72367424242424,4.628550724637681,35.3428125,0.803125,0.6569097222222222,1,0,1,1,2,0
2023-10-02,29.612857142857145,83.29217391304348,9.667272727272728,6.29578125,37.2003125,0.6471875,0.4483695652173913,3,1,2,8,2,1
2023-10-03,32.55020833333334,101.36156249999999,15.324270833333335,6.672291666666666,52.605625,0.5384375,0.418125,0,0,0,0,0,0
2023-10-04,32.51,97.02041666666666,16.485312500000003,8.061458333333334,55.8009375,0.6675,0.4590625000000001,0,0,0,0,0,0
2023-10-05,35.40020833333333,90.50916666666666,27.626562500000002,8.27875,57.96062499999999,0.7053125,0.5191666666666667,0,0,0,0,0,0
2023-10-06,28.985520833333336,87.55250000000001,20.495416666666667,8.008958333333332,57.1321875,0.7125,0.44249999999999995,0,0,2,0,0,0
2023-10-07,25.975471014492758,87.37239130434784,12.990757575757574,7.114275362318839,48.093125,0.81,0.5595454545454546,1,1,5,1,2,2
2023-10-08,26.441597222222224,84.62482638888889,15.930555555555557,6.127048611111111,46.6071875,0.8802083333333334,0.7154861111111112,0,0,12,0,0,0
2023-10-09,39.37142361111111,83.35065972222222,34.6996875,4.303958333333333,55.801249999999996,0.9940625,0.7895833333333333,0,0,2,0,0,0
2023-10-10,28.247083333333336,83.46718750000001,15.816875000000001,2.9490625,43.29625,0.994375,0.7374999999999999,0,0,11,0,0,0
2023-10-11,23.24802083333334,79.31614583333332,18.968333333333334,2.4904166666666665,37.927499999999995,1.725625,1.0112500000000002,0,0,0,0,0,0
2023-10-12,28.93478260869565,97.16526515151514,26.890312499999997,1.51875,47.95375000000001,1.655,0.8633333333333333,1,2,0,0,0,0
2023-10-13,31.885520833333334,97.08656250000001,17.179062499999997,2.1165625,37.60625,1.59125,1.0784375,0,0,0,0,0,0
2023-10-14,40.41141304347826,119.20579710144929,23.733645833333338,3.2494791666666667,37.94,1.0784375,0.9146875,1,1,6,0,0,0
2023-10-15,38.94863636363636,103.93727272727273,30.614375000000006,2.3548958333333334,48.8459375,1.1846875,0.9550000000000001,2,2,0,0,0,0
2023-10-16,41.00791666666667,123.46947916666666,29.98510416666667,3.5962847222222223,42.83479166666667,1.1365625,0.9429166666666666,0,0,7,0,0,0
2023-10-17,38.12916666666667,111.72645833333333,24.964791666666667,1.4870833333333333,16.408854166666668,1.213125,0.9164583333333334,0,0,0,0,0,0
2023-10-18,36.45520833333333,108.9448611111111,19.851388888888888,2.1246875,39.239270833333336,0.9734375,0.7623611111111112,0,0,0,0,0,0
2023-10-19,34.42604166666667,136.2357291666667,27.183958333333333,1.7467708333333334,46.53124999999999,0.8040625,0.7026851851851852,0,0,0,0,0,6
2023-10-20,43.7775,141.33697916666668,28.910625,1.5926041666666666,44.841875,0.5687500000000001,0.42593749999999997,0,0,0,0,0,8
2023-10-21,44.51125,164.959375,13.006354166666666,3.0716666666666668,45.362187500000005,0.5753124999999999,0.40805555555555556,0,0,0,0,0,0
2023-10-22,41.62895833333334,119.91291666666666,17.955000000000002,3.855625,35.66875,0.89875,0.5982291666666666,0,0,0,0,0,0
2023-10-23,42.044895833333335,187.80031250000002,26.39510416666667,3.205625,27.4846875,2.7903125,1.8094791666666667,0,0,8,0,0,0
2023-10-24,32.29708333333333,116.92104166666667,19.89451388888889,3.0928819444444446,,3.293229166666667,3.1339583333333336,0,0,24,0,0,0
2023-10-25,33.10048611111111,168.72041666666667,30.315034722222222,2.9836805555555554,,3.4183333333333334,2.9386805555555555,0,0,24,0,0,0
2023-10-26,34.719791666666666,162.94885416666668,26.891145833333336,2.5924305555555556,,3.093125,2.386041666666667,0,0,22,0,0,0
2023-10-27,32.03357638888889,136.10388888888886,27.98472222222222,3.2597916666666666,,2.2953125,1.4061458333333334,0,0,23,0,0,0
2023-10-28,28.404637681159418,132.8621739130435,21.94315972222222,3.0588541666666664,,0.8505208333333333,0.7001736111111111,1,1,24,0,0,0
2023-10-29,35.798854166666665,126.70611111111111,18.407291666666666,2.862708333333334,,0.83875,0.7119791666666666,0,0,24,0,0,0
2023-10-30,37.78375,127.99934782608695,18.708541666666665,5.23125,59.006875,0.93125,0.7814583333333335,4,1,16,0,0,0
2023-10-31,47.24229166666667,138.49579861111113,12.471874999999999,6.3339583333333325,116.36656250000001,0.946875,0.7141666666666667,0,0,0,0,0,0
2023-11-01,52.01913194444444,169.87548611111112,21.0221875,4.306458333333333,110.033125,0.9053125,0.8094791666666666,0,0,3,0,0,0
2023-11-02,47.585729166666674,125.28128472222222,30.948958333333337,3.5543750000000003,100.7671875,2.27,1.377291666666667,0,0,0,0,0,0
2023-11-03,50.63489583333334,109.79843749999999,23.199479166666663,4.031875,86.79062499999999,1.0428125000000001,0.8630208333333332,0,0,0,0,0,0
2023-11-04,45.50056818181818,113.04284090909091,28.718043478260874,3.0067391304347835,68.03218749999999,0.9609375,0.8744565217391304,2,2,2,1,1,1
2023-11-05,46.307812500000004,80.15520833333333,15.697083333333333,5.027916666666667,99.10624999999999,4.081666666666667,2.0993055555555555,0,0,0,0,0,0
2023-11-06,42.63557971014493,83.63409420289855,15.837673611111112,6.8187847222222215,64.72677083333333,2.9569791666666667,0.8019791666666668,1,1,0,0,0,0
2023-11-07,42.41552083333334,83.91208333333333,18.209791666666668,7.0665625,81.358125,0.9259375,0.7837500000000001,0,0,0,0,0,0
2023-11-08,43.24743055555556,91.92493055555558,20.279930555555556,5.784826388888889,107.67093750000001,0.9755208333333334,0.8340277777777777,0,0,0,0,0,0
2023-11-09,68.0540625,110.20572916666667,23.68885416666667,4.121041666666667,48.5634375,0.9873958333333334,0.5261458333333333,0,0,0,0,0,0
2023-11-10,96.663125,143.31302083333333,20.278645833333332,2.9821874999999998,50.853125,0.603125,0.28802083333333334,0,0,0,0,0,0
2023-11-11,97.33760416666667,135.8057638888889,17.900937499999998,4.7938888888888895,29.259479166666665,0.5528125,0.33625,0,0,0,0,0,0
