Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,60.64961805555555,87.84256944444445,27.303923611111113,11.63111111111111,29.2971875,1.9840624999999998,1.0927272727272723,0,0,0,0,0,2
2023-10-02,48.086228070175444,71.52026315789473,23.859166666666667,11.711354166666666,30.763437500000002,0.41156250000000005,0.36597222222222225,5,5,0,0,0,6
2023-10-03,41.67118055555556,70.77368055555554,22.71847222222222,11.654687500000001,32.6221875,0.4140625,0.31846491228070173,0,0,0,0,0,5
2023-10-04,50.890833333333326,82.70125,23.01006944444444,12.175555555555556,31.548125,0.3926041666666667,0.3896929824561404,0,0,0,0,0,5
2023-10-05,54.04423611111111,87.81805555555555,23.24215277777778,12.199895833333334,32.958958333333335,0.4,0.37152777777777785,0,0,0,0,0,6
2023-10-06,49.098333333333336,79.78503472222222,22.841805555555556,12.206944444444446,32.34125,0.31947916666666665,0.27849206349206346,0,0,0,0,0,3
2023-10-07,41.44753472222222,67.41517361111111,22.807291666666668,12.150520833333333,31.75166666666667,0.23510416666666664,0.1863405797101449,0,0,0,0,0,1
2023-10-08,38.403194444444445,62.37947916666667,22.20753472222222,12.427048611111113,32.39,0.344375,0.2633333333333333,0,0,0,0,0,1
2023-10-09,43.95083333333333,71.41938405797102,22.26895833333333,11.720208333333332,31.188125000000003,0.35062499999999996,0.18297101449275358,1,1,0,0,0,1
2023-10-10,42.70808823529412,71.14385416666666,22.99263888888889,8.871909722222222,31.573854166666663,0.2175,0.2066666666666667,7,8,0,0,0,3
2023-10-11,50.00273809523809,81.26214285714286,23.151098484848482,11.68840909090909,33.78791666666667,0.6407291666666666,0.3874561403508771,3,3,2,2,2,5
2023-10-12,59.97357638888889,97.47159722222223,23.205729166666668,11.871493055555556,29.925520833333334,0.246875,0.21436507936507937,0,0,0,0,0,3
2023-10-13,65.40694444444443,99.48375,22.841805555555553,10.276597222222223,31.165000000000003,0.3965625,0.3126041666666666,6,6,0,0,0,0
2023-10-14,55.0632843137255,83.05803921568628,22.99347222222222,9.113124999999998,31.0790625,0.400625,0.4000000000000001,7,7,0,0,0,0
2023-10-15,44.74836805555555,72.78357638888889,23.21267361111111,11.87940972222222,32.43625,0.4,0.4000000000000001,0,0,0,0,0,0
2023-10-16,55.912017543859655,101.25394736842105,20.699642857142855,10.010674603174603,30.5359375,0.4,0.3392424242424242,5,5,3,3,3,2
2023-10-17,64.11565972222222,98.48263888888887,23.62517361111111,11.931354166666665,29.9253125,0.5134375,0.4261458333333333,0,0,0,0,0,0
2023-10-18,66.20315972222222,101.86034722222223,23.23263888888889,11.656006944444444,29.0965625,0.405,0.3378571428571429,0,0,0,0,0,3
2023-10-19,39.43631944444444,78.31597222222221,27.23337121212121,14.063659420289852,29.428437499999998,1.06,0.620072463768116,0,0,1,1,2,1
2023-10-20,48.9886403508772,106.98083333333335,29.852675438596492,15.325219298245612,27.597500000000004,0.4222916666666667,0.44296875,5,5,5,5,5,8
2023-10-21,28.634722222222223,89.35961805555557,36.675625000000004,16.282500000000002,29.943125000000002,0.603125,0.5212878787878789,0,0,0,0,0,2
2023-10-22,37.90309027777778,99.61027777777777,40.54371527777778,16.925034722222225,30.767187500000002,0.6216666666666667,0.6059722222222222,0,0,0,0,0,0
2023-10-23,32.2878125,83.14788194444445,40.34961805555556,16.7853125,32.1821875,0.6175,0.6055555555555555,0,0,0,0,0,0
2023-10-24,45.5846875,116.64114583333333,40.24489583333334,16.66670138888889,30.0903125,0.6341666666666665,0.5777777777777777,0,0,0,0,0,0
2023-10-25,74.77777777777777,146.96430555555557,28.084166666666665,16.188333333333333,29.9171875,0.769375,0.5986111111111111,0,0,0,0,0,0
2023-10-26,74.9375,130.57072916666667,19.545729166666668,20.593194444444443,29.848333333333333,0.7503124999999999,0.6099603174603174,0,0,3,0,0,3
2023-10-27,75.31277777777778,130.79107638888888,20.150868055555556,26.8059375,35.89125,0.8875,0.6873750000000001,0,0,0,0,0,4
2023-10-28,73.2669696969697,134.8587878787879,20.05260416666667,24.789618055555554,62.0925,0.6585416666666666,0.5585869565217392,2,2,0,0,0,1
2023-10-29,68.12649305555556,149.71322916666668,20.246875,15.58232638888889,58.988125000000004,0.4397916666666667,0.2927083333333333,0,0,1,0,0,0
2023-10-30,87.90060606060605,151.2303125,20.06111111111111,9.675451388888888,49.465312499999996,0.24031249999999998,0.1929861111111111,2,0,0,0,0,0
2023-10-31,95.18027777777779,136.05934027777778,20.4715625,25.916944444444443,48.5203125,0.6702083333333333,0.5162152777777779,0,0,0,0,0,0
2023-11-01,85.26545138888889,121.5596875,19.65041666666667,44.89836805555556,48.43020833333333,0.75,0.6198263888888889,0,0,0,0,0,0
2023-11-02,101.96194444444444,142.80260416666667,39.09979166666667,47.63392361111111,48.07020833333333,1.1055208333333335,0.7066319444444445,0,0,0,0,0,0
2023-11-03,106.6089492753623,140.20108695652175,31.843876811594203,22.498863636363637,45.285833333333336,1.0645833333333334,0.5364930555555555,1,1,1,2,1,0
2023-11-04,115.52090277777778,166.7084027777778,31.4196875,21.319305555555555,53.910624999999996,1.0913541666666666,0.9476388888888888,0,0,0,0,0,0
2023-11-05,92.26350694444443,145.85204861111112,39.508125,26.30357638888889,54.125416666666666,1.6782291666666667,1.3026041666666668,0,0,0,0,0,0
2023-11-06,140.94815972222224,226.31572916666664,38.39170138888889,40.19746527777778,54.04687500000001,3.0690625000000002,1.751423611111111,0,0,0,0,0,0
2023-11-07,112.57711805555554,173.97631944444447,23.78815972222223,21.15795138888889,59.8603125,0.6814583333333333,0.47864583333333327,0,0,0,0,0,0
2023-11-08,110.72791666666667,183.73680555555555,22.44295138888889,29.762986111111115,57.001041666666666,0.6890625,0.5955208333333334,0,0,0,0,0,0
2023-11-09,108.5085763888889,160.20121527777778,24.026909722222218,20.388506944444444,59.89791666666666,0.834375,0.6608680555555555,0,0,0,0,0,0
2023-11-10,65.6134375,101.75034722222222,20.74107638888889,5.882708333333333,55.90927083333333,0.4701041666666666,0.3529166666666666,0,0,0,0,0,0
2023-11-11,63.720208333333325,114.86500000000001,8.508541666666666,10.03298611111111,57.739999999999995,0.85375,0.5305208333333333,0,0,0,0,0,0
2023-11-12,86.90194444444444,144.78916666666666,22.996909722222224,24.53663194444444,55.499375,2.1061458333333336,1.2039236111111111,0,0,0,0,0,0
2023-11-13,151.8527777777778,279.8190972222222,39.668749999999996,22.743506944444448,54.429375,2.4362500000000002,1.2333680555555555,0,0,0,0,0,0
2023-11-14,89.28618055555556,192.73680555555555,39.9053125,31.15822916666666,55.7796875,1.5474999999999999,1.2639583333333333,0,0,0,0,0,0
2023-11-15,92.76687500000001,189.2579861111111,34.49763888888889,16.089131944444446,54.2859375,1.4056250000000001,0.6438888888888888,0,0,0,0,0,0
2023-11-16,119.4792013888889,212.25694444444443,30.675416666666667,10.167083333333332,55.4225,0.525,0.4065972222222222,0,0,0,0,0,0
2023-11-17,84.87920138888889,145.03541666666666,31.084444444444443,9.197604166666666,54.21843750000001,0.41218749999999993,0.3680555555555555,0,0,0,0,0,0
2023-11-18,86.0096875,146.6138888888889,31.048958333333335,9.237118055555555,57.5046875,0.395625,0.3633333333333333,0,0,0,0,0,0
