Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,47.817708333333336,107.6763888888889,56.807361111111106,7.913020833333334,98.46187499999999,0.5573958333333334,0.2853125,0,0,0,0,0,0
2023-10-02,53.0090579710145,,65.25940972222223,8.959895833333333,131.5546875,0.8897916666666666,0.6966666666666667,1,11,0,0,0,0
2023-10-03,55.02777777777777,128.72048611111111,76.9879513888889,8.874166666666666,123.68124999999999,1.2728125,0.8870833333333333,0,0,0,0,0,0
2023-10-04,62.74094202898551,138.25688405797104,81.00392361111112,7.089166666666666,105.45343749999999,1.9758333333333336,1.3914930555555556,1,1,0,0,0,0
2023-10-05,58.93680555555556,123.69791666666667,58.71420138888889,10.561736111111111,92.21843750000001,1.9600000000000002,1.1386805555555555,0,0,0,0,0,0
2023-10-06,41.590625,105.94270833333333,33.98322916666667,7.54625,70.715,1.4536458333333333,1.0339930555555554,0,0,0,0,0,0
2023-10-07,44.10763888888889,102.59722222222221,45.744236111111114,10.689895833333333,78.413125,1.4747916666666665,1.0472222222222223,0,0,0,0,0,0
2023-10-08,38.708333333333336,90.96180555555554,45.17333333333334,8.65420138888889,57.51135416666666,1.4602083333333333,1.0374999999999999,0,0,0,0,0,0
2023-10-09,41.34444444444444,92.60555555555555,52.14826388888889,10.317847222222222,56.485625,1.3085416666666665,1.0709722222222222,0,0,0,0,0,0
2023-10-10,56.842083333333335,111.96708333333336,52.67591666666666,10.402458333333334,41.627812500000005,1.4139583333333332,1.0820833333333333,4,4,4,4,4,4
2023-10-11,66.67291666666667,137.228125,51.88708333333333,8.012118055555556,77.406875,1.4921874999999998,0.9389583333333332,0,0,0,0,0,0
2023-10-12,48.971180555555556,119.50763888888889,58.94949074074074,9.3421875,107.90781249999999,2.0237499999999997,1.1422222222222222,0,0,0,0,6,0
2023-10-13,51.04479166666667,123.02534722222221,56.037708333333335,12.775398550724637,88.5928125,2.1819791666666664,1.0117708333333333,0,0,0,1,0,0
2023-10-14,46.240625,108.72604166666667,52.18711805555555,10.439305555555556,91.8825,1.88125,0.6827430555555556,0,0,0,0,0,0
2023-10-15,43.580555555555556,96.41562500000002,44.15847222222222,13.654722222222224,71.7903125,1.3431250000000001,0.9536458333333334,0,0,0,0,0,0
2023-10-16,39.190625000000004,97.578125,38.40652777777778,13.435451388888888,67.5275,1.3377083333333335,0.8063541666666666,0,0,0,0,0,0
2023-10-17,34.765625,75.85069444444444,28.927812499999998,13.1246875,87.239375,1.0268750000000002,0.6340972222222222,0,0,0,0,0,0
2023-10-18,39.56875,77.14583333333333,43.38565972222222,11.749375,93.103125,0.9473958333333335,0.6837152777777779,0,0,0,0,0,0
2023-10-19,38.25972222222222,91.09097222222222,66.1660763888889,11.868715277777776,105.59093750000001,1.0267708333333336,0.84,0,0,0,0,0,0
2023-10-20,46.50486111111112,109.82361111111112,50.10434027777777,12.753576388888888,131.823125,1.5041666666666669,0.907673611111111,0,0,0,0,0,0
2023-10-21,49.484375,119.27604166666667,56.25354166666667,13.138229166666667,131.544375,1.4486458333333336,0.8091666666666667,0,0,0,0,0,0
2023-10-22,58.60972222222222,157.603125,46.80475694444444,12.644097222222221,126.6496875,1.1976041666666668,0.744548611111111,0,0,0,0,0,0
2023-10-23,49.03985507246377,101.33229166666666,62.211215277777775,11.786180555555555,107.84625,1.0473958333333335,0.9134027777777778,1,0,0,0,0,0
