Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,42.83229166666666,133.6052083333333,56.30375,9.6046875,51.0565625,1.0506250000000001,0.6029166666666667,0,0,0,0,0,0
2023-10-02,42.018750000000004,131.46770833333335,58.72437500000001,9.754270833333335,64.7075,0.996875,0.5805208333333334,0,0,0,0,0,0
2023-10-03,42.684374999999996,152.87291666666667,61.53114583333333,9.889166666666666,53.571875000000006,0.8796875,0.581875,0,0,0,0,0,0
2023-10-04,40.83541666666667,121.38020833333333,55.686041666666675,9.786145833333334,49.171875,0.8265625000000001,0.5830208333333333,0,0,0,0,0,0
2023-10-05,33.922916666666666,98.82291666666667,53.307916666666664,9.517291666666667,50.2559375,0.7668750000000001,0.5558333333333333,0,0,0,0,0,0
2023-10-06,32.278125,91.01041666666667,52.842187499999994,9.746666666666668,55.97500000000001,0.785625,0.5310416666666667,0,0,0,0,0,0
2023-10-07,32.790625,87.74270833333333,50.231770833333336,9.728958333333333,53.620000000000005,0.704375,0.538125,0,0,0,0,0,0
2023-10-08,29.86145833333333,80.73854166666666,44.75763888888889,9.379791666666668,59.9115625,0.6790624999999999,0.4671874999999999,0,0,0,0,0,0
2023-10-09,34.85326086956522,83.121875,50.14804347826087,6.265757575757575,39.784062500000005,0.84375,0.5870238095238095,1,0,2,2,1,3
2023-10-10,32.85,67.67604166666666,30.394499999999994,3.786041666666667,52.5571875,0.8474999999999999,0.5347916666666667,0,0,0,0,4,0
2023-10-11,38.96458333333333,89.90208333333334,38.787708333333335,8.422465277777777,60.28375,1.1270833333333334,0.6530902777777778,0,0,0,0,0,0
2023-10-12,38.334375,95.1875,53.8559375,12.918124999999998,55.325312499999995,1.2453125,0.8264583333333334,0,0,0,0,0,0
2023-10-13,37.184375,92.11145833333335,57.035625,12.460208333333336,63.5528125,1.0190625,0.7114583333333333,0,0,0,0,0,0
2023-10-14,40.68541666666667,87.87916666666666,53.69065972222222,12.259791666666667,59.273020833333334,1.0871875,0.7242708333333333,0,0,0,0,0,0
