Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,,,,,,,,24,24,24,24,24,24
2023-10-02,,,,,,,,24,24,24,24,24,24
2023-10-03,15.642857142857142,32.34126984126984,21.050396825396824,7.12063492063492,68.315625,0.526875,0.4775,3,3,3,3,3,3
2023-10-04,,36.14473684210526,25.829513888888886,6.691666666666667,51.25625,0.718125,0.7071825396825395,11,5,0,0,0,3
2023-10-05,36.302083333333336,56.28125,27.348958333333332,7.877083333333334,151.37812499999998,0.796875,0.38068627450980397,0,0,6,0,0,7
2023-10-06,24.583333333333332,37.655797101449274,9.739236111111111,3.9013888888888886,68.91354166666666,0.6503125,0.4293402777777778,1,1,0,0,0,0
2023-10-07,8.270833333333334,53.145833333333336,9.361458333333333,4.142083333333334,48.4375,0.5996875,0.3329166666666667,0,0,0,4,0,0
2023-10-08,28.868055555555557,130.6215277777778,12.288541666666665,7.128125000000001,50.928125,0.3884375,0.308125,0,0,0,0,0,0
2023-10-09,8.552083333333334,25.979166666666668,7.463541666666667,6.621875,51.30625,0.4921875,0.4142708333333333,0,0,0,0,0,0
2023-10-10,27.793478260869566,54.17391304347826,16.556597222222223,9.172916666666667,66.15208333333334,0.4440625,0.24906250000000005,1,1,0,0,0,0
2023-10-11,60.854166666666664,87.46875,30.258333333333336,8.798958333333333,109.74687499999999,0.621875,0.4243421052631579,0,0,0,0,0,5
2023-10-12,,,,,,0.7625,,16,16,24,16,16,16
2023-10-13,36.0,62.479166666666664,30.731521739130443,8.061458333333334,65.525,1.1156249999999999,0.7440277777777777,0,0,0,0,1,0
2023-10-14,32.29347826086956,58.858695652173914,25.642013888888886,9.829513888888888,73.075,1.114375,0.6151388888888888,1,1,0,0,0,0
2023-10-15,29.565217391304348,55.96739130434783,23.04201388888889,8.046527777777778,66.2375,1.0115625,0.6405555555555557,1,1,0,0,0,0
2023-10-16,29.07608695652174,55.18478260869565,22.35625,8.282291666666667,64.384375,0.96625,0.5189236111111111,1,1,0,0,0,0
2023-10-17,19.5,45.09375,14.65,5.440625,49.89375,0.5859375,0.4070833333333333,0,0,0,0,0,0
2023-10-18,27.604166666666668,53.395833333333336,17.016666666666666,9.616666666666667,70.73125,0.4059375,0.3628125,0,0,0,0,0,0
2023-10-19,29.195652173913043,54.97826086956522,22.730797101449273,7.818749999999999,74.584375,1.1514583333333333,0.7244202898550725,1,1,0,0,1,1
2023-10-20,32.51587301587302,58.68253968253968,25.335069444444446,8.081249999999999,65.10520833333334,0.9606250000000001,0.6808680555555555,3,3,0,0,0,0
2023-10-21,34.90217391304348,60.98913043478261,25.40833333333333,6.050347222222221,48.48020833333333,0.8128125,0.6884722222222223,1,1,0,0,0,0
2023-10-22,35.358695652173914,61.54347826086956,24.575000000000003,8.261458333333334,61.53125,0.8215625,0.6653472222222222,1,1,0,0,0,0
2023-10-23,38.885416666666664,64.95833333333333,28.482291666666665,9.270833333333334,86.7125,0.7990625,0.6115625,0,0,0,0,0,0
2023-10-24,43.81521739130435,70.03260869565217,33.02777777777778,8.527083333333334,65.85312499999999,0.8653124999999999,0.8203125,1,1,0,0,0,0
2023-10-25,41.052083333333336,67.15625,32.112500000000004,6.021874999999999,55.90625,0.8856250000000001,0.7156249999999998,0,0,0,0,0,0
2023-10-26,37.25,63.34090909090909,32.74347826086956,10.035869565217393,90.43125,0.980625,0.7546739130434782,2,2,1,1,1,1
2023-10-27,29.068181818181817,54.93181818181818,32.092045454545456,8.888043478260869,70.303125,0.8325,0.6543478260869564,2,2,1,1,2,1
2023-10-28,34.141304347826086,60.119565217391305,33.817708333333336,9.824305555555556,69.8625,1.0840625,0.7828124999999999,1,1,0,0,0,0
2023-10-29,32.70454545454545,58.59090909090909,32.82326388888888,8.904861111111112,122.184375,1.1252083333333334,0.7293055555555555,2,2,0,0,0,0
2023-10-30,35.76086956521739,61.98913043478261,35.13993055555556,9.74236111111111,130.3375,1.0615625,0.852986111111111,1,1,1,0,0,0
2023-10-31,36.09166666666667,62.39166666666667,23.902898550724636,9.221014492753623,136.95624999999998,1.010625,0.6329710144927537,4,4,2,1,1,1
2023-11-01,,,,,,,,24,24,24,24,24,24
2023-11-02,,,,,,,,24,24,24,24,24,24
2023-11-03,23.681818181818183,41.60227272727273,25.042391304347827,5.660869565217391,66.371875,0.7040625,0.4952450980392156,2,2,1,1,1,7
2023-11-04,23.88235294117647,30.443181818181817,23.602083333333336,5.894791666666666,53.671875,0.6765625,,7,2,0,0,0,9
2023-11-05,34.869565217391305,54.375,25.104166666666668,7.051754385964911,126.45625,0.70875,0.42385416666666664,1,2,6,5,0,0
2023-11-06,21.416666666666668,32.826388888888886,9.821875,2.9177083333333336,107.64375,0.44218749999999996,0.32666666666666666,0,0,0,0,0,0
2023-11-07,13.4375,101.1304347826087,9.983333333333334,7.326041666666666,66.3,0.435625,0.31666666666666665,0,1,0,0,0,0
2023-11-08,25.5625,97.67708333333333,11.346874999999999,6.220652173913043,64.24374999999999,0.3540625,0.3077083333333333,0,0,1,1,0,0
2023-11-09,9.271739130434783,25.717391304347824,7.784722222222221,7.322222222222223,56.96875,0.36406249999999996,0.1998958333333333,1,1,0,0,0,0
2023-11-10,30.188405797101446,56.65579710144928,17.71875,9.059375000000001,70.45,0.9703125,0.735,1,1,0,0,0,0
2023-11-11,39.541666666666664,64.98958333333333,19.303124999999998,11.740625,56.828125,0.91125,0.5726041666666667,0,0,0,0,0,0
2023-11-12,,,,,32.41354166666667,1.2340625,,15,15,12,12,12,12
2023-11-13,41.166666666666664,74.01041666666667,24.471875,16.530208333333334,41.3,1.1884375,0.5634375,0,0,0,0,0,0
2023-11-14,72.17013888888889,111.64583333333333,27.757291666666664,18.913194444444446,50.965625,1.2265625,0.9688194444444443,0,0,0,0,0,0
2023-11-15,61.98913043478261,99.07608695652173,31.07013888888889,11.546875,47.193749999999994,1.1209375,0.8569097222222221,1,1,0,0,0,0
