Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,23.560416666666665,75.69166666666666,8.936354166666666,6.45731884057971,76.96062500000001,1.3159375,1.1044791666666667,0,0,0,1,0,0
2023-10-02,26.407608695652176,60.18369565217391,10.6378125,5.19909420289855,51.921875,1.5802083333333332,1.25125,1,1,0,1,0,0
2023-10-03,24.96710526315789,72.535,6.217261904761905,5.976519607843137,56.5465625,1.4746875,1.2987719298245615,5,4,3,7,3,5
2023-10-04,9.360416666666666,55.67604166666666,3.4814583333333338,4.188287037037038,42.20375,1.4033333333333335,1.2979513888888887,0,0,0,6,0,0
2023-10-05,13.813636363636364,39.23636363636364,5.772291666666668,4.237708333333333,47.3128125,1.4839583333333335,1.3233333333333335,2,2,0,0,0,0
2023-10-06,,,32.701875,4.363263888888889,78.8646875,2.065,1.5286111111111111,10,9,0,0,0,0
2023-10-07,99.01842105263158,141.43625000000003,42.17967391304349,4.865113636363637,112.7225,1.8834375,1.409963768115942,5,4,0,2,1,1
2023-10-08,86.16304347826086,133.23913043478262,35.42291666666667,3.2679365079365077,41.9121875,1.8663541666666668,1.419826388888889,1,1,0,3,0,0
2023-10-09,77.99015151515151,138.24021739130436,26.574166666666667,3.8139682539682545,77.2115625,1.8132291666666667,1.4882986111111112,2,1,0,3,0,0
2023-10-10,72.625,137.18229166666666,29.756874999999997,3.921527777777778,77.69312500000001,1.9027083333333334,1.6019444444444444,0,0,0,0,0,0
2023-10-11,78.49356060606061,119.87727272727274,48.95371527777778,4.541701388888889,106.7253125,2.3197916666666667,1.7039930555555554,2,2,0,0,0,0
2023-10-12,83.72173913043478,122.0,59.277256944444446,3.8256944444444447,103.3221875,2.7614583333333336,2.0678125,1,1,0,0,0,0
2023-10-13,99.79833333333332,147.71470588235294,66.17,4.073472222222222,135.9984375,3.8221875,2.542291666666667,4,7,0,0,3,0
2023-10-14,98.69782608695651,130.97572463768117,64.74159722222223,3.6253472222222225,117.33312500000001,3.8488541666666665,1.9244097222222223,1,1,0,0,0,0
2023-10-15,77.42539682539682,127.80520833333333,,3.7806597222222216,91.6996875,3.3320833333333337,1.7127430555555556,3,0,0,0,22,0
2023-10-16,60.29,117.19852941176471,,3.921587301587301,65.84218750000001,1.9888541666666666,1.2530555555555556,4,7,4,3,14,3
2023-10-17,19.107608695652175,,9.108958333333334,6.728229166666668,24.59125,1.7028125,1.2554513888888887,1,12,0,0,0,0
2023-10-18,,94.7913043478261,55.346628787878785,7.5789930555555545,44.840937499999995,1.6498958333333333,1.2567391304347826,10,1,0,0,2,1
2023-10-19,52.9375,117.58784722222221,68.75833333333333,6.3201736111111115,42.3278125,1.8345833333333335,1.4772569444444443,0,0,0,0,0,0
2023-10-20,74.55833333333334,152.35492424242426,81.465,5.818405797101447,55.2253125,1.6422916666666667,,0,2,0,1,6,9
2023-10-21,69.27681159420288,162.38373015873017,,5.784963768115941,54.199999999999996,1.22875,,1,3,0,1,12,9
2023-10-22,63.50208333333333,148.80520833333335,96.0838043478261,4.912803030303031,52.636562500000004,1.2381250000000001,1.2304166666666667,0,0,0,2,1,0
2023-10-23,69.784375,203.50277777777777,85.4053125,6.205520833333334,57.682500000000005,1.233125,1.2286458333333334,0,0,0,0,0,0
2023-10-24,65.80438596491229,241.7289215686275,62.62291666666667,6.5247222222222225,48.9503125,1.2334375,1.2284374999999998,5,7,0,0,0,0
2023-10-25,60.932291666666664,268.99347826086955,39.20864583333333,7.258090277777778,53.032812500000006,1.234375,1.2280208333333333,0,1,0,0,0,0
2023-10-26,63.19021739130435,148.25217391304346,17.93552083333333,6.737196969696968,63.0221875,1.2855208333333334,1.2480902777777778,1,1,0,2,0,0
2023-10-27,53.01515151515151,137.89124999999996,43.59180555555556,8.87409420289855,53.944270833333334,1.4409375,1.2275,2,4,0,1,0,0
2023-10-28,51.25454545454545,171.5404761904762,65.70468749999999,9.541050724637682,59.06968749999999,1.43,1.2302083333333333,2,3,0,1,0,0
2023-10-29,72.78854166666666,230.6154761904762,67.8221875,8.287881944444443,63.7375,1.43375,1.2465624999999998,0,3,0,0,0,0
2023-10-30,67.77083333333333,254.86875,73.9734375,7.874166666666666,73.9928125,1.4356250000000002,1.2402083333333334,0,0,0,3,0,0
2023-10-31,59.74895833333333,262.35590277777777,68.44989583333334,5.748840579710146,24.1290625,1.441875,1.2852083333333333,0,0,0,1,0,0
2023-11-01,58.56041666666667,304.1125,56.4859375,9.1834375,30.9059375,1.5593750000000002,1.3586458333333333,0,0,0,0,0,0
2023-11-02,73.48030303030305,270.1763888888889,58.264062499999994,7.498124999999999,49.874375,1.5731249999999999,1.3580208333333335,2,0,0,0,0,0
