Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,36.260416666666664,78.74027777777778,8.44796875,7.312326388888889,36.0215625,0.8215625,0.7085416666666667,0,0,0,0,8,0
2023-10-02,34.17743055555555,66.03263888888888,8.844249999999999,8.351979166666666,46.3846875,0.7871875,0.5097569444444444,0,0,0,0,4,0
2023-10-03,32.91284722222222,100.31875000000001,18.173939393939392,8.988068181818182,46.9990625,0.6077083333333334,0.19795138888888886,0,0,0,2,2,0
2023-10-04,25.63514492753623,,,7.363219696969696,44.49375,0.5059374999999999,0.38812500000000005,1,9,13,2,9,0
2023-10-05,24.516304347826086,44.30289855072464,7.169583333333333,7.8957291666666665,,0.6665625000000001,0.5245833333333333,1,1,24,0,0,0
2023-10-06,31.69201388888889,102.77986111111109,8.569444444444445,6.657291666666667,43.2659375,1.5267708333333334,0.8352777777777778,0,0,12,0,0,0
2023-10-07,51.54097222222222,143.015625,22.183923611111112,5.611562500000001,66.14031250000001,2.0322916666666666,0.9328472222222222,0,0,0,0,0,0
2023-10-08,90.89444444444445,208.8347222222222,33.41607638888889,7.7849652777777765,83.47218749999999,2.0054166666666666,0.8101041666666667,0,0,0,0,0,0
2023-10-09,90.60909090909091,239.24375,24.11848484848485,7.474682539682538,78.1721875,1.1959374999999999,0.8309375000000001,2,4,2,3,2,0
2023-10-10,76.75763888888889,216.9094696969697,24.56392361111111,7.3746875,91.65656249999999,1.3377083333333333,0.8449652777777779,0,2,0,0,0,0
2023-10-11,66.09513888888888,221.8395833333333,28.053194444444443,6.448263888888889,86.91843750000001,1.3927083333333334,0.8054861111111111,0,0,0,0,0,0
2023-10-12,74.97847222222221,255.23368055555557,31.25378472222222,7.09736111111111,98.09,1.5033333333333334,0.8899652777777778,0,0,0,0,0,0
2023-10-13,83.125,259.98020833333334,,,97.64364583333334,1.5395833333333333,0.7565624999999999,0,0,0,9,9,0
2023-10-14,93.40486111111112,270.7944444444444,33.37208333333333,4.851190476190475,121.14875,1.9765625,1.3135416666666668,0,0,0,3,0,0
2023-10-15,97.94236111111111,312.57187500000003,23.761076388888892,6.014375,106.245,2.0346875,1.1179513888888888,0,0,0,0,0,0
2023-10-16,102.17118055555557,320.55486111111117,19.329347826086956,7.726840277777778,81.52645833333334,1.8760416666666666,1.2033680555555557,0,0,1,0,1,0
2023-10-17,69.47430555555555,171.11805555555557,33.75234375,5.02125,101.316875,1.3488541666666667,0.8104166666666667,0,0,0,4,8,0
2023-10-18,60.80486111111111,163.37326388888889,34.58982638888889,4.242465277777778,64.5915625,1.3551041666666668,0.639548611111111,0,0,0,0,0,0
2023-10-19,61.81840277777777,186.95694444444447,22.084409722222222,6.912222222222222,93.9025,1.2823958333333332,0.7674652777777778,0,0,0,0,0,0
2023-10-20,73.27187500000001,261.54305555555555,24.601006944444446,5.236805555555556,90.52802083333333,1.3479166666666667,0.9454513888888888,0,0,0,0,0,0
2023-10-21,80.7951388888889,260.44756944444447,35.6084375,6.5808333333333335,99.5003125,1.789375,1.074375,0,0,0,0,0,0
2023-10-22,74.21562499999999,231.07430555555553,29.277743055555558,6.178715277777777,95.51375,2.669375,1.39625,0,0,0,0,0,0
2023-10-23,86.8326388888889,212.72951388888887,22.790492424242426,7.109652777777778,97.8784375,2.84875,0.9069444444444444,0,0,0,0,2,0
2023-10-24,83.49409722222224,188.66909722222223,18.803090277777777,6.390868055555555,79.0553125,1.6514583333333333,0.9151736111111112,0,0,0,0,0,0
2023-10-25,71.97326388888888,187.22256944444447,22.42267361111111,5.414891304347826,98.8584375,1.0092708333333331,0.8164583333333333,0,0,0,1,0,0
2023-10-26,77.45798611111111,207.69618055555557,29.710173611111113,5.196041666666667,99.7128125,1.6180208333333335,1.0412847222222223,0,0,0,0,0,0
2023-10-27,83.48784722222223,232.88993055555557,30.805277777777775,7.779513888888889,92.8178125,2.0210416666666666,1.1702430555555556,0,0,0,0,0,0
2023-10-28,112.63888888888887,322.32986111111114,46.45034722222223,7.195555555555555,84.9453125,2.3413541666666666,1.6678472222222223,0,0,0,0,0,0
2023-10-29,100.19444444444444,334.68125000000003,38.556736111111114,7.25451388888889,108.20812500000001,2.758125,1.6115624999999998,0,0,0,0,0,0
2023-10-30,111.20075757575756,360.59621212121203,55.51607142857142,4.711785714285715,101.93843749999999,3.265416666666667,1.6974275362318842,2,2,2,3,3,1
2023-10-31,134.98680555555555,340.26944444444445,46.69978070175438,5.640625,94.0665625,3.3638541666666666,1.1232291666666667,0,0,0,0,5,0
2023-11-01,127.00555555555555,286.346875,26.16978260869565,6.8670486111111115,63.28187500000001,2.4753125,0.9665972222222222,0,0,0,0,1,0
2023-11-02,102.90104166666667,261.4614583333334,39.53024305555556,5.828854166666666,80.1725,1.918125,1.3208333333333333,0,0,0,0,0,0
2023-11-03,89.29456521739131,338.2020833333333,66.13440972222223,6.881701388888889,67.1115625,3.796666666666667,1.9305555555555556,1,0,0,0,0,0
2023-11-04,124.91458333333333,280.48020833333334,36.23678571428572,6.036388888888889,77.48875000000001,3.868229166666667,0.9119097222222221,0,0,0,0,3,0
2023-11-05,139.17569444444445,343.2746527777778,26.14931818181818,6.613576388888888,97.27937500000002,1.905520833333333,1.1862152777777777,0,0,0,0,2,0
2023-11-06,167.28055555555554,404.5090277777778,31.290458333333326,5.593625,89.2240625,2.1921874999999997,1.4905208333333333,0,0,0,4,4,0
2023-11-07,230.65763888888887,499.39618055555553,39.33538194444444,7.169131944444445,103.98437500000001,2.885416666666667,2.0772222222222223,0,0,0,0,0,0
