Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,,,,,,,,24,24,24,24,24,24
2023-10-02,37.7890625,81.94635416666667,4.683645833333333,5.581770833333334,27.19625,0.3709375,0.29010416666666666,0,0,0,0,0,0
2023-10-03,30.753854166666667,65.59239583333334,10.315624999999999,6.339479166666666,47.45125,0.32187499999999997,0.14364583333333333,0,0,0,0,0,0
2023-10-04,24.104895833333334,50.12708333333334,8.097916666666668,5.4191666666666665,65.720625,0.31531250000000005,0.19291666666666665,0,0,0,0,0,0
2023-10-05,20.185104166666665,41.01260416666667,7.3425,5.5339583333333335,69.16625,0.29593749999999996,0.13447916666666668,0,0,0,0,0,0
2023-10-06,29.42947916666667,62.51052083333334,3.9249999999999994,4.279583333333333,60.6509375,0.14343750000000002,0.13,0,0,0,0,0,0
2023-10-07,12.603055555555557,23.378888888888884,7.283333333333334,4.1805208333333335,25.44375,0.1721875,0.3035294117647059,6,6,0,0,0,7
2023-10-08,14.8821875,28.6790625,9.684166666666668,4.3096875,37.0546875,0.8184375,0.4627083333333333,0,0,0,0,0,0
2023-10-09,12.572958333333334,18.30791666666667,8.329479166666667,5.004479166666667,19.4584375,0.7478125,0.4076041666666666,4,4,0,0,0,0
2023-10-10,28.712222222222223,55.845208333333325,6.428695652173913,5.471401515151516,19.429895833333333,0.78,0.6171875,0,0,1,2,1,0
2023-10-11,37.969166666666666,76.94145833333333,4.6628125,5.1103125,20.7396875,0.753125,0.5930208333333332,0,0,0,0,0,0
2023-10-12,57.58677083333333,85.78072916666667,10.175208333333332,2.743229166666667,30.5596875,0.8690625,0.7108333333333334,0,0,0,0,0,0
2023-10-13,24.870208333333334,46.906458333333326,6.607812499999999,4.856979166666666,58.0821875,0.8596875,0.6407291666666667,0,0,0,0,0,0
2023-10-14,27.2053125,52.33885416666667,6.618333333333333,5.101041666666667,55.749375,0.7903125,0.6634375,0,0,0,0,0,0
2023-10-15,27.495729166666667,53.013125,6.495937499999999,5.018645833333333,31.878125,0.791875,0.5860416666666667,0,0,0,0,0,0
2023-10-16,20.849895833333335,37.55802083333333,8.371770833333334,5.349479166666666,17.915625,0.68,0.4283333333333333,0,0,0,0,0,0
2023-10-17,14.931014492753622,23.79463768115942,6.536775362318842,5.217898550724638,28.497812500000002,0.5189583333333334,0.4256884057971014,1,1,1,1,1,1
2023-10-18,19.295625,33.942708333333336,6.874895833333333,5.227916666666667,33.784687500000004,0.5793750000000001,0.48833333333333334,0,0,0,0,0,0
2023-10-19,22.0121875,40.2603125,7.482916666666667,5.480729166666666,32.4528125,0.6403125,0.5213541666666667,0,0,0,0,0,0
2023-10-20,21.44979166666667,38.95125,7.546250000000001,5.424479166666667,30.805,0.6378125,0.5515625000000001,0,0,0,0,0,0
2023-10-21,18.119270833333335,31.20760416666667,8.595912698412699,5.397954545454547,15.4728125,0.5996875,0.4672569444444445,0,0,1,2,3,0
2023-10-22,21.789479166666666,39.74302083333333,9.25375,5.1554166666666665,30.7765625,0.5434375,0.44677083333333334,0,0,0,0,0,0
2023-10-23,20.74625,37.31760416666667,8.962187499999999,5.144895833333333,28.4625,0.53375,0.4593749999999999,0,0,0,0,0,0
2023-10-24,18.3328125,31.703854166666662,9.342604166666666,5.4778125,28.189375000000002,0.67875,0.4708333333333334,0,0,0,0,0,0
2023-10-25,19.2165625,33.76020833333333,8.916458333333333,5.282395833333333,27.015625,0.6934374999999999,0.5752083333333333,0,0,0,0,0,0
2023-10-26,18.964479166666667,33.172291666666666,9.458958333333333,5.296666666666667,28.1225,0.74875,0.6191666666666666,0,0,0,0,0,0
2023-10-27,20.979895833333334,37.858020833333335,9.434583333333334,5.079479166666666,32.76875,0.7478125,0.5908333333333333,0,0,0,0,0,0
2023-10-28,23.618125000000003,43.99208333333333,9.3928125,4.87625,37.5303125,0.7740625,0.6333333333333334,0,0,0,0,0,0
