Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,229.875,346.275,58.08298611111112,6.994791666666667,62.634375,0.53625,0.43111111111111117,6,4,0,0,0,0
2023-10-02,126.14285714285714,249.10714285714286,64.35520833333334,7.717013888888889,52.759375,1.03875,0.8222916666666666,3,3,0,0,0,0
2023-10-03,90.66666666666667,193.95833333333334,48.036458333333336,11.019097222222223,65.403125,1.5616666666666668,1.025625,0,0,0,0,0,0
2023-10-04,51.875,242.73958333333334,26.21875,4.3375,79.959375,1.5069791666666665,0.7653125,0,0,0,2,0,0
2023-10-05,43.208333333333336,224.21875,30.68263888888889,15.208333333333334,81.703125,0.9967708333333333,0.5975694444444445,0,0,0,0,0,0
2023-10-06,31.03125,122.73958333333333,9.894097222222223,13.299305555555556,44.76875,0.7596875000000001,0.6797916666666666,0,0,0,0,0,0
2023-10-07,33.958333333333336,207.72916666666666,3.1024305555555554,13.289930555555557,17.121875000000003,3.01375,2.2426041666666667,0,0,0,0,0,0
2023-10-08,27.097826086956523,73.31521739130434,7.358333333333334,22.128125,14.598958333333334,2.7190625,0.6933333333333334,1,1,0,0,0,0
2023-10-09,32.947916666666664,99.51041666666667,7.9750000000000005,16.33055555555556,13.175,1.0517708333333333,0.5701388888888889,0,0,0,0,0,0
2023-10-10,18.647727272727273,,11.03888888888889,20.759722222222223,13.558333333333332,0.7677083333333333,0.13420138888888888,2,10,0,0,0,0
2023-10-11,163.55208333333334,332.3958333333333,13.627430555555556,15.351388888888886,17.60625,0.6024999999999999,0.4488541666666667,0,0,0,0,0,0
2023-10-12,162.4047619047619,255.79761904761904,12.844927536231884,9.40144927536232,37.237500000000004,0.550625,0.1795289855072464,3,3,1,1,1,1
2023-10-13,44.552083333333336,231.89583333333334,17.833333333333332,21.696527777777778,17.521875,2.4325,1.6120833333333333,0,0,0,0,0,0
2023-10-14,54.34375,159.84375,16.899305555555554,21.954861111111114,17.278125,2.7521875000000002,1.5502430555555555,0,0,0,0,0,0
2023-10-15,87.9201388888889,198.3159722222222,16.116319444444443,20.350347222222222,14.837499999999999,1.2077083333333334,0.9530797101449274,0,0,0,0,0,1
2023-10-16,109.65277777777779,290.0069444444444,14.388888888888888,20.278472222222224,19.279166666666665,1.8140625,1.4106250000000002,0,0,0,0,0,0
2023-10-17,94.67361111111113,220.35416666666666,16.95486111111111,20.085069444444443,14.89375,1.70875,1.1015625,0,0,0,0,0,0
2023-10-18,59.208333333333336,100.63541666666667,14.741666666666667,20.105555555555558,22.456249999999997,1.8240625000000001,1.5874652777777778,0,0,0,0,0,0
2023-10-19,48.385416666666664,95.6875,18.29513888888889,20.479166666666668,20.90625,1.6906249999999998,0.733712121212121,0,0,0,0,0,2
2023-10-20,70.40625,166.75,17.253819444444446,20.51319444444444,18.946875000000002,1.0872916666666665,0.9189130434782606,0,0,0,0,0,1
2023-10-21,60.47569444444445,119.67708333333333,16.981597222222224,20.327083333333334,16.365625,1.5262499999999999,0.8799999999999999,0,0,0,0,0,0
2023-10-22,70.9375,139.78125,16.542361111111113,14.31875,14.8375,1.7185416666666666,1.5064492753623189,0,0,0,0,0,1
2023-10-23,78.97916666666667,200.88541666666666,16.074652777777775,12.02326388888889,13.621875,1.9453125,1.5514930555555555,0,0,0,0,0,0
2023-10-24,69.32954545454545,119.47727272727273,17.239583333333332,10.547569444444443,14.075,1.8069791666666666,0.4628947368421052,2,2,0,0,0,5
2023-10-25,62.05263157894737,124.8875,16.70277777777778,11.919444444444444,16.796875,2.07375,1.478402777777778,5,4,0,0,0,0
2023-10-26,81.98958333333333,154.44791666666666,17.779861111111114,11.730902777777779,27.078125,1.8822916666666667,0.8943055555555555,0,0,0,0,0,0
