Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,20.351666666666667,56.48770833333333,16.487395833333334,8.432395833333333,3.4343749999999997,0.7290625000000001,0.6634375,0,0,0,0,0,0
2023-10-02,15.252083333333333,53.63885416666667,15.898854166666666,8.700763888888888,6.9059375,0.6378125,0.5444097222222222,0,0,0,0,0,0
2023-10-03,10.782361111111111,41.30166666666667,16.17736111111111,8.957500000000001,9.770000000000001,0.5821875000000001,0.5013888888888888,6,6,6,6,6,6
2023-10-04,,,,,11.3903125,0.6046875,,13,13,13,13,13,13
2023-10-05,27.546423611111113,109.32170138888887,22.71364583333333,8.939722222222223,19.3971875,0.72,0.6667361111111111,0,0,0,0,0,0
2023-10-06,26.853020833333332,94.09572916666667,23.510833333333334,10.338125,23.5596875,0.8078125,0.7472916666666668,0,0,0,0,0,0
2023-10-07,32.25454545454545,95.59654761904761,24.863020833333337,10.071423611111111,15.4346875,0.9446874999999999,0.7408680555555556,2,3,0,0,0,0
2023-10-08,27.07236111111111,85.93770833333333,22.816666666666666,8.909201388888889,15.890729166666668,1.0828125,0.7040277777777778,0,0,0,0,0,0
2023-10-09,27.005312500000002,81.4575,20.596145833333335,10.3759375,21.914375000000003,0.6875,0.6425000000000001,0,0,0,0,0,0
2023-10-10,30.03697916666667,83.7946875,20.311875,9.069895833333334,18.880937499999998,0.784375,0.6913541666666667,0,0,0,0,0,0
2023-10-11,32.723055555555554,100.14104166666668,22.316319444444446,9.293055555555556,16.0525,0.869375,0.7958333333333334,0,0,0,0,0,0
2023-10-12,27.43306818181818,83.55723484848485,20.151458333333334,9.311770833333334,24.017500000000002,0.8987499999999999,0.7618749999999999,2,2,0,0,0,0
2023-10-13,38.44141304347825,106.18710144927536,21.362743055555555,9.789513888888889,14.890729166666667,0.8807291666666667,0.843298611111111,1,1,0,0,0,0
2023-10-14,32.5503125,95.52986111111112,21.459340277777773,9.220520833333333,14.84625,1.0046875,0.8588194444444444,0,0,0,0,0,0
2023-10-15,29.300520833333334,77.59197916666666,20.278611111111108,8.527847222222222,12.229687499999999,1.1033333333333335,0.7485069444444444,0,0,0,0,0,0
2023-10-16,25.016319444444445,64.12034722222222,20.48517361111111,9.231944444444444,8.665,0.7109375,0.6513888888888889,0,0,0,0,0,0
2023-10-17,36.555454545454545,103.22306818181819,24.82511363636364,9.101363636363637,11.0259375,0.809375,0.7494318181818183,2,2,2,2,2,2
2023-10-18,43.701284722222226,123.08288194444445,34.652743055555554,10.979513888888889,9.58375,1.2337500000000001,0.8597916666666667,0,0,0,0,0,0
2023-10-19,70.53065972222223,152.91863636363635,37.37663194444444,12.697395833333333,8.749375,1.33125,1.1758680555555554,0,2,0,0,0,0
2023-10-20,62.419131944444445,173.1786111111111,37.89295138888889,14.84357638888889,8.479687499999999,1.4540625,1.1375,0,0,0,0,0,0
2023-10-21,54.08336805555555,135.15521739130435,40.326875,9.9678125,4.66625,1.4365625,1.1879166666666665,0,1,0,0,0,0
2023-10-22,,,,,5.334999999999999,1.588125,,10,12,10,10,10,10
2023-10-23,50.986519607843135,134.234375,48.941225490196075,11.046666666666667,6.493541666666665,1.1321875,0.9456372549019607,7,8,7,7,7,7
2023-10-24,46.629583333333336,107.185,50.153020833333336,9.382083333333334,5.701562499999999,1.3296875,0.8486458333333333,0,1,0,0,0,0
2023-10-25,44.43927083333333,106.60211805555555,50.615729166666675,9.271805555555556,6.102291666666666,1.0290625,0.8398958333333333,0,0,0,0,0,0
2023-10-26,39.41291666666667,102.08475694444444,52.89118055555556,8.716493055555555,5.878020833333332,1.1321875000000001,0.8885416666666667,0,0,0,0,0,0
2023-10-27,58.89541666666667,133.43443181818182,56.41614583333334,9.972624999999999,11.189374999999998,1.4228125,1.144375,0,2,0,4,0,0
2023-10-28,65.06375,149.25136363636364,61.13770833333333,9.402708333333333,5.5384375,1.8390625,1.3504166666666666,0,2,0,0,0,0
2023-10-29,70.77121527777778,136.28924603174605,63.27465277777778,9.933263888888888,5.687187499999999,1.9371874999999998,1.4349305555555556,0,3,0,0,0,0
2023-10-30,70.56125,,63.27823529411765,10.073676470588236,5.45625,1.5484375,1.2545588235294118,8,9,7,7,7,7
2023-10-31,,,,,,,,24,24,24,24,24,24
2023-11-01,,,,,8.032812499999999,1.4592708333333333,,10,12,10,10,10,10
2023-11-02,74.48688405797101,160.2615789473684,40.72416666666667,11.360659722222223,13.123854166666666,1.745,1.1980555555555557,1,5,0,0,0,0
2023-11-03,42.91048611111111,101.70608695652177,27.62166666666667,11.540798611111109,4.905625,1.2373958333333333,0.9552430555555556,0,1,0,0,0,0
2023-11-04,43.795208333333335,129.12875,33.92371527777778,12.49708333333333,5.7840625,1.2281250000000001,0.9514583333333334,0,0,0,0,0,0
2023-11-05,52.20118055555556,132.35500000000002,35.429409722222225,10.574166666666667,5.1678125,1.3659375,0.9409027777777778,0,0,0,0,0,0
2023-11-06,61.5040625,136.50222222222226,39.4878125,11.03125,6.3665625,1.3301041666666666,1.0876041666666667,0,6,0,0,0,0
