Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,68.38541666666667,167.17708333333334,34.51770833333333,7.396874999999999,35.890625,1.84375,1.366014492753623,0,0,0,0,0,1
2023-10-02,61.020833333333336,147.22916666666666,40.99270833333333,10.225,29.64375,,,0,0,0,0,0,15
2023-10-03,61.611111111111114,174.30208333333334,44.414583333333326,9.83611111111111,29.884375,3.1145833333333335,2.538888888888889,0,0,0,0,0,3
2023-10-04,71.72916666666667,194.41319444444443,47.05520833333333,9.400980392156862,30.10625,,,0,0,0,7,0,10
2023-10-05,87.82986111111113,214.3125,50.22604166666667,9.891666666666666,31.971875,2.0510416666666664,1.0454861111111111,0,0,0,8,0,0
2023-10-06,101.875,245.5625,45.213750000000005,,24.875,1.1229166666666668,0.7682291666666666,0,0,0,9,4,8
2023-10-07,91.76041666666667,227.4375,33.72261904761905,,18.771875,1.2781250000000002,,0,0,0,11,3,11
2023-10-08,72.23958333333333,183.09375,26.05,17.17951388888889,17.51875,1.9437500000000003,1.7407894736842107,0,0,0,0,0,5
2023-10-09,78.54166666666667,181.13541666666666,27.52916666666667,12.408333333333337,19.26875,1.5427083333333336,0.9844696969696968,0,0,0,0,0,2
2023-10-10,66.44097222222221,172.41666666666666,35.786458333333336,13.087847222222223,25.884375,2.0812500000000003,1.2200757575757577,0,0,0,0,0,2
2023-10-11,90.79166666666667,171.83333333333334,42.95104166666667,17.183333333333334,26.974999999999998,1.5270833333333336,1.2244791666666668,0,0,0,0,0,8
2023-10-12,133.39583333333334,249.66666666666666,51.17291666666667,21.766319444444445,35.3375,2.533333333333333,1.809375,0,0,0,0,0,0
2023-10-13,164.16319444444443,293.46180555555554,58.80833333333333,16.611363636363638,23.290625000000002,1.8302083333333334,,0,0,1,2,2,11
2023-10-14,117.98958333333333,240.70833333333334,55.271875,4.711458333333334,55.3375,1.81875,,0,0,0,0,0,9
2023-10-15,103.0625,234.71875,52.64166666666667,9.978472222222221,23.103125000000002,0.8843750000000001,,0,0,0,0,0,11
2023-10-16,74.875,199.51041666666666,47.73020833333334,5.044444444444445,21.98125,,,0,0,0,0,0,13
2023-10-17,44.510416666666664,94.625,50.36041666666667,10.134027777777778,15.365625000000001,0.6229166666666668,0.5151041666666667,0,0,0,0,0,8
2023-10-18,56.114583333333336,123.13235294117646,46.83958333333334,4.5687500000000005,25.55625,0.6666666666666669,0.2681818181818182,0,7,0,0,0,2
2023-10-19,52.31944444444445,119.51041666666667,47.64270833333333,9.139930555555557,30.29375,0.5531250000000001,0.3561594202898551,0,0,0,0,0,1
2023-10-20,109.6388888888889,179.20486111111111,53.366666666666674,9.768402777777778,37.590625,0.5635416666666668,0.32430555555555557,0,0,0,0,0,0
