Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,72.55208333333333,189.72916666666666,30.121875,3.4409722222222228,8.481250000000001,1.8,1.6913194444444446,0,0,0,0,0,0
2023-10-02,68.30208333333333,182.41666666666666,32.09404761904763,4.995486111111112,9.425,2.0281249999999997,1.8333333333333333,0,0,0,0,3,0
2023-10-03,70.32971014492753,215.1086956521739,,6.675,9.231250000000001,2.178125,1.8200000000000003,1,1,4,4,24,4
2023-10-04,81.02083333333333,210.7534722222222,,,9.9875,2.3062500000000004,1.3127192982456137,0,0,11,17,13,5
2023-10-05,93.87152777777779,255.71875,1.4468750000000001,5.3277777777777775,9.81875,2.765625,2.326041666666667,0,0,0,3,0,0
2023-10-06,130.70833333333334,317.5833333333333,1.25,,22.895833333333332,3.2468749999999997,2.4555555555555553,0,0,0,22,0,0
2023-10-07,108.74206349206348,301.6842105263158,,,43.48437500000001,4.275,1.8739583333333334,3,5,2,11,9,0
2023-10-08,79.01315789473684,256.4868421052632,40.550000000000004,,14.421875,1.95625,1.1131578947368421,5,5,5,15,5,5
2023-10-09,97.03472222222221,250.64583333333334,43.994791666666664,6.406944444444444,40.659375,1.84375,1.3645833333333333,0,0,0,0,0,0
2023-10-10,93.78125,269.46875,45.039583333333326,6.998958333333333,66.13437499999999,2.6593750000000003,1.1864583333333332,0,0,0,0,0,0
2023-10-11,85.50694444444444,193.97569444444443,39.05681818181819,6.917424242424244,7.909374999999996,1.125,0.8363636363636364,0,0,2,2,2,2
2023-10-12,154.96180555555554,292.9479166666667,51.33369565217391,2.3979166666666667,12.315624999999995,1.96875,1.2854166666666667,0,0,0,0,1,0
2023-10-13,193.9318181818182,,,5.033695652173913,32.631249999999994,1.6791666666666667,1.3905797101449275,2,10,1,1,16,1
2023-10-14,135.23958333333334,444.6770833333333,55.98854166666666,4.204513888888889,13.907291666666662,2.83125,2.155208333333334,0,0,0,0,0,0
2023-10-15,103.4861111111111,391.95652173913044,46.30625,9.725694444444445,53.35,3.3375,1.65625,0,1,5,0,0,0
2023-10-16,73.25,287.5652173913044,30.470652173913045,5.842391304347825,79.63854166666667,1.5125,0.7434782608695651,1,1,1,1,1,1
2023-10-17,,,,,,,,18,18,18,18,18,18
2023-10-18,,,,,,,,14,14,15,15,15,15
2023-10-19,73.703125,223.5625,39.5203125,3.7776041666666664,6.8593749999999964,1.240625,1.3296875,8,8,8,8,8,8
2023-10-20,122.11363636363636,287.67045454545456,,5.790079365079365,13.665624999999997,1.528125,1.2353174603174604,2,2,3,3,19,3
2023-10-21,185.26984126984127,440.13888888888886,,5.895634920634921,21.190624999999997,3.3510416666666663,2.18531746031746,3,3,3,3,24,3
2023-10-22,,,,3.9973958333333335,10.55520833333333,4.226041666666667,2.8046875000000004,11,10,8,8,24,8
2023-10-23,,,,,,,,9,9,10,10,24,10
2023-10-24,137.19444444444443,304.2083333333333,,2.9947916666666665,9.756249999999996,1.99375,1.4645833333333333,0,0,0,0,24,0
2023-10-25,136.38541666666669,322.703125,,4.091145833333334,10.012499999999996,2.421875,1.6468749999999999,8,8,8,8,24,8
2023-10-26,188.2644927536232,410.41666666666663,,2.1295833333333336,9.229166666666663,2.9499999999999997,1.8344202898550726,1,1,1,4,24,1
2023-10-27,210.47826086956522,384.63157894736844,,4.344565217391305,11.256249999999996,3.315625,2.4221014492753628,1,5,1,1,24,1
2023-10-28,240.96052631578948,426.59375,,,10.862499999999997,2.35625,2.588888888888889,5,8,5,9,24,6
2023-10-29,,,,,26.506249999999994,,,10,10,10,10,24,11
2023-10-30,243.6228070175439,550.0964912280701,,5.6930555555555555,64.803125,2.9125,1.8,5,5,9,6,22,5
2023-10-31,270.0625,587.5125,,5.356250000000001,87.425,2.8874999999999997,1.8858333333333337,4,4,7,4,17,4
