Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,62.87048611111111,191.84930555555556,7.159513888888889,6.677681159420291,65.265625,0.4821875,0.44027777777777777,0,0,0,1,0,0
2023-10-02,64.29027777777777,201.94236111111113,10.155208333333333,4.817986111111111,42.0021875,0.536875,0.4673611111111111,0,0,0,0,0,0
2023-10-03,77.65486111111112,252.31736111111113,10.921597222222223,3.440659722222222,35.228125000000006,0.7545833333333334,0.5966319444444445,0,0,0,0,0,0
2023-10-04,82.27256944444444,252.59861111111113,8.726111111111111,7.616215277777777,47.27520833333334,0.6845833333333333,0.6099652777777778,0,0,2,0,0,0
2023-10-05,93.83715277777777,289.1555555555555,12.612118055555555,5.197187500000001,13.363125,0.7895833333333333,0.7012152777777777,0,0,0,0,0,0
2023-10-06,102.17951388888889,271.58125,10.200659722222222,3.9739583333333335,47.016562500000006,1.0090625,0.6465277777777777,0,0,0,0,0,0
2023-10-07,70.09166666666667,228.50833333333335,7.365277777777778,5.505763888888889,39.9521875,0.8179166666666666,0.5815972222222222,0,0,0,0,0,0
2023-10-08,58.28611111111112,162.7405797101449,6.95982638888889,6.432534722222222,61.407916666666665,0.8046875,0.5346527777777778,3,1,0,0,0,0
2023-10-09,33.26315789473685,96.4125,7.581708333333334,4.090871212121211,61.4653125,0.6271875,0.5227272727272726,5,4,1,2,4,2
2023-10-10,34.429513888888884,115.18506944444444,6.412638888888889,7.430992063492064,32.770520833333336,0.745625,0.5383333333333333,0,0,0,3,0,0
2023-10-11,90.72673611111111,199.86284722222226,8.24045138888889,2.1165972222222225,12.1946875,0.8186458333333334,0.6497222222222222,0,0,0,0,0,0
2023-10-12,89.92789855072463,187.42569444444447,12.779652777777779,2.8455902777777773,35.35010416666667,0.9384375,0.6859375,1,0,0,0,0,0
2023-10-13,76.85729166666665,148.66111111111113,12.795243055555554,2.8450694444444444,63.02552083333334,1.1548958333333335,0.7673958333333334,0,0,1,0,0,0
2023-10-14,89.55381944444446,144.08124999999998,9.899444444444443,2.8459375000000002,28.110625,0.8467708333333334,0.6590625,0,0,1,0,0,0
2023-10-15,81.12604166666667,163.00486111111113,8.148541666666667,2.8353125000000006,38.1425,0.9411458333333333,0.651423611111111,0,0,0,0,0,0
