Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,,,,,,,,24,24,24,24,24,24
2023-10-02,,,,,,,,24,24,24,24,24,24
2023-10-03,,,,,,,,24,24,24,24,24,24
2023-10-04,,,,,,,,24,24,24,24,24,24
2023-10-05,,,,,,,,24,24,24,24,24,24
2023-10-06,,,,,,,,24,24,24,24,24,24
2023-10-07,7.625,36.072916666666664,13.607291666666667,4.133333333333333,52.628125,0.6112500000000001,0.504375,0,0,0,0,0,0
2023-10-08,29.395833333333332,101.14583333333333,12.669791666666667,4.5843750000000005,64.9625,0.5903125,0.4997916666666667,0,0,0,0,0,0
2023-10-09,20.054347826086957,55.93478260869565,7.046875,5.592708333333333,51.328125,0.8784375,0.6806944444444444,1,1,0,0,0,0
2023-10-10,,,7.119444444444444,6.013541666666666,101.35,1.595625,0.8448263888888888,9,9,0,0,0,0
2023-10-11,55.375,112.89583333333333,5.4125000000000005,6.8968750000000005,85.08229166666666,1.9821875,1.1686458333333334,0,0,0,0,0,0
2023-10-12,32.927083333333336,71.69791666666667,8.727083333333333,6.022916666666667,83.753125,1.9,0.611195652173913,0,0,0,0,0,1
2023-10-13,57.85526315789474,153.8815789473684,6.52013888888889,7.3125,94.3125,1.4068749999999999,0.6890625,5,5,0,0,0,0
2023-10-14,56.416666666666664,162.0125,10.027083333333334,7.6024305555555545,98.46875,1.2403125,0.6231944444444445,3,4,0,0,0,0
2023-10-15,,,9.294298245614035,9.941666666666668,52.01875,1.1373958333333332,0.6067916666666667,10,10,4,5,5,4
2023-10-16,75.76086956521739,173.63095238095238,6.876041666666666,10.114583333333334,114.971875,0.9728125,0.551875,1,3,0,0,0,0
2023-10-17,64.95454545454545,147.86904761904762,6.301811594202898,11.578623188405798,88.99374999999999,1.2566666666666666,0.802638888888889,2,3,0,1,1,0
2023-10-18,60.52272727272727,136.125,6.572916666666667,6.606944444444444,85.36145833333333,1.5465625,0.8612500000000001,2,2,0,0,0,0
2023-10-19,62.76190476190476,169.61904761904762,6.796212121212122,7.792391304347828,60.65625,1.4390625000000001,0.8044927536231884,3,3,1,1,2,1
2023-10-20,56.03260869565217,147.65217391304347,6.544791666666668,10.842361111111112,88.6875,1.5871875,0.7970833333333335,1,1,0,0,0,0
2023-10-21,47.09375,141.89583333333334,6.457291666666667,6.690625,107.38125,1.49875,0.5884375,0,0,0,0,0,0
2023-10-22,49.25,122.65625,6.401041666666667,5.885416666666667,121.02499999999999,1.3615625,0.5786805555555555,0,0,0,0,0,0
2023-10-23,69.36458333333333,148.21875,6.461458333333334,7.587500000000001,119.35625,1.3971875,0.625,0,0,0,0,0,0
2023-10-24,65.39583333333333,139.40625,6.488541666666666,5.599999999999999,122.74375,1.3275,0.6314492753623189,0,0,0,0,0,1
2023-10-25,78.73958333333333,164.92708333333334,6.471875,6.029166666666666,116.425,1.5071875000000001,0.6526736111111111,0,0,0,0,0,0
2023-10-26,62.0625,139.29166666666666,6.180208333333333,6.022916666666667,109.90625,2.1446875,0.9394927536231883,0,0,0,0,0,1
2023-10-27,39.375,92.28125,6.290625000000001,5.139583333333333,67.20937500000001,2.0284375,0.610451388888889,0,0,0,0,0,0
2023-10-28,40.520833333333336,87.40625,6.215625,8.460416666666665,73.45937500000001,1.6696875,1.0007291666666667,0,0,0,0,0,0
2023-10-29,40.197916666666664,77.94791666666667,6.165625000000001,6.155208333333334,73.425,1.6209375000000001,0.9876041666666667,0,0,0,0,0,0
2023-10-30,45.802083333333336,99.19791666666667,6.216666666666666,8.233333333333334,69.771875,2.0521875,1.1622916666666667,0,0,0,0,0,0
2023-10-31,56.0,105.33333333333333,6.303125000000001,16.857291666666665,68.596875,1.9784375,1.0419791666666667,0,0,0,0,0,0
2023-11-01,,,,,,,,24,24,24,24,24,24
2023-11-02,,,,,,,,24,24,24,24,24,24
2023-11-03,,,,,,,,24,24,24,24,24,24
2023-11-04,,,,,,,,24,24,24,24,24,24
2023-11-05,,,,,,,,24,24,24,24,24,24
2023-11-06,,,,,,,,24,24,24,24,24,24
2023-11-07,9.625,35.8125,14.695833333333331,4.188541666666667,74.38749999999999,0.88,0.61625,4,0,0,0,0,0
2023-11-08,24.895833333333332,77.45833333333333,10.932291666666666,5.594791666666666,66.98125,0.8756249999999999,0.4913541666666667,0,0,0,0,0,0
2023-11-09,17.635416666666668,58.875,6.9468749999999995,6.342708333333333,53.765625,0.6609375,0.5256249999999999,0,0,0,0,0,0
2023-11-10,66.32083333333334,155.36111111111111,7.211458333333333,5.201041666666667,103.10625,2.0603125,0.8759375,4,6,0,0,0,0
2023-11-11,64.32291666666667,121.08333333333333,4.342708333333333,10.85,107.10312499999999,1.9546875000000001,0.8367708333333334,0,0,0,0,0,0
2023-11-12,34.760416666666664,76.96875,8.680208333333333,5.530208333333333,92.85,1.8278125000000003,0.8155208333333333,0,0,0,0,0,0
2023-11-13,114.01136363636364,212.9659090909091,21.036363636363635,7.6375,64.73125,1.5071875000000001,0.859659090909091,2,2,2,2,2,2
2023-11-14,117.96875,235.96875,19.496875,9.828125,91.41875,1.8506250000000002,0.9784375000000001,0,0,0,0,0,0
2023-11-15,131.80208333333334,215.29166666666666,14.436458333333334,12.752083333333333,83.29375,2.0059375,1.0523958333333334,0,0,0,0,0,0
2023-11-16,112.95833333333333,219.44444444444446,8.442013888888889,17.705208333333335,84.678125,1.7837500000000002,0.9654166666666667,6,6,0,0,0,0
2023-11-17,96.16666666666667,186.17708333333334,8.487499999999999,13.038541666666665,90.69375000000001,2.186875,0.9826041666666666,0,0,0,0,0,0
2023-11-18,95.5625,175.42708333333334,8.617708333333333,9.335416666666667,88.59375,2.1759375000000003,1.0872916666666668,0,0,0,0,0,0
2023-11-19,68.91666666666667,127.41666666666667,8.544791666666667,10.492708333333333,83.396875,2.0303125,0.6618750000000001,0,0,0,0,0,0
2023-11-20,66.36458333333333,129.77083333333334,8.609375,10.365625,72.67812500000001,1.9362500000000002,1.0128125,0,0,0,0,0,0
