Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,36.13697916666667,53.58170138888889,196.44979166666667,171.67892361111112,8.1875,2.81375,2.7145138888888893,0,0,0,0,0,0
2023-10-02,42.659202898550724,63.236159420289844,205.0,179.26500000000001,8.28125,2.76375,2.682463768115942,1,1,1,1,1,1
2023-10-03,56.62354166666666,84.15864583333334,202.28944444444446,179.1961111111111,9.5625,2.9428125,2.753923611111111,0,0,0,0,0,0
2023-10-04,54.31111111111111,80.70770833333334,194.60468749999998,169.67809027777778,10.21875,2.9965624999999996,2.7909027777777773,0,0,0,0,0,0
2023-10-05,53.90644927536232,79.84144927536231,200.28394927536232,179.02749999999997,21.9375,2.9996875,2.779891304347826,1,1,1,1,1,1
2023-10-06,55.69600694444444,81.84375,198.6534375,177.35736111111112,23.09375,3.0175,2.73375,0,0,0,0,0,0
2023-10-07,64.90871527777777,95.59315972222221,203.35729166666667,179.0874652777778,19.802083333333332,2.9921875,2.769513888888889,0,0,0,0,0,0
2023-10-08,,,,,9.75,2.7304166666666667,,10,10,10,10,10,10
2023-10-09,63.8759375,94.05413194444445,204.9865625,179.01802083333328,16.9375,3.0498958333333333,2.846597222222222,0,0,0,0,0,0
2023-10-10,55.55864583333332,81.63920138888888,204.23385416666665,178.39159722222223,24.625,3.04,2.8228125,0,0,0,0,0,0
2023-10-11,62.420590277777784,91.88152777777778,200.83961805555555,179.1095486111111,12.375,3.0475,2.8367013888888892,0,0,0,0,0,0
2023-10-12,78.5090873015873,115.89444444444446,203.10952380952378,178.9834126984127,9.822916666666666,3.07625,2.8633730158730155,3,3,3,3,3,3
2023-10-13,96.34572916666667,142.515625,201.28260416666666,177.88583333333332,12.59375,3.0196875,2.9181770833333336,8,8,8,8,8,8
2023-10-14,81.33288194444445,120.10774305555556,205.0,177.8401041666667,25.84375,3.0559375,2.8392013888888887,0,0,0,0,0,0
2023-10-15,69.25409722222223,102.07923611111111,200.6765972222222,175.49201388888886,34.0,3.059375,2.8064583333333335,0,0,0,0,0,0
2023-10-16,81.8821875,120.9273263888889,198.53604166666665,174.91079861111112,22.989583333333332,2.9968749999999997,2.8434375000000003,0,0,0,0,0,0
2023-10-17,80.66364583333333,119.10885416666667,204.99875,177.58753472222224,22.875,3.0390625,2.869652777777778,0,0,0,0,0,0
2023-10-18,88.72864583333335,131.14548611111113,204.90770833333332,177.42388888888888,19.291666666666668,3.0571875000000004,2.8329861111111114,0,0,0,0,0,0
2023-10-19,72.97305555555556,107.63041666666668,204.99041666666668,177.48885416666667,36.96875,3.0359375,2.855451388888889,0,0,0,0,0,0
2023-10-20,99.2134090909091,146.79575757575756,202.29636363636365,178.2098106060606,16.6875,3.0231250000000003,2.8778030303030304,2,2,2,2,2,2
2023-10-21,92.84597222222224,137.29072916666667,202.353125,179.66861111111112,10.020833333333334,3.031875,2.8619791666666665,0,0,0,0,0,0
2023-10-22,77.88392361111111,114.96041666666667,179.6454513888889,159.01552083333334,10.885416666666666,2.9815625,2.829895833333333,0,0,0,0,0,0
2023-10-23,71.54704861111111,105.50291666666665,164.6487152777778,146.4313888888889,20.6875,3.0134375,2.7733680555555558,0,0,0,0,0,0
2023-10-24,70.50340277777777,103.94482638888888,158.59413194444446,141.71312500000002,24.71875,3.0325,2.807916666666666,0,0,0,0,0,0
2023-10-25,81.7376388888889,120.71177083333333,163.12243055555555,144.3852777777778,17.875,3.0321875,2.8068402777777783,0,0,0,0,0,0
2023-10-26,80.70138888888889,119.16548611111112,159.2892013888889,139.05427083333333,21.333333333333332,3.0134375,2.7727777777777782,0,0,0,0,0,0
2023-10-27,87.31708333333334,129.04090277777777,149.7511111111111,131.0871527777778,25.1875,2.9875,2.7266666666666666,0,0,0,0,0,0
2023-10-28,91.94555555555554,135.9466666666667,150.04645833333333,129.03510416666666,24.479166666666668,2.808229166666667,2.6545486111111107,0,0,0,0,0,0
2023-10-29,87.39663194444445,129.15927083333335,157.41645833333334,140.36468749999997,26.84375,2.9871875,2.7258680555555554,0,0,0,0,0,0
2023-10-30,97.1890972222222,143.77409722222222,158.81048611111112,142.8896875,17.96875,2.924375,2.696944444444444,0,0,0,0,0,0
2023-10-31,104.24427083333335,154.30413194444444,160.9146875,142.2378125,20.21875,2.9193750000000005,2.734548611111111,0,0,0,0,0,0
2023-11-01,94.15788194444444,139.2501736111111,158.90805555555553,138.143125,17.3125,2.9646875,2.6985763888888883,0,0,0,0,0,0
2023-11-02,101.1590625,149.69993055555554,167.2959375,148.4275,16.21875,2.9418749999999996,2.661354166666667,0,0,0,0,0,0
2023-11-03,104.15315972222221,154.168125,167.931875,145.69951388888887,10.5,2.9768749999999997,2.7360416666666665,0,0,0,0,0,0
2023-11-04,107.23392361111111,158.7665625,170.25354166666668,150.81805555555556,11.333333333333332,2.9865625,2.715729166666667,0,0,0,0,0,0
2023-11-05,119.3875,176.90645833333335,164.27861111111113,145.54055555555556,10.875,2.9990625,2.754583333333333,0,0,0,0,0,0
2023-11-06,114.17663194444445,169.12916666666666,150.78618055555555,132.3774652777778,14.6875,2.9365625,2.7287152777777774,0,0,0,0,0,0
2023-11-07,109.79906249999999,162.5951388888889,171.01072916666666,150.81118055555555,10.0625,2.973125,2.7163541666666666,0,0,0,0,0,0
2023-11-08,85.47774305555556,126.29520833333333,184.9588541666667,158.8837847222222,9.604166666666666,2.8996874999999998,2.7721180555555556,0,0,0,0,0,0
2023-11-09,68.66173611111111,101.19625,181.3357638888889,161.53211805555557,9.15625,2.900625,2.7783680555555557,0,0,0,0,0,0
2023-11-10,65.76013888888889,96.8648611111111,184.29517361111115,168.20680555555558,9.9375,2.870625,2.7259375,0,0,0,0,0,0
2023-11-11,98.62493055555554,145.9173611111111,179.17607638888887,163.9342361111111,10.75,2.9594791666666667,2.672083333333333,0,0,0,0,0,0
2023-11-12,175.18190972222223,260.1815625,180.5145138888889,153.61083333333332,10.53125,2.9686458333333334,2.743819444444444,0,0,0,0,0,0
2023-11-13,176.8813888888889,262.71791666666667,174.17312500000003,142.45354166666667,10.375,2.9415625,2.6957986111111114,0,0,0,0,0,0
2023-11-14,111.20506944444445,164.69385416666665,168.5040625,149.42642361111112,11.65625,2.9089583333333335,2.6597916666666666,0,0,0,0,0,0
2023-11-15,103.75982638888888,153.58121527777777,146.8973263888889,139.75031249999998,18.71875,2.9025000000000003,2.680763888888889,0,0,0,0,0,0
2023-11-16,99.00055555555555,146.4776736111111,165.63513888888886,138.73989583333332,19.78125,2.7824999999999998,2.591006944444444,0,0,0,0,0,0
2023-11-17,106.43072916666667,157.56722222222223,170.12572916666667,150.38482638888888,21.40625,2.8728125,2.6235069444444448,0,0,0,0,0,0
2023-11-18,99.76795138888889,147.6236458333333,174.81156250000004,153.99128472222222,19.4375,2.89875,2.6221875,0,0,0,0,0,0
2023-11-19,86.35857638888888,127.60940972222222,174.44802083333335,156.946875,11.208333333333334,2.962604166666667,2.7396875,0,0,0,0,0,0
2023-11-20,100.5295138888889,148.7603472222222,171.71697916666665,155.316875,18.625,2.8703125000000003,2.6433680555555554,0,0,0,0,0,0
2023-11-21,100.06534722222223,148.06670138888887,165.25965277777777,145.56069444444447,31.90625,2.915625,2.6664930555555557,0,0,0,0,0,0
2023-11-22,97.83833333333332,144.7436111111111,166.62729166666668,146.2590277777778,40.90625,2.9165625,2.6295486111111113,0,0,0,0,0,0
2023-11-23,89.06261363636365,131.6453409090909,173.1394318181818,149.71352272727273,37.625,2.8346875000000002,2.5945454545454543,2,2,2,2,2,2
2023-11-24,91.52936274509803,135.325931372549,182.7058823529412,159.4810294117647,17.875,2.9040624999999998,2.742205882352941,7,7,7,7,7,7
2023-11-25,95.20822916666667,140.81760416666668,186.52072916666665,165.94128472222224,17.53125,2.9140625,2.659409722222222,0,0,0,0,0,0
2023-11-26,71.34892361111112,105.20565972222221,180.38666666666668,156.88343749999999,21.625,2.9447916666666667,2.768993055555556,0,0,0,0,0,0
2023-11-27,55.04644927536231,80.88130434782609,195.44173913043477,174.22079710144925,22.072916666666668,2.8596875,2.6444565217391305,1,1,1,1,1,1
2023-11-28,55.06621527777778,80.90354166666667,191.60614583333333,172.13760416666665,27.28125,2.7309375,2.5712499999999996,0,0,0,0,0,0
2023-11-29,61.81197916666667,90.97263888888888,189.64552083333334,164.95815972222223,34.6875,2.786875,2.570416666666667,0,0,0,0,0,0
2023-11-30,59.50395833333334,87.52749999999999,183.65145833333335,167.05934027777778,33.5,2.9253125,2.644340277777778,0,0,0,0,0,0
2023-12-01,60.895381944444445,89.60486111111112,182.63500000000002,159.3095138888889,36.28125,2.83,2.6363888888888893,0,0,0,0,0,0
2023-12-02,77.1535763888889,113.87131944444445,176.75399305555553,159.04239583333333,16.75,2.9287500000000004,2.6131944444444444,0,0,0,0,0,0
2023-12-03,85.97590277777778,127.0386111111111,178.26104166666667,156.8698263888889,26.28125,2.9603125,2.6328819444444442,0,0,0,0,0,0
2023-12-04,100.723625,149.049875,176.00287499999996,158.73633333333333,11.479166666666666,2.639479166666667,2.5794166666666665,4,4,4,4,4,4
2023-12-05,81.20746527777777,119.92076388888889,176.41718749999998,152.62,22.03125,2.8015625,2.631388888888889,0,0,0,0,0,0
2023-12-06,100.44128472222224,148.62739583333334,186.95152777777776,162.77569444444444,14.03125,2.775625,2.641701388888889,0,0,0,0,0,0
2023-12-07,94.59041666666667,139.89548611111113,183.2801388888889,160.7840625,16.71875,2.7090625,2.525,0,0,0,0,0,0
2023-12-08,97.373125,144.04927083333334,180.88895833333333,158.8267708333333,26.625,2.83,2.624861111111111,0,0,0,0,0,0
2023-12-09,93.19381944444444,137.81031249999998,182.55145833333333,159.07263888888886,29.145833333333332,2.8667708333333333,2.6616666666666666,0,0,0,0,0,0
2023-12-10,91.53677083333332,135.3378125,172.1495138888889,149.42072916666666,48.5,2.8790625000000003,2.6668402777777778,0,0,0,0,0,0
2023-12-11,99.98302083333334,147.9425,166.84388888888887,146.66555555555556,51.28125,2.86875,2.6532291666666663,0,0,0,0,0,0
2023-12-12,81.21152777777779,119.92666666666668,164.83298611111113,136.35597222222222,54.3125,2.8690625,2.595625,0,0,0,0,0,0
2023-12-13,95.67979166666667,141.52170138888889,161.59437499999999,142.0376736111111,29.9375,2.8753125,2.645138888888889,0,0,0,0,0,0
2023-12-14,106.8860763888889,158.24704861111113,146.73118055555554,131.2201388888889,30.75,2.845,2.6221180555555557,0,0,0,0,0,0
2023-12-15,118.00972222222221,174.8498263888889,154.86052083333334,129.2357986111111,25.552083333333332,2.75625,2.5294097222222223,0,0,0,0,0,0
2023-12-16,,,,,31.5625,2.768854166666667,,10,10,10,10,10,10
2023-12-17,117.17163194444443,173.59930555555556,172.6936111111111,151.41708333333335,34.48958333333333,2.7839583333333335,2.5658333333333334,0,0,0,0,0,0
2023-12-18,120.48881944444445,178.54972222222224,154.92201388888887,138.86475694444445,24.4375,2.7912500000000002,2.614861111111111,0,0,0,0,0,0
2023-12-19,114.9457638888889,170.2772222222222,142.41489583333333,124.4185763888889,34.0,2.7765625000000003,2.622916666666667,0,0,0,0,0,0
2023-12-20,123.05475694444443,182.37965277777778,141.5409375,120.67124999999999,35.46875,2.785625,2.5555555555555554,0,0,0,0,0,0
2023-12-21,128.5238888888889,190.5427083333333,131.21100694444445,111.90006944444445,40.20833333333333,3.380625,2.8771180555555556,0,0,0,0,0,0
2023-12-22,151.53645833333334,224.89006944444444,153.4960763888889,135.53135416666666,42.84375,3.469375,2.7798958333333332,0,0,0,0,0,0
2023-12-23,119.43731481481483,176.98041666666666,160.7337962962963,134.43935185185185,38.125,2.9050000000000002,2.5578240740740745,6,6,6,6,6,6
2023-12-24,,,,,,,,24,24,24,24,24,24
2023-12-25,141.6070486111111,210.06871527777776,159.1118402777778,139.66600694444443,40.53125,3.0546875,2.7040625000000005,0,0,0,0,0,0
2023-12-26,175.53704861111112,260.71190972222223,153.80163194444444,135.3425,37.010416666666664,3.0453125000000005,2.715381944444444,0,0,0,0,0,0
2023-12-27,97.53246527777777,162.45940972222223,157.16902777777776,134.70659722222223,34.125,3.1625000000000005,2.7759375,0,0,0,0,0,0
2023-12-28,112.53993055555554,203.3640972222222,157.30694444444444,132.13993055555557,34.9375,3.0371875000000004,2.655208333333333,0,0,0,0,0,0
2023-12-29,122.75628472222222,216.35229166666667,157.00333333333333,130.02559027777778,33.03125,2.9078125000000004,2.563784722222222,0,0,0,0,0,0
2023-12-30,76.59569444444445,144.38274305555555,157.44239583333334,137.0390625,45.46875,2.7996875,2.589131944444444,0,0,0,0,0,0
2023-12-31,,,,,7.114583333333333,2.5839583333333334,,17,17,17,17,17,17
2024-01-01,76.25187500000001,155.15625,134.325625,114.97125,57.28125,2.82125,2.599375,8,8,8,8,8,8
2024-01-02,83.38083333333333,161.69666666666666,158.295,141.9983333333333,45.6875,2.8725,2.5391666666666666,0,0,0,0,0,0
2024-01-03,82.99166666666667,161.6966666666667,165.025,146.46708333333333,43.59375,2.7925,2.6112499999999996,0,0,0,0,0,0
2024-01-04,79.29041666666667,147.22375,161.69458333333333,141.06375,56.46875,3.4537500000000003,2.9312500000000004,0,0,0,0,0,0
2024-01-05,62.060833333333335,118.72874999999999,151.15208333333334,133.82333333333335,66.25,3.4025000000000003,2.6266666666666665,0,0,0,0,0,0
2024-01-06,,,,,13.85375,2.7,,14,14,14,14,14,14
2024-01-07,,,,,,,,24,24,24,24,24,24
2024-01-08,69.75529411764707,137.6735294117647,140.47176470588232,119.9770588235294,23.625,3.0875000000000004,2.9205882352941175,7,7,7,7,7,7
2024-01-09,82.76458333333333,147.94375,198.02583333333337,176.65291666666667,5.75,3.0475,2.5766666666666667,0,0,0,0,0,0
2024-01-10,61.004583333333336,115.32375,189.85333333333332,168.2975,8.46875,2.64625,2.5608333333333335,0,0,0,0,0,0
2024-01-11,70.64041666666667,132.41916666666668,166.13583333333332,145.53583333333333,27.78125,3.39375,2.9112500000000003,0,0,0,0,0,0
2024-01-12,100.71416666666669,187.20916666666668,149.87625,139.04791666666665,27.5625,3.99125,3.447083333333333,0,0,0,0,0,0
2024-01-13,61.54999999999999,116.12208333333335,145.42249999999999,126.62916666666666,46.0625,3.61375,2.6624999999999996,0,0,0,0,0,0
2024-01-14,26.88416666666667,75.96,143.42166666666665,127.28916666666667,38.59375,2.75375,2.5820833333333333,0,0,0,0,0,0
2024-01-15,17.980833333333333,55.06,125.7575,115.25333333333333,41.1875,2.90875,2.6354166666666665,0,0,0,0,0,0
2024-01-16,34.61333333333334,72.12374999999999,135.74541666666667,117.11458333333333,59.84375,2.9225000000000003,2.566666666666667,0,0,0,0,0,0
2024-01-17,30.53125,74.90583333333332,155.25458333333333,132.34541666666667,56.625,2.79,2.4545833333333333,0,0,0,0,0,0
2024-01-18,37.0525,68.10458333333334,166.0066666666667,142.64625,50.90625,2.76875,2.515833333333333,0,0,0,0,0,0
2024-01-19,38.08,72.4636842105263,148.64,130.51315789473685,46.375,2.87875,2.6089473684210525,5,5,5,5,5,5
2024-01-20,37.73375,71.24666666666667,148.91833333333332,127.86874999999999,48.75,2.8850000000000002,2.6012500000000003,0,0,0,0,0,0
2024-01-21,49.0925,95.3925,152.74958333333333,130.60083333333333,55.375,2.8225000000000002,2.59375,0,0,0,0,0,0
2024-01-22,53.37916666666666,103.32958333333335,139.70083333333332,121.37458333333332,48.75,2.8674999999999997,2.66375,0,0,0,0,0,0
2024-01-23,42.44916666666667,81.43458333333334,144.07000000000002,123.49791666666665,60.46875,2.81625,2.549583333333333,0,0,0,0,0,0
2024-01-24,55.278333333333336,103.17750000000001,130.55208333333334,106.17,60.0625,2.45625,2.283333333333333,0,0,0,0,0,0
2024-01-25,83.40500000000002,147.33833333333334,122.81333333333333,101.48166666666667,40.875,3.1350000000000002,2.6925000000000003,0,0,0,0,0,0
2024-01-26,84.34708333333333,153.01416666666668,139.07208333333332,119.98666666666668,54.90625,3.2800000000000002,2.61375,0,0,0,0,0,0
2024-01-27,77.29083333333334,143.88791666666665,143.23125,121.55833333333334,44.65625,2.91375,2.6425,0,0,0,0,0,0
2024-01-28,63.91833333333333,118.90458333333333,146.14291666666668,126.86083333333333,72.99875,2.73125,2.513333333333333,0,0,0,0,0,0
2024-01-29,57.09157894736842,109.19315789473684,140.36315789473682,120.28368421052633,46.89625,2.76875,2.5652631578947362,5,5,5,5,5,5
2024-01-30,,,,,9.4275,2.48625,,13,13,13,13,13,13
2024-01-31,48.603529411764704,95.58235294117647,139.7670588235294,120.14941176470589,39.03125,2.62875,2.4905882352941178,7,7,7,7,7,7
