Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,46.91541666666668,82.95708333333333,12.811562499999999,3.7060416666666662,61.663125,0.659375,0.5740625,0,0,0,0,0,0
2023-10-02,28.182500000000005,52.38635416666667,5.450181159420289,3.829375,58.09375,0.5750000000000001,0.4169791666666667,0,0,0,0,1,0
2023-10-03,33.999375,61.876354166666665,7.1390972222222215,4.138645833333333,31.305,0.5225,0.43635416666666665,0,0,0,0,0,0
2023-10-04,37.113125,66.9584375,10.8765625,3.8658333333333332,47.93125,0.7006249999999999,0.5310416666666667,0,0,0,0,0,0
2023-10-05,41.90739583333333,74.78239583333334,8.148125,5.278645833333333,60.943125,0.704375,0.4927083333333333,0,0,0,0,0,0
2023-10-06,39.97166666666667,71.62541666666667,7.724270833333333,4.695416666666667,45.8609375,0.54,0.4723958333333333,0,0,0,0,0,0
2023-10-07,35.6594696969697,60.43108695652174,8.551287878787878,4.5711742424242425,62.1925,0.5583333333333333,0.5075724637681159,2,1,2,2,2,1
2023-10-08,53.431562500000005,83.19729166666667,10.67,2.9033333333333338,39.8428125,0.5473958333333334,0.41479166666666667,0,0,0,0,0,0
2023-10-09,50.49364583333334,79.18739583333333,11.888645833333333,5.2275,47.221875,0.523125,0.4663541666666667,0,0,0,0,0,0
2023-10-10,34.096666666666664,56.80739583333334,10.740104166666667,4.414673913043479,46.8740625,0.52125,0.41468750000000004,0,0,0,1,0,0
2023-10-11,40.2565625,79.041875,15.027291666666665,5.0534375,58.2396875,0.5384375,0.45322916666666674,0,0,0,0,0,0
2023-10-12,42.592395833333335,77.7778125,12.7346875,2.2498958333333334,37.7390625,0.6187500000000001,0.4447916666666667,0,0,0,0,0,0
2023-10-13,44.152569444444445,74.988125,13.828506944444444,3.72781746031746,49.8065625,0.6268750000000001,0.49833333333333335,0,0,0,3,0,0
2023-10-14,47.08416666666667,77.94281249999999,17.8646875,4.3240625,42.0965625,0.6434375,0.535,0,0,0,0,0,0
2023-10-15,57.89833333333333,85.94822916666665,17.139166666666664,6.126458333333333,59.317187499999996,0.6928125,0.5561458333333333,0,0,0,0,0,0
2023-10-16,60.13729166666666,91.25812499999999,20.53357638888889,3.39875,60.805625,1.0465625,0.6841666666666667,0,0,0,0,0,0
2023-10-17,63.01666666666666,90.07010416666667,21.31354166666667,6.370416666666666,60.3996875,1.035625,0.72375,0,0,0,0,0,0
2023-10-18,57.502812500000005,122.56510416666667,25.242395833333333,5.2021875,82.5225,1.073125,0.7668750000000001,0,0,0,0,0,0
2023-10-19,56.16229166666667,88.2578125,15.361145833333333,6.0995833333333325,77.6196875,0.806875,0.5520833333333334,0,0,0,0,0,0
2023-10-20,54.59636363636364,78.32863636363636,18.224999999999998,6.517812499999999,61.5884375,0.7009375,0.5896875,2,2,0,0,0,0
2023-10-21,68.8028125,98.19395833333334,18.619583333333335,6.916354166666667,82.6084375,0.984375,0.6576041666666667,0,0,0,0,0,0
2023-10-22,78.6685763888889,119.24121527777777,24.070520833333333,7.797916666666666,89.08875,1.2246875,0.7680555555555554,0,0,0,0,0,0
2023-10-23,74.51072916666668,126.36677083333332,33.479166666666664,10.677395833333334,79.53124999999999,1.2544791666666668,0.9157291666666666,0,0,0,0,0,0
2023-10-24,46.5571875,85.468125,22.5103125,7.0590625000000005,79.49343749999998,1.0046875,0.7664583333333334,0,0,0,0,0,0
2023-10-25,42.86402777777778,96.21038194444445,27.71545138888889,10.135868055555555,70.04187499999999,1.1789583333333333,0.8632986111111111,0,0,0,0,0,0
2023-10-26,44.2040625,103.21541666666667,35.141041666666666,9.88375,61.41687499999999,1.2883333333333333,0.8822916666666667,0,0,0,0,0,0
2023-10-27,39.900104166666665,97.20760416666667,31.570000000000004,10.451041666666667,106.545625,1.3178125,0.8141666666666666,0,0,2,0,0,0
2023-10-28,48.43937499999999,120.505625,41.106249999999996,14.039791666666668,183.46406249999998,1.3296875,0.9988541666666668,0,0,0,0,0,0
2023-10-29,54.09489583333334,110.39104166666668,42.38708333333334,13.312916666666666,104.6190625,1.6984375,1.1257291666666667,0,0,0,0,0,0
2023-10-30,56.760729166666664,109.80760416666665,38.070729166666666,11.025208333333333,108.5703125,1.86625,1.0519791666666667,0,0,0,0,0,0
2023-10-31,54.71812500000001,98.3721875,27.965208333333337,13.388020833333334,92.0596875,1.4090625,0.9607291666666665,0,0,0,0,0,0
2023-11-01,61.685833333333335,107.06906249999999,24.726041666666664,18.558645833333333,86.9025,1.5134375,0.9029166666666666,0,0,0,0,0,0
2023-11-02,71.69177083333334,106.90489583333333,36.062083333333334,10.773958333333333,89.505,1.4496875,1.1376041666666665,0,0,0,0,0,0
2023-11-03,79.31020833333334,124.32760416666667,40.540312500000006,12.921979166666667,95.46499999999999,1.643125,1.2718749999999999,0,0,0,0,0,0
2023-11-04,72.44612500000002,117.81949999999999,39.44554166666667,9.447261904761906,50.84531249999999,1.5021875,1.0851190476190478,4,4,2,3,4,3
2023-11-05,62.69833333333333,111.04322916666666,29.00375,11.796666666666667,62.07375,1.1575,0.7896875,0,0,0,0,0,0
2023-11-06,72.17395833333335,127.04541666666667,29.900625,11.493437499999999,108.071875,1.7487499999999998,0.9935416666666668,0,0,0,0,0,0
2023-11-07,76.13541666666667,129.2484375,27.24996527777778,11.213645833333333,70.92875,1.841875,0.9033333333333333,0,0,0,0,0,0
2023-11-08,60.49604166666666,113.73447916666667,25.473854166666666,10.830520833333333,69.4771875,1.5990625,0.9330208333333333,0,0,0,0,0,0
2023-11-09,61.122187499999995,103.24374999999999,24.51291666666667,6.8253125,62.3890625,1.684375,0.8805208333333333,0,0,0,0,0,0
2023-11-10,56.49506944444445,88.82260416666666,26.7221875,4.271076388888889,59.40927083333333,1.2575,0.8769097222222223,0,0,0,0,0,0
2023-11-11,69.31979166666667,107.15593750000001,31.084270833333335,9.590520833333333,77.939375,2.1096875,1.1941666666666666,0,0,0,0,0,0
2023-11-12,143.254384057971,157.0551515151515,33.96104166666667,21.4825,75.30052083333334,2.3378125,1.1595486111111113,1,2,0,0,0,0
2023-11-13,196.48607142857145,291.3163257575757,39.19197916666666,17.29079861111111,76.935625,2.050520833333333,1.197465277777778,3,2,0,0,0,0
2023-11-14,73.6628125,102.12760416666667,16.131666666666668,13.913645833333334,81.18624999999999,1.64375,0.8073958333333334,0,0,0,0,0,0
2023-11-15,91.39641304347825,135.62847826086954,31.469687500000003,12.593958333333333,82.8071875,1.3646874999999998,1.0703125,1,1,0,0,0,0
2023-11-16,90.13499999999999,134.77364583333335,32.47864583333333,12.720104166666667,89.7225,1.8450000000000002,1.1852083333333332,0,0,0,0,0,0
2023-11-17,83.63072916666667,120.97760416666665,27.653437500000006,13.631145833333335,94.18437499999999,1.9959375000000001,1.0591666666666668,0,0,0,0,0,0
2023-11-18,83.84261363636364,118.91090909090912,29.57239583333333,11.303125,83.7696875,1.599375,1.1234374999999999,2,2,0,0,0,0
2023-11-19,62.309374999999996,149.4753125,28.2934375,13.309895833333334,70.5540625,1.7659375000000002,1.1207291666666668,0,0,0,0,0,0
2023-11-20,44.10104166666667,94.85395833333332,13.793958333333334,11.616249999999999,77.49781250000001,1.2646875,0.8644791666666668,0,0,0,0,0,0
2023-11-21,45.57593749999999,101.27833333333332,14.478437499999998,7.326666666666667,78.343125,1.1556250000000001,0.8664583333333334,0,0,0,0,0,0
2023-11-22,44.94312500000001,103.37239583333333,22.551770833333332,10.597395833333334,86.1965625,1.568125,1.0473958333333335,0,0,0,0,0,0
2023-11-23,50.91718749999999,118.15333333333335,25.216041666666666,8.522499999999999,67.90718749999999,1.644375,1.1258333333333335,0,0,0,0,0,0
2023-11-24,46.04322916666666,102.99437499999999,14.41114583333333,10.165416666666665,62.0728125,1.4456250000000002,0.8773958333333334,0,0,0,0,0,0
2023-11-25,38.73583333333333,86.05687499999999,8.260833333333334,7.196666666666668,57.503125,0.921875,0.7846875,0,0,0,0,0,0
2023-11-26,28.815625,59.548125,10.659895833333334,5.479583333333333,41.1146875,0.8784375,0.8008333333333333,0,0,0,0,0,0
2023-11-27,18.302916666666665,28.38739583333334,4.072717391304349,6.214270833333334,33.378437500000004,0.9528125,0.82375,0,0,0,0,1,0
2023-11-28,22.4825,48.01333333333333,12.493020833333333,3.7684374999999997,35.560625,1.138125,0.9274999999999999,0,0,0,0,0,0
2023-11-29,22.98239583333334,50.80104166666666,9.041770833333334,4.313645833333333,47.243125,1.163125,0.8479166666666665,0,0,0,0,0,0
2023-11-30,31.391875,70.30427083333332,14.051145833333331,6.373854166666668,51.96,1.1590624999999999,0.953125,0,0,0,0,0,0
2023-12-01,30.013541666666665,60.1990625,17.137708333333332,6.297812499999999,46.346875,1.2159375,1.0248958333333333,0,0,0,0,0,0
2023-12-02,33.84614583333333,69.9609375,17.385833333333334,5.749166666666667,41.377812500000005,1.2703125,0.9555208333333334,0,0,0,0,0,0
2023-12-03,40.88836805555556,83.86576388888888,15.034131944444445,7.906770833333333,65.43989583333334,1.540625,1.0947916666666666,0,0,0,0,0,0
2023-12-04,32.69020833333334,71.87572916666667,19.53503472222222,7.461250000000001,49.055625000000006,1.5821874999999999,0.9936458333333333,0,0,0,0,0,0
2023-12-05,51.76802083333333,92.97781249999998,8.277604166666668,8.568645833333333,62.5559375,1.2509375,0.9615625,0,0,0,0,0,0
2023-12-06,54.636041666666664,102.34250000000002,9.193333333333333,8.656354166666667,51.0590625,1.11,0.914375,0,0,0,0,0,0
2023-12-07,38.68239583333334,81.65145833333332,21.17635416666667,4.794270833333333,13.043750000000001,1.84,1.1544791666666667,0,0,0,0,0,0
2023-12-08,32.890208333333334,73.84802083333334,19.518645833333334,10.334895833333333,14.92,1.8412499999999998,0.9970833333333333,0,0,0,0,0,0
2023-12-09,29.679375000000004,61.824374999999996,19.026666666666667,6.2761458333333335,47.714375000000004,1.4100000000000001,0.8970833333333332,0,0,0,0,0,0
2023-12-10,34.56010416666667,74.15979166666666,20.35145833333333,5.915729166666666,24.886875,1.3596875,1.0080208333333334,0,0,0,0,0,0
2023-12-11,35.13636363636363,83.91534090909089,19.02145833333333,4.416140350877193,51.74,1.391875,0.8354347826086955,2,2,0,5,0,1
2023-12-12,40.416125,76.229875,33.004625,4.167375,78.58812499999999,1.1868750000000001,0.8705,4,4,4,4,4,4
2023-12-13,44.63697916666666,85.14677083333333,36.21927083333333,4.618333333333333,68.4303125,1.4165625,1.2194791666666667,0,0,0,0,0,0
