Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,76.8371212121212,114.65119047619046,74.34534090909091,16.98590909090909,72.40125,0.42260416666666667,0.3326190476190476,2,3,2,2,2,3
2023-10-02,74.14652777777778,220.53560606060609,79.24496527777778,26.327282608695654,84.63583333333335,0.6661458333333333,0.47713768115942023,0,2,0,1,0,1
2023-10-03,66.32256944444445,118.3684027777778,47.83149305555556,14.339710144927537,79.8203125,0.4947916666666667,0.22945652173913048,0,0,0,1,0,1
2023-10-04,53.41212121212121,106.53787878787877,41.964642857142856,13.444015151515153,73.97833333333334,0.47291666666666665,0.38654761904761903,2,2,2,2,3,3
2023-10-05,49.95108695652173,81.56630434782609,37.54163194444444,14.417777777777777,73.751875,0.5809375000000001,0.4502777777777777,1,1,0,0,0,0
2023-10-06,54.923437500000006,71.2484375,,12.576617647058825,65.045625,0.7238541666666667,0.48083333333333333,8,8,6,7,10,8
2023-10-07,44.095652173913045,73.32391304347826,33.544275362318835,13.460833333333335,75.71125,0.6197916666666666,0.4883333333333333,1,1,1,1,1,1
2023-10-08,47.212500000000006,88.99340277777776,35.55756944444445,11.532152777777776,89.160625,0.8542708333333333,0.6658680555555556,0,0,0,0,0,0
2023-10-09,49.154545454545456,116.06590909090909,34.71815972222222,12.304027777777778,74.6825,0.7361458333333334,0.4609375,2,2,0,0,0,0
2023-10-10,47.50138888888889,70.44375000000001,30.080972222222226,10.864513888888888,80.50687500000001,0.8986458333333334,0.5930208333333333,0,0,0,0,0,0
2023-10-11,44.767753623188405,70.90072463768117,39.58442028985507,13.888079710144925,66.7334375,0.8026041666666667,0.5077272727272728,1,1,1,1,1,2
2023-10-12,48.61785714285715,83.22348484848486,55.448371212121216,14.886060606060607,60.5540625,0.6426041666666666,0.5877916666666667,3,2,2,2,2,4
2023-10-13,70.74814814814816,145.14411764705883,89.24926470588235,8.80014705882353,48.6096875,0.7918750000000001,0.23645833333333333,6,7,7,7,7,8
2023-10-14,66.6413043478261,103.31521739130434,79.84641304347826,16.828695652173916,63.152812499999996,0.5094791666666666,0.41826086956521735,1,1,1,1,1,1
2023-10-15,71.92028985507247,95.575,43.36534722222222,8.564618055555556,75.41718750000001,0.5969791666666666,0.4047569444444445,1,1,0,0,0,0
2023-10-16,60.22575757575757,100.99128787878789,39.91272727272727,9.539469696969697,60.874375,0.7145833333333333,0.5015079365079366,2,2,2,2,2,3
2023-10-17,71.55659722222222,136.8791666666667,74.89270833333335,27.418923611111115,48.72302083333333,0.965,0.535,0,0,0,0,0,0
2023-10-18,83.10471014492755,108.73333333333332,51.09659722222222,9.542048611111111,79.41624999999999,0.5923958333333333,0.37295138888888885,1,1,0,0,0,0
2023-10-19,95.15208333333334,218.29131944444444,82.1048263888889,14.759131944444443,93.475625,0.9941666666666666,0.6448958333333333,0,0,0,0,0,0
2023-10-20,110.6712962962963,,114.33149122807016,12.501008771929826,48.34875,0.7069791666666666,0.47186507936507943,6,10,5,5,5,3
2023-10-21,110.9704861111111,172.55729166666666,,9.200357142857145,76.011875,0.7693749999999999,0.5411956521739131,0,0,1,3,11,1
2023-10-22,106.82391304347826,193.70833333333331,96.30204861111112,23.719583333333333,87.68125,1.115,1.036909722222222,1,2,0,2,0,0
2023-10-23,126.08437500000001,173.56875,88.64086805555557,13.151493055555557,116.496875,1.0630208333333333,0.6735069444444445,0,0,0,0,0,0
2023-10-24,,,88.53273148148148,8.067407407407408,39.41645833333333,1.1636458333333333,0.7927450980392158,11,10,6,6,6,7
2023-10-25,95.2298245614035,152.35350877192982,87.28277777777777,14.267465277777779,78.66875,1.0753125,0.6869565217391305,5,5,0,0,0,1
2023-10-26,80.36041666666665,125.96770833333333,70.2509375,13.833020833333336,78.6053125,1.0153124999999998,0.9132291666666669,0,0,0,0,0,0
2023-10-27,88.95416666666667,133.00243055555555,112.58729166666666,28.317638888888894,73.1925,1.1570833333333332,0.9559057971014491,0,0,0,0,0,1
2023-10-28,100.18849206349208,140.86008771929824,109.144875,17.080833333333334,81.88541666666667,0.781875,0.5984126984126984,3,5,2,2,4,3
2023-10-29,106.55312500000002,172.22934782608698,91.25847222222222,9.11625,107.36843750000001,0.9516666666666665,0.8090625,0,1,0,0,0,0
2023-10-30,114.33229166666666,146.09548611111111,90.46864583333333,10.939965277777778,109.48552083333334,1.08125,0.6878125,0,0,0,0,0,0
2023-10-31,,,101.44723684210526,19.852236842105263,104.0953125,1.0430208333333333,0.8489473684210526,12,13,5,5,5,5
2023-11-01,141.40151515151516,167.12689393939394,132.73041666666666,9.655312499999999,51.815312500000005,0.8591666666666666,0.64265625,2,2,8,8,8,8
2023-11-02,137.15396825396823,172.71468253968254,90.6955072463768,10.206739130434782,141.8015625,1.1207291666666666,0.6303985507246377,3,3,1,1,1,1
2023-11-03,119.76309523809522,156.6936507936508,,9.347063492063493,127.29166666666666,1.6668749999999999,1.3804761904761906,3,3,3,3,12,3
2023-11-04,107.6465909090909,146.36249999999998,95.01026515151516,13.073371212121213,133.020625,1.9966666666666668,1.1490151515151514,2,2,2,2,2,2
2023-11-05,96.23159722222222,140.3840277777778,76.37343750000001,12.583298611111111,131.8915625,1.6202083333333333,0.8782986111111111,0,0,0,0,0,0
2023-11-06,100.91006944444445,140.56493055555555,65.37611111111111,12.766597222222222,125.26770833333333,1.1870833333333333,0.8492028985507247,0,0,0,0,0,1
2023-11-07,106.23181818181818,155.4401515151515,88.88473484848487,18.49234848484849,100.370625,1.1812500000000001,0.8964772727272727,2,2,2,2,2,2
2023-11-08,110.77000000000001,144.365,,,110.8728125,0.9733333333333334,,4,4,8,9,10,9
2023-11-09,113.88576388888889,140.3451388888889,83.01694444444445,6.689687500000001,113.0834375,1.1165625,0.8610763888888889,0,0,0,0,0,0
2023-11-10,128.00289855072464,157.31992753623186,75.59058823529413,8.72689393939394,123.46875,1.308125,0.9222569444444444,1,1,0,2,7,0
2023-11-11,114.75250000000001,140.87666666666667,55.66047619047619,11.802875,73.005,1.4698958333333332,1.2366666666666668,4,4,3,4,3,4
2023-11-12,179.69126984126984,176.84,101.51434027777778,25.547500000000003,92.8925,1.3891666666666667,1.1786458333333334,3,4,0,0,0,0
2023-11-13,247.8039473684211,282.4524509803921,89.55784722222222,22.31927083333333,104.885625,1.3764583333333333,1.0752777777777778,5,7,0,0,0,0
2023-11-14,172.4776515151515,205.74621212121212,70.41693181818181,17.89037878787879,62.58208333333333,1.330625,0.9718939393939393,2,2,2,2,2,2
2023-11-15,160.66159420289856,209.01992753623188,79.32442028985507,12.624130434782609,113.6290625,1.0733333333333333,1.0242391304347827,1,1,1,1,1,1
2023-11-16,202.11376811594204,252.7778985507246,88.61947916666666,12.20861111111111,117.43062499999999,1.2981250000000002,1.1371875,1,1,0,0,0,0
2023-11-17,187.8939814814815,221.13947368421054,106.651875,14.735555555555555,110.39833333333334,1.1741666666666668,0.8381944444444445,6,5,0,0,0,0
2023-11-18,188.4261904761905,237.32142857142858,105.62805555555555,10.269325396825398,71.64562500000001,1.3296875,1.083373015873016,3,3,3,3,3,3
2023-11-19,199.51770833333333,264.6784722222222,92.72704861111112,14.226909722222222,101.6671875,1.3043749999999998,0.9512847222222223,0,0,0,0,0,0
2023-11-20,194.08492063492062,251.97182539682538,83.54626984126985,10.91813492063492,98.3790625,1.0810416666666667,0.9059523809523807,3,3,9,3,3,3
2023-11-21,196.25833333333333,261.3123188405797,92.3326086956522,17.824456521739126,98.05677083333333,0.9565625,0.826376811594203,1,1,1,1,1,1
2023-11-22,,,,,,,,10,10,12,10,10,11
2023-11-23,193.05652173913043,281.93333333333334,124.96902173913043,20.01764492753623,97.8396875,0.95375,0.7372101449275362,1,1,1,1,1,1
2023-11-24,163.9489583333333,262.5309027777778,91.27107638888889,22.39052083333333,98.9928125,0.8194791666666668,0.6006944444444444,0,0,0,0,0,0
2023-11-25,163.58194444444447,236.26666666666668,91.74203703703705,12.504027777777779,74.871875,0.8353125,0.659074074074074,6,6,6,6,6,6
2023-11-26,162.06666666666666,251.32187499999998,88.30791666666666,19.913402777777776,88.8590625,1.0592708333333334,0.9076388888888888,0,0,0,0,0,0
2023-11-27,128.13888888888889,183.6916666666667,47.87663194444445,11.985833333333332,54.4146875,0.9471875,0.5659057971014494,0,0,0,0,0,1
2023-11-28,57.603947368421046,107.39780701754387,,,59.89583333333333,0.7835416666666667,,5,5,9,10,9,10
2023-11-29,152.2473684210526,182.33114035087718,55.82242063492064,7.032341269841269,42.51718749999999,0.44343750000000004,0.43019841269841275,5,5,3,3,3,3
2023-11-30,98.57272727272726,158.97803030303032,39.44609375,7.5885606060606055,64.3434375,0.4435416666666666,0.272375,2,2,2,2,8,4
2023-12-01,57.052083333333336,127.73645833333335,36.15888888888889,5.591805555555556,45.8078125,1.1188541666666667,0.5915972222222222,0,0,0,0,0,0
2023-12-02,78.81770833333333,133.81979166666667,57.108576388888885,8.973159722222222,53.8215625,1.0576041666666667,0.4640625,0,0,0,0,0,0
2023-12-03,85.94204545454546,144.92234848484847,36.01696969696969,7.394523809523811,58.629375,0.5126041666666666,0.5670634920634922,2,2,2,3,2,3
2023-12-04,46.935069444444444,91.00694444444446,26.749097222222222,7.477604166666666,52.190625,0.8776041666666666,0.5481944444444444,0,0,0,0,0,0
2023-12-05,46.859375,91.9704861111111,31.95295138888889,8.034895833333334,61.94635416666667,0.9008333333333334,0.717361111111111,0,0,0,0,0,0
2023-12-06,76.30763888888889,118.17951388888889,37.0721875,8.313402777777776,91.34333333333333,1.1505208333333332,0.8473958333333332,0,0,0,0,0,0
2023-12-07,71.30324074074073,107.37592592592594,,,63.364895833333335,0.5475,,6,6,9,9,12,9
2023-12-08,86.61547619047619,126.30912698412695,64.75128472222222,7.812291666666667,80.5828125,0.9136458333333334,0.770451388888889,3,3,0,0,0,0
