Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2024-01-01,128.28083333333333,,3.9758333333333336,8.564583333333333,8.58375,0.7225,0.5125000000000001,0,24,0,0,0,0
2024-01-02,112.68958333333335,,4.804583333333333,8.722083333333332,13.4525,0.47624999999999995,0.41958333333333336,0,13,0,0,0,0
2024-01-03,,157.53666666666666,5.0125,8.89,13.860000000000001,0.58875,0.4320833333333334,13,0,0,0,0,0
2024-01-04,104.00416666666668,168.3325,6.067083333333334,8.852916666666667,12.540000000000001,0.6112500000000001,0.4383333333333333,0,0,0,0,0,0
2024-01-05,85.705,132.85875,4.601666666666667,8.731666666666667,12.6425,0.57125,0.41083333333333333,0,0,0,0,0,0
2024-01-06,97.52166666666669,138.58749999999998,4.376666666666666,8.726666666666667,12.0025,0.6637500000000001,0.43,0,0,0,0,0,0
2024-01-07,116.80916666666667,165.53333333333333,5.535833333333334,8.790000000000001,13.01625,0.6599999999999999,0.4541666666666666,0,0,0,0,0,0
2024-01-08,105.51499999999999,152.70708333333334,6.965416666666667,8.764166666666666,12.51625,0.5325,0.38000000000000006,0,0,0,0,0,0
2024-01-09,165.6975,235.21124999999998,7.683333333333334,9.059583333333334,12.39625,0.64,0.5358333333333333,0,0,0,0,0,0
2024-01-10,138.18833333333333,177.5057894736842,5.5133333333333345,9.174166666666666,10.15875,0.69625,0.5783333333333333,0,5,0,0,0,0
2024-01-11,154.87125,,6.575833333333333,10.250833333333333,17.925,0.675,0.5129166666666666,0,13,0,0,0,0
2024-01-12,149.07375,208.48124999999996,6.30875,10.213333333333333,16.638749999999998,0.5800000000000001,0.4741666666666667,0,0,0,0,0,0
2024-01-13,150.07208333333332,212.28333333333333,7.252083333333334,10.132083333333334,15.185,0.7025,0.59,0,0,0,0,0,0
2024-01-14,135.52166666666668,181.74750000000003,6.215416666666667,9.972916666666666,14.637500000000001,0.7424999999999999,0.5795833333333333,0,0,0,0,0,0
2024-01-15,168.19333333333336,219.3420833333333,4.747916666666666,10.102500000000001,15.12,1.0162499999999999,0.6779166666666668,0,0,0,0,0,0
2024-01-16,94.95916666666666,130.87333333333333,2.549583333333333,9.137916666666667,10.87,0.5825,0.5229166666666667,0,0,0,0,0,0
2024-01-17,114.17333333333333,153.63083333333336,3.561666666666667,8.891666666666667,14.74,0.61,0.49333333333333335,0,0,0,0,0,0
2024-01-18,146.73541666666665,196.97666666666666,6.361250000000001,9.31125,13.7425,0.81375,0.5966666666666667,0,0,0,0,0,0
2024-01-19,143.33666666666667,232.065,6.372916666666668,9.357083333333334,14.625,0.74,0.6333333333333333,0,6,0,0,0,0
2024-01-20,134.20416666666668,198.99291666666667,6.377916666666667,9.346666666666666,13.65375,1.02375,0.5620833333333334,0,0,0,0,0,0
2024-01-21,,212.615,4.0912500000000005,9.152916666666668,20.67625,0.4812499999999999,0.425,9,0,0,0,0,0
2024-01-22,,265.97291666666666,5.29875,9.107916666666668,22.7475,0.69625,0.5508333333333334,24,0,0,0,0,0
2024-01-23,,238.84,7.39875,10.220833333333333,16.43875,0.74625,0.52625,12,0,0,0,0,0
2024-01-24,142.52416666666667,201.75041666666667,7.406666666666666,9.6225,28.137500000000003,0.56375,0.4666666666666666,0,0,0,0,0,0
2024-01-25,149.31625,192.38041666666666,8.262916666666667,9.8825,40.4225,0.58,0.49,0,0,0,0,0,0
2024-01-26,124.82833333333333,180.91736842105266,4.666666666666667,9.598333333333334,16.32,0.60375,0.39166666666666666,0,5,0,0,0,0
2024-01-27,120.97125000000001,,4.727083333333333,9.820833333333335,15.565,0.49749999999999994,0.39833333333333326,0,24,0,0,0,0
2024-01-28,128.8975,,4.965,9.605416666666667,13.61125,0.48499999999999993,0.43875000000000003,0,24,0,0,0,0
2024-01-29,110.40291666666667,,5.010833333333333,9.404166666666667,13.88625,0.6662499999999999,0.46875,0,18,0,0,0,0
2024-01-30,126.35458333333334,196.39916666666667,7.089166666666666,9.472916666666666,18.990000000000002,0.74125,0.5095833333333334,0,0,0,0,0,0
2024-01-31,122.71458333333334,188.13916666666668,4.301666666666667,9.373333333333333,13.4525,0.7224999999999999,0.4583333333333333,0,0,0,0,0,0
