date,selected_filepath,selected_hhmm,source,valid_fraction,mean_valid_aod
01/10/2023,E:\Jun26_184170\3DIMG_01OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.11187009,0.353675138
02/10/2023,E:\Jun26_184170\3DIMG_02OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.12466234,0.341246846
03/10/2023,E:\Jun26_184170\3DIMG_03OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.155908136,0.297604278
04/10/2023,E:\Jun26_184170\3DIMG_04OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.143188334,0.270218649
05/10/2023,E:\Jun26_184170\3DIMG_05OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.18502189,0.264537518
06/10/2023,E:\Jun26_184170\3DIMG_06OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.28520715,0.279322047
07/10/2023,E:\Jun26_184170\3DIMG_07OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.308763105,0.307028543
08/10/2023,E:\Jun26_184170\3DIMG_08OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.308338767,0.332196032
09/10/2023,E:\Jun26_184170\3DIMG_09OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.332898645,0.327669135
10/10/2023,E:\Jun26_184170\3DIMG_10OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.343238012,0.3311543
11/10/2023,E:\Jun26_184170\3DIMG_11OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.322973267,0.350435005
12/10/2023,E:\Jun26_184170\3DIMG_12OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.316173503,0.375547635
13/10/2023,E:\Jun26_184170\3DIMG_13OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.312830544,0.400580694
14/10/2023,E:\Jun26_184170\3DIMG_14OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.280943066,0.452125258
15/10/2023,E:\Jun26_184170\3DIMG_15OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.342679128,0.448224711
16/10/2023,E:\Jun26_184170\3DIMG_16OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.294087207,0.515089566
17/10/2023,E:\Jun26_184170\3DIMG_17OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.28225748,0.486833882
18/10/2023,E:\Jun26_184170\3DIMG_18OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.322404032,0.443264968
19/10/2023,E:\Jun26_184170\3DIMG_19OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.345256207,0.422469001
20/10/2023,E:\Jun26_184170\3DIMG_20OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.374307863,0.38318472
21/10/2023,E:\Jun26_184170\3DIMG_21OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.346591321,0.433538633
22/10/2023,E:\Jun26_184170\3DIMG_22OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.317757009,0.488765721
23/10/2023,E:\Jun26_184170\3DIMG_23OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.324763768,0.448705034
24/10/2023,E:\Jun26_184170\3DIMG_24OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.36634893,0.393507733
25/10/2023,E:\Jun26_184170\3DIMG_25OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.391674688,0.356709202
26/10/2023,E:\Jun26_184170\3DIMG_26OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.443361174,0.348491298
27/10/2023,E:\Jun26_184170\3DIMG_27OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.422164954,0.352234415
28/10/2023,E:\Jun26_184170\3DIMG_28OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.359456019,0.400938776
29/10/2023,E:\Jun26_184170\3DIMG_29OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.427443309,0.367180656
30/10/2023,E:\Jun26_184170\3DIMG_30OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.378002712,0.394428661
31/10/2023,E:\Jun26_184170\3DIMG_31OCT2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.339781207,0.42173902
01/11/2023,E:\Jun26_184170\3DIMG_01NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.292845241,0.458323529
02/11/2023,E:\Jun26_184170\3DIMG_02NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.305502944,0.468335532
03/11/2023,E:\Jun26_184170\3DIMG_03NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.340474638,0.474886065
